block	arm	seed	exit	start	end	dir
m4_uav	n4_fixed_penalty	0	0	2026-07-10T00:20:41	2026-07-10T00:20:57	outputs/rl/m4_generalization_v8/uav/n4_fixed_penalty_0
m4_uav	n4_fixed_penalty	1	0	2026-07-10T00:20:57	2026-07-10T00:21:14	outputs/rl/m4_generalization_v8/uav/n4_fixed_penalty_1
m4_uav	n4_fixed_penalty	2	0	2026-07-10T00:21:14	2026-07-10T00:21:29	outputs/rl/m4_generalization_v8/uav/n4_fixed_penalty_2
m4_uav	n4_bl_semantic_greedy	0	0	2026-07-10T00:21:29	2026-07-10T00:21:43	outputs/rl/m4_generalization_v8/uav/n4_bl_semantic_greedy_0
m4_uav	n4_bl_oracle_escalation_aware	0	0	2026-07-10T00:21:43	2026-07-10T00:21:59	outputs/rl/m4_generalization_v8/uav/n4_bl_oracle_escalation_aware_0
m4_uav	n6_proposed	0	0	2026-07-10T00:21:59	2026-07-10T00:22:17	outputs/rl/m4_generalization_v8/uav/n6_proposed_0
m4_uav	n6_proposed	1	0	2026-07-10T00:22:17	2026-07-10T00:22:36	outputs/rl/m4_generalization_v8/uav/n6_proposed_1
m4_uav	n6_proposed	2	0	2026-07-10T00:22:36	2026-07-10T00:22:53	outputs/rl/m4_generalization_v8/uav/n6_proposed_2
m4_uav	n6_no_lagrangian	0	0	2026-07-10T00:22:53	2026-07-10T00:23:14	outputs/rl/m4_generalization_v8/uav/n6_no_lagrangian_0
m4_uav	n6_no_lagrangian	1	0	2026-07-10T00:23:14	2026-07-10T00:23:32	outputs/rl/m4_generalization_v8/uav/n6_no_lagrangian_1
m4_uav	n6_no_lagrangian	2	0	2026-07-10T00:23:32	2026-07-10T00:23:50	outputs/rl/m4_generalization_v8/uav/n6_no_lagrangian_2
m4_uav	n6_fixed_penalty	0	0	2026-07-10T00:23:50	2026-07-10T00:24:07	outputs/rl/m4_generalization_v8/uav/n6_fixed_penalty_0
m4_uav	n6_fixed_penalty	1	0	2026-07-10T00:24:07	2026-07-10T00:24:25	outputs/rl/m4_generalization_v8/uav/n6_fixed_penalty_1
m4_uav	n6_fixed_penalty	2	0	2026-07-10T00:24:25	2026-07-10T00:24:43	outputs/rl/m4_generalization_v8/uav/n6_fixed_penalty_2
m4_uav	n6_bl_semantic_greedy	0	0	2026-07-10T00:24:43	2026-07-10T00:24:57	outputs/rl/m4_generalization_v8/uav/n6_bl_semantic_greedy_0
m4_uav	n6_bl_oracle_escalation_aware	0	0	2026-07-10T00:24:57	2026-07-10T00:25:16	outputs/rl/m4_generalization_v8/uav/n6_bl_oracle_escalation_aware_0
m4_uav	n8_proposed	0	0	2026-07-10T00:25:16	2026-07-10T00:25:35	outputs/rl/m4_generalization_v8/uav/n8_proposed_0
m4_uav	n8_proposed	1	0	2026-07-10T00:25:35	2026-07-10T00:25:55	outputs/rl/m4_generalization_v8/uav/n8_proposed_1
m4_uav	n8_proposed	2	0	2026-07-10T00:25:55	2026-07-10T00:26:14	outputs/rl/m4_generalization_v8/uav/n8_proposed_2
m4_uav	n8_no_lagrangian	0	0	2026-07-10T00:26:14	2026-07-10T00:26:36	outputs/rl/m4_generalization_v8/uav/n8_no_lagrangian_0
m4_uav	n8_no_lagrangian	1	0	2026-07-10T00:26:36	2026-07-10T00:26:55	outputs/rl/m4_generalization_v8/uav/n8_no_lagrangian_1
m4_uav	n8_no_lagrangian	2	0	2026-07-10T00:26:55	2026-07-10T00:27:14	outputs/rl/m4_generalization_v8/uav/n8_no_lagrangian_2
m4_uav	n8_fixed_penalty	0	0	2026-07-10T00:27:14	2026-07-10T00:27:33	outputs/rl/m4_generalization_v8/uav/n8_fixed_penalty_0
m4_uav	n8_fixed_penalty	1	0	2026-07-10T00:27:33	2026-07-10T00:27:52	outputs/rl/m4_generalization_v8/uav/n8_fixed_penalty_1
m4_uav	n8_fixed_penalty	2	0	2026-07-10T00:27:52	2026-07-10T00:28:10	outputs/rl/m4_generalization_v8/uav/n8_fixed_penalty_2
m4_uav	n8_bl_semantic_greedy	0	0	2026-07-10T00:28:10	2026-07-10T00:28:26	outputs/rl/m4_generalization_v8/uav/n8_bl_semantic_greedy_0
m4_uav	n8_bl_oracle_escalation_aware	0	0	2026-07-10T00:28:26	2026-07-10T00:28:46	outputs/rl/m4_generalization_v8/uav/n8_bl_oracle_escalation_aware_0
m4_arrival	t12_proposed	0	0	2026-07-10T00:28:46	2026-07-10T00:28:58	outputs/rl/m4_generalization_v8/arrival/t12_proposed_0
m4_arrival	t12_proposed	1	0	2026-07-10T00:28:58	2026-07-10T00:29:11	outputs/rl/m4_generalization_v8/arrival/t12_proposed_1
m4_arrival	t12_proposed	2	0	2026-07-10T00:29:11	2026-07-10T00:29:23	outputs/rl/m4_generalization_v8/arrival/t12_proposed_2
m4_arrival	t12_no_lagrangian	0	0	2026-07-10T00:29:23	2026-07-10T00:29:37	outputs/rl/m4_generalization_v8/arrival/t12_no_lagrangian_0
m4_arrival	t12_no_lagrangian	1	0	2026-07-10T00:29:37	2026-07-10T00:29:50	outputs/rl/m4_generalization_v8/arrival/t12_no_lagrangian_1
m4_arrival	t12_no_lagrangian	2	0	2026-07-10T00:29:50	2026-07-10T00:30:02	outputs/rl/m4_generalization_v8/arrival/t12_no_lagrangian_2
m4_arrival	t12_fixed_penalty	0	0	2026-07-10T00:30:02	2026-07-10T00:30:14	outputs/rl/m4_generalization_v8/arrival/t12_fixed_penalty_0
m4_arrival	t12_fixed_penalty	1	0	2026-07-10T00:30:14	2026-07-10T00:30:27	outputs/rl/m4_generalization_v8/arrival/t12_fixed_penalty_1
m4_arrival	t12_fixed_penalty	2	0	2026-07-10T00:30:27	2026-07-10T00:30:39	outputs/rl/m4_generalization_v8/arrival/t12_fixed_penalty_2
m4_arrival	t12_bl_semantic_greedy	0	0	2026-07-10T00:30:39	2026-07-10T00:30:49	outputs/rl/m4_generalization_v8/arrival/t12_bl_semantic_greedy_0
m4_arrival	t12_bl_oracle_escalation_aware	0	0	2026-07-10T00:30:49	2026-07-10T00:31:00	outputs/rl/m4_generalization_v8/arrival/t12_bl_oracle_escalation_aware_0
m4_arrival	t16_proposed	0	0	2026-07-10T00:31:00	2026-07-10T00:31:14	outputs/rl/m4_generalization_v8/arrival/t16_proposed_0
m4_arrival	t16_proposed	1	0	2026-07-10T00:31:14	2026-07-10T00:31:28	outputs/rl/m4_generalization_v8/arrival/t16_proposed_1
m4_arrival	t16_proposed	2	0	2026-07-10T00:31:28	2026-07-10T00:31:43	outputs/rl/m4_generalization_v8/arrival/t16_proposed_2
m4_arrival	t16_no_lagrangian	0	0	2026-07-10T00:31:43	2026-07-10T00:31:59	outputs/rl/m4_generalization_v8/arrival/t16_no_lagrangian_0
m4_arrival	t16_no_lagrangian	1	0	2026-07-10T00:31:59	2026-07-10T00:32:13	outputs/rl/m4_generalization_v8/arrival/t16_no_lagrangian_1
m4_arrival	t16_no_lagrangian	2	0	2026-07-10T00:32:13	2026-07-10T00:32:28	outputs/rl/m4_generalization_v8/arrival/t16_no_lagrangian_2
m4_arrival	t16_fixed_penalty	0	0	2026-07-10T00:32:28	2026-07-10T00:32:42	outputs/rl/m4_generalization_v8/arrival/t16_fixed_penalty_0
m4_arrival	t16_fixed_penalty	1	0	2026-07-10T00:32:42	2026-07-10T00:32:56	outputs/rl/m4_generalization_v8/arrival/t16_fixed_penalty_1
m4_arrival	t16_fixed_penalty	2	0	2026-07-10T00:32:56	2026-07-10T00:33:10	outputs/rl/m4_generalization_v8/arrival/t16_fixed_penalty_2
m4_arrival	t16_bl_semantic_greedy	0	0	2026-07-10T00:33:10	2026-07-10T00:33:22	outputs/rl/m4_generalization_v8/arrival/t16_bl_semantic_greedy_0
m4_arrival	t16_bl_oracle_escalation_aware	0	0	2026-07-10T00:33:22	2026-07-10T00:33:36	outputs/rl/m4_generalization_v8/arrival/t16_bl_oracle_escalation_aware_0
m4_arrival	t20_proposed	0	0	2026-07-10T00:33:36	2026-07-10T00:33:52	outputs/rl/m4_generalization_v8/arrival/t20_proposed_0
m4_arrival	t20_proposed	1	0	2026-07-10T00:33:52	2026-07-10T00:34:09	outputs/rl/m4_generalization_v8/arrival/t20_proposed_1
m4_arrival	t20_proposed	2	0	2026-07-10T00:34:09	2026-07-10T00:34:24	outputs/rl/m4_generalization_v8/arrival/t20_proposed_2
m4_arrival	t20_no_lagrangian	0	0	2026-07-10T00:34:24	2026-07-10T00:34:41	outputs/rl/m4_generalization_v8/arrival/t20_no_lagrangian_0
m4_arrival	t20_no_lagrangian	1	0	2026-07-10T00:34:41	2026-07-10T00:34:56	outputs/rl/m4_generalization_v8/arrival/t20_no_lagrangian_1
m4_arrival	t20_no_lagrangian	2	0	2026-07-10T00:34:56	2026-07-10T00:35:11	outputs/rl/m4_generalization_v8/arrival/t20_no_lagrangian_2
m4_arrival	t20_fixed_penalty	0	0	2026-07-10T00:35:11	2026-07-10T00:35:25	outputs/rl/m4_generalization_v8/arrival/t20_fixed_penalty_0
m4_arrival	t20_fixed_penalty	1	0	2026-07-10T00:35:25	2026-07-10T00:35:40	outputs/rl/m4_generalization_v8/arrival/t20_fixed_penalty_1
m4_arrival	t20_fixed_penalty	2	0	2026-07-10T00:35:40	2026-07-10T00:35:54	outputs/rl/m4_generalization_v8/arrival/t20_fixed_penalty_2
m4_arrival	t20_bl_semantic_greedy	0	0	2026-07-10T00:35:54	2026-07-10T00:36:06	outputs/rl/m4_generalization_v8/arrival/t20_bl_semantic_greedy_0
m4_arrival	t20_bl_oracle_escalation_aware	0	0	2026-07-10T00:36:06	2026-07-10T00:36:21	outputs/rl/m4_generalization_v8/arrival/t20_bl_oracle_escalation_aware_0
m4_arrival	t24_proposed	0	0	2026-07-10T00:36:21	2026-07-10T00:36:36	outputs/rl/m4_generalization_v8/arrival/t24_proposed_0
m4_arrival	t24_proposed	1	0	2026-07-10T00:36:36	2026-07-10T00:36:52	outputs/rl/m4_generalization_v8/arrival/t24_proposed_1
m4_arrival	t24_proposed	2	0	2026-07-10T00:36:52	2026-07-10T00:37:08	outputs/rl/m4_generalization_v8/arrival/t24_proposed_2
m4_arrival	t24_no_lagrangian	0	0	2026-07-10T00:37:08	2026-07-10T00:37:27	outputs/rl/m4_generalization_v8/arrival/t24_no_lagrangian_0
m4_arrival	t24_no_lagrangian	1	0	2026-07-10T00:37:27	2026-07-10T00:37:43	outputs/rl/m4_generalization_v8/arrival/t24_no_lagrangian_1
m4_arrival	t24_no_lagrangian	2	0	2026-07-10T00:37:43	2026-07-10T00:37:59	outputs/rl/m4_generalization_v8/arrival/t24_no_lagrangian_2
m4_arrival	t24_fixed_penalty	0	0	2026-07-10T00:37:59	2026-07-10T00:38:15	outputs/rl/m4_generalization_v8/arrival/t24_fixed_penalty_0
m4_arrival	t24_fixed_penalty	1	0	2026-07-10T00:38:15	2026-07-10T00:38:31	outputs/rl/m4_generalization_v8/arrival/t24_fixed_penalty_1
m4_arrival	t24_fixed_penalty	2	0	2026-07-10T00:38:31	2026-07-10T00:38:47	outputs/rl/m4_generalization_v8/arrival/t24_fixed_penalty_2
m4_arrival	t24_bl_semantic_greedy	0	0	2026-07-10T00:38:47	2026-07-10T00:39:00	outputs/rl/m4_generalization_v8/arrival/t24_bl_semantic_greedy_0
m4_arrival	t24_bl_oracle_escalation_aware	0	0	2026-07-10T00:39:00	2026-07-10T00:39:17	outputs/rl/m4_generalization_v8/arrival/t24_bl_oracle_escalation_aware_0
m4_arrival	t28_proposed	0	0	2026-07-10T00:39:17	2026-07-10T00:39:34	outputs/rl/m4_generalization_v8/arrival/t28_proposed_0
m4_arrival	t28_proposed	1	0	2026-07-10T00:39:34	2026-07-10T00:39:52	outputs/rl/m4_generalization_v8/arrival/t28_proposed_1
m4_arrival	t28_proposed	2	0	2026-07-10T00:39:52	2026-07-10T00:40:10	outputs/rl/m4_generalization_v8/arrival/t28_proposed_2
m4_arrival	t28_no_lagrangian	0	0	2026-07-10T00:40:10	2026-07-10T00:40:30	outputs/rl/m4_generalization_v8/arrival/t28_no_lagrangian_0
m4_arrival	t28_no_lagrangian	1	0	2026-07-10T00:40:30	2026-07-10T00:40:48	outputs/rl/m4_generalization_v8/arrival/t28_no_lagrangian_1
m4_arrival	t28_no_lagrangian	2	0	2026-07-10T00:40:48	2026-07-10T00:41:06	outputs/rl/m4_generalization_v8/arrival/t28_no_lagrangian_2
m4_arrival	t28_fixed_penalty	0	0	2026-07-10T00:41:06	2026-07-10T00:41:23	outputs/rl/m4_generalization_v8/arrival/t28_fixed_penalty_0
m4_arrival	t28_fixed_penalty	1	0	2026-07-10T00:41:23	2026-07-10T00:41:41	outputs/rl/m4_generalization_v8/arrival/t28_fixed_penalty_1
m4_arrival	t28_fixed_penalty	2	0	2026-07-10T00:41:41	2026-07-10T00:41:59	outputs/rl/m4_generalization_v8/arrival/t28_fixed_penalty_2
m4_arrival	t28_bl_semantic_greedy	0	0	2026-07-10T00:41:59	2026-07-10T00:42:13	outputs/rl/m4_generalization_v8/arrival/t28_bl_semantic_greedy_0
m4_arrival	t28_bl_oracle_escalation_aware	0	0	2026-07-10T00:42:13	2026-07-10T00:42:32	outputs/rl/m4_generalization_v8/arrival/t28_bl_oracle_escalation_aware_0
m4_snr	x4p5_proposed	0	0	2026-07-10T00:42:32	2026-07-10T00:42:46	outputs/rl/m4_generalization_v8/snr/x4p5_proposed_0
m4_snr	x4p5_proposed	1	0	2026-07-10T00:42:46	2026-07-10T00:43:01	outputs/rl/m4_generalization_v8/snr/x4p5_proposed_1
m4_snr	x4p5_proposed	2	0	2026-07-10T00:43:01	2026-07-10T00:43:15	outputs/rl/m4_generalization_v8/snr/x4p5_proposed_2
m4_snr	x4p5_no_lagrangian	0	0	2026-07-10T00:43:15	2026-07-10T00:43:31	outputs/rl/m4_generalization_v8/snr/x4p5_no_lagrangian_0
m4_snr	x4p5_no_lagrangian	1	0	2026-07-10T00:43:31	2026-07-10T00:43:46	outputs/rl/m4_generalization_v8/snr/x4p5_no_lagrangian_1
m4_snr	x4p5_no_lagrangian	2	0	2026-07-10T00:43:46	2026-07-10T00:44:00	outputs/rl/m4_generalization_v8/snr/x4p5_no_lagrangian_2
m4_snr	x4p5_fixed_penalty	0	0	2026-07-10T00:44:00	2026-07-10T00:44:14	outputs/rl/m4_generalization_v8/snr/x4p5_fixed_penalty_0
m4_snr	x4p5_fixed_penalty	1	0	2026-07-10T00:44:14	2026-07-10T00:44:29	outputs/rl/m4_generalization_v8/snr/x4p5_fixed_penalty_1
m4_snr	x4p5_fixed_penalty	2	0	2026-07-10T00:44:29	2026-07-10T00:44:43	outputs/rl/m4_generalization_v8/snr/x4p5_fixed_penalty_2
m4_snr	x4p5_bl_semantic_greedy	0	0	2026-07-10T00:44:43	2026-07-10T00:44:55	outputs/rl/m4_generalization_v8/snr/x4p5_bl_semantic_greedy_0
m4_snr	x4p5_bl_oracle_escalation_aware	0	0	2026-07-10T00:44:55	2026-07-10T00:45:09	outputs/rl/m4_generalization_v8/snr/x4p5_bl_oracle_escalation_aware_0
m4_snr	x8_proposed	0	0	2026-07-10T00:45:09	2026-07-10T00:45:23	outputs/rl/m4_generalization_v8/snr/x8_proposed_0
m4_snr	x8_proposed	1	0	2026-07-10T00:45:23	2026-07-10T00:45:38	outputs/rl/m4_generalization_v8/snr/x8_proposed_1
m4_snr	x8_proposed	2	0	2026-07-10T00:45:38	2026-07-10T00:45:52	outputs/rl/m4_generalization_v8/snr/x8_proposed_2
m4_snr	x8_no_lagrangian	0	0	2026-07-10T00:45:52	2026-07-10T00:46:08	outputs/rl/m4_generalization_v8/snr/x8_no_lagrangian_0
m4_snr	x8_no_lagrangian	1	0	2026-07-10T00:46:08	2026-07-10T00:46:23	outputs/rl/m4_generalization_v8/snr/x8_no_lagrangian_1
m4_snr	x8_no_lagrangian	2	0	2026-07-10T00:46:23	2026-07-10T00:46:37	outputs/rl/m4_generalization_v8/snr/x8_no_lagrangian_2
m4_snr	x8_fixed_penalty	0	0	2026-07-10T00:46:37	2026-07-10T00:46:51	outputs/rl/m4_generalization_v8/snr/x8_fixed_penalty_0
m4_snr	x8_fixed_penalty	1	0	2026-07-10T00:46:51	2026-07-10T00:47:06	outputs/rl/m4_generalization_v8/snr/x8_fixed_penalty_1
m4_snr	x8_fixed_penalty	2	0	2026-07-10T00:47:06	2026-07-10T00:47:20	outputs/rl/m4_generalization_v8/snr/x8_fixed_penalty_2
m4_snr	x8_bl_semantic_greedy	0	0	2026-07-10T00:47:20	2026-07-10T00:47:32	outputs/rl/m4_generalization_v8/snr/x8_bl_semantic_greedy_0
m4_snr	x8_bl_oracle_escalation_aware	0	0	2026-07-10T00:47:32	2026-07-10T00:47:47	outputs/rl/m4_generalization_v8/snr/x8_bl_oracle_escalation_aware_0
m4_snr	x12_proposed	0	0	2026-07-10T00:47:47	2026-07-10T00:48:01	outputs/rl/m4_generalization_v8/snr/x12_proposed_0
m4_snr	x12_proposed	1	0	2026-07-10T00:48:01	2026-07-10T00:48:16	outputs/rl/m4_generalization_v8/snr/x12_proposed_1
m4_snr	x12_proposed	2	0	2026-07-10T00:48:16	2026-07-10T00:48:30	outputs/rl/m4_generalization_v8/snr/x12_proposed_2
m4_snr	x12_no_lagrangian	0	0	2026-07-10T00:48:30	2026-07-10T00:48:46	outputs/rl/m4_generalization_v8/snr/x12_no_lagrangian_0
m4_snr	x12_no_lagrangian	1	0	2026-07-10T00:48:46	2026-07-10T00:49:01	outputs/rl/m4_generalization_v8/snr/x12_no_lagrangian_1
m4_snr	x12_no_lagrangian	2	0	2026-07-10T00:49:01	2026-07-10T00:49:15	outputs/rl/m4_generalization_v8/snr/x12_no_lagrangian_2
m4_snr	x12_fixed_penalty	0	0	2026-07-10T00:49:15	2026-07-10T00:49:29	outputs/rl/m4_generalization_v8/snr/x12_fixed_penalty_0
m4_snr	x12_fixed_penalty	1	0	2026-07-10T00:49:29	2026-07-10T00:49:44	outputs/rl/m4_generalization_v8/snr/x12_fixed_penalty_1
m4_snr	x12_fixed_penalty	2	0	2026-07-10T00:49:44	2026-07-10T00:49:58	outputs/rl/m4_generalization_v8/snr/x12_fixed_penalty_2
m4_snr	x12_bl_semantic_greedy	0	0	2026-07-10T00:49:58	2026-07-10T00:50:10	outputs/rl/m4_generalization_v8/snr/x12_bl_semantic_greedy_0
m4_snr	x12_bl_oracle_escalation_aware	0	0	2026-07-10T00:50:10	2026-07-10T00:50:25	outputs/rl/m4_generalization_v8/snr/x12_bl_oracle_escalation_aware_0
m4_snr	x16_proposed	0	0	2026-07-10T00:50:25	2026-07-10T00:50:39	outputs/rl/m4_generalization_v8/snr/x16_proposed_0
m4_snr	x16_proposed	1	0	2026-07-10T00:50:39	2026-07-10T00:50:54	outputs/rl/m4_generalization_v8/snr/x16_proposed_1
m4_snr	x16_proposed	2	0	2026-07-10T00:50:54	2026-07-10T00:51:08	outputs/rl/m4_generalization_v8/snr/x16_proposed_2
m4_snr	x16_no_lagrangian	0	0	2026-07-10T00:51:08	2026-07-10T00:51:24	outputs/rl/m4_generalization_v8/snr/x16_no_lagrangian_0
m4_snr	x16_no_lagrangian	1	0	2026-07-10T00:51:24	2026-07-10T00:51:39	outputs/rl/m4_generalization_v8/snr/x16_no_lagrangian_1
m4_snr	x16_no_lagrangian	2	0	2026-07-10T00:51:39	2026-07-10T00:51:53	outputs/rl/m4_generalization_v8/snr/x16_no_lagrangian_2
m4_snr	x16_fixed_penalty	0	0	2026-07-10T00:51:53	2026-07-10T00:52:08	outputs/rl/m4_generalization_v8/snr/x16_fixed_penalty_0
m4_snr	x16_fixed_penalty	1	0	2026-07-10T00:52:08	2026-07-10T00:52:22	outputs/rl/m4_generalization_v8/snr/x16_fixed_penalty_1
m4_snr	x16_fixed_penalty	2	0	2026-07-10T00:52:22	2026-07-10T00:52:36	outputs/rl/m4_generalization_v8/snr/x16_fixed_penalty_2
m4_snr	x16_bl_semantic_greedy	0	0	2026-07-10T00:52:36	2026-07-10T00:52:48	outputs/rl/m4_generalization_v8/snr/x16_bl_semantic_greedy_0
m4_snr	x16_bl_oracle_escalation_aware	0	0	2026-07-10T00:52:48	2026-07-10T00:53:02	outputs/rl/m4_generalization_v8/snr/x16_bl_oracle_escalation_aware_0
m4_snr	x20_proposed	0	0	2026-07-10T00:53:02	2026-07-10T00:53:17	outputs/rl/m4_generalization_v8/snr/x20_proposed_0
m4_snr	x20_proposed	1	0	2026-07-10T00:53:17	2026-07-10T00:53:32	outputs/rl/m4_generalization_v8/snr/x20_proposed_1
m4_snr	x20_proposed	2	0	2026-07-10T00:53:32	2026-07-10T00:53:46	outputs/rl/m4_generalization_v8/snr/x20_proposed_2
m4_snr	x20_no_lagrangian	0	0	2026-07-10T00:53:46	2026-07-10T00:54:02	outputs/rl/m4_generalization_v8/snr/x20_no_lagrangian_0
m4_snr	x20_no_lagrangian	1	0	2026-07-10T00:54:02	2026-07-10T00:54:17	outputs/rl/m4_generalization_v8/snr/x20_no_lagrangian_1
m4_snr	x20_no_lagrangian	2	0	2026-07-10T00:54:17	2026-07-10T00:54:31	outputs/rl/m4_generalization_v8/snr/x20_no_lagrangian_2
m4_snr	x20_fixed_penalty	0	0	2026-07-10T00:54:31	2026-07-10T00:54:46	outputs/rl/m4_generalization_v8/snr/x20_fixed_penalty_0
