image_id,question_type,question,answer,target_class,object_count,risk_level,epsilon_k,tau_k,view_quality_bin,scale_proxy,occlusion_score,truncation_score,density_score
0000001_03499_d_0000006,presence,Are there awning-tricycle objects in this area?,yes,awning-tricycle,2,normal,0.65,5.0,good,0.252517,0.168831,0.233766,77.0
0000001_03499_d_0000006,counting,How many awning-tricycle objects are in this area?,2,awning-tricycle,2,normal,0.65,5.0,good,0.252517,0.168831,0.233766,77.0
0000001_03499_d_0000006,presence,Are there bicycle objects in this area?,yes,bicycle,1,normal,0.65,5.0,good,0.252517,0.168831,0.233766,77.0
0000001_03499_d_0000006,presence,Are there car objects in this area?,yes,car,16,critical,0.82,3.0,good,0.252517,0.168831,0.233766,77.0
0000001_03499_d_0000006,counting,How many car objects are in this area?,16,car,16,critical,0.82,3.0,good,0.252517,0.168831,0.233766,77.0
0000001_03499_d_0000006,presence,Are there motor objects in this area?,yes,motor,26,critical,0.82,3.0,good,0.252517,0.168831,0.233766,77.0
0000001_03499_d_0000006,counting,How many motor objects are in this area?,26,motor,26,critical,0.82,3.0,good,0.252517,0.168831,0.233766,77.0
0000001_03499_d_0000006,presence,Are there pedestrian objects in this area?,yes,pedestrian,7,normal,0.65,5.0,good,0.252517,0.168831,0.233766,77.0
0000001_03499_d_0000006,counting,How many pedestrian objects are in this area?,7,pedestrian,7,normal,0.65,5.0,good,0.252517,0.168831,0.233766,77.0
0000001_03499_d_0000006,presence,Are there people objects in this area?,yes,people,22,critical,0.82,3.0,good,0.252517,0.168831,0.233766,77.0
0000001_03499_d_0000006,counting,How many people objects are in this area?,22,people,22,critical,0.82,3.0,good,0.252517,0.168831,0.233766,77.0
0000001_03499_d_0000006,presence,Are there tricycle objects in this area?,yes,tricycle,2,normal,0.65,5.0,good,0.252517,0.168831,0.233766,77.0
0000001_03499_d_0000006,counting,How many tricycle objects are in this area?,2,tricycle,2,normal,0.65,5.0,good,0.252517,0.168831,0.233766,77.0
0000001_03499_d_0000006,presence,Are there van objects in this area?,yes,van,1,normal,0.65,5.0,good,0.252517,0.168831,0.233766,77.0
0000001_03499_d_0000006,counting,How many van objects are in this area?,1,van,1,normal,0.65,5.0,good,0.252517,0.168831,0.233766,77.0
0000001_03499_d_0000006,risk,Is this area crowded or blocked?,yes,scene,77,critical,0.82,3.0,good,0.252517,0.168831,0.233766,77.0
0000001_03999_d_0000007,presence,Are there bicycle objects in this area?,yes,bicycle,3,normal,0.65,5.0,medium,0.193923,1.125,0.041667,48.0
0000001_03999_d_0000007,presence,Are there car objects in this area?,yes,car,3,normal,0.65,5.0,medium,0.193923,1.125,0.041667,48.0
0000001_03999_d_0000007,counting,How many car objects are in this area?,3,car,3,normal,0.65,5.0,medium,0.193923,1.125,0.041667,48.0
0000001_03999_d_0000007,presence,Are there motor objects in this area?,yes,motor,17,critical,0.82,3.0,medium,0.193923,1.125,0.041667,48.0
0000001_03999_d_0000007,counting,How many motor objects are in this area?,17,motor,17,critical,0.82,3.0,medium,0.193923,1.125,0.041667,48.0
0000001_03999_d_0000007,presence,Are there pedestrian objects in this area?,yes,pedestrian,8,normal,0.65,5.0,medium,0.193923,1.125,0.041667,48.0
0000001_03999_d_0000007,counting,How many pedestrian objects are in this area?,8,pedestrian,8,normal,0.65,5.0,medium,0.193923,1.125,0.041667,48.0
0000001_03999_d_0000007,presence,Are there people objects in this area?,yes,people,16,critical,0.82,3.0,medium,0.193923,1.125,0.041667,48.0
0000001_03999_d_0000007,counting,How many people objects are in this area?,16,people,16,critical,0.82,3.0,medium,0.193923,1.125,0.041667,48.0
0000001_03999_d_0000007,presence,Are there tricycle objects in this area?,yes,tricycle,1,normal,0.65,5.0,medium,0.193923,1.125,0.041667,48.0
0000001_03999_d_0000007,counting,How many tricycle objects are in this area?,1,tricycle,1,normal,0.65,5.0,medium,0.193923,1.125,0.041667,48.0
0000001_03999_d_0000007,risk,Is this area crowded or blocked?,yes,scene,48,critical,0.82,3.0,medium,0.193923,1.125,0.041667,48.0
0000001_04527_d_0000008,presence,Are there awning-tricycle objects in this area?,yes,awning-tricycle,1,normal,0.65,5.0,poor,0.128301,0.730435,0.026087,115.0
0000001_04527_d_0000008,counting,How many awning-tricycle objects are in this area?,1,awning-tricycle,1,normal,0.65,5.0,poor,0.128301,0.730435,0.026087,115.0
0000001_04527_d_0000008,presence,Are there bicycle objects in this area?,yes,bicycle,4,normal,0.65,5.0,poor,0.128301,0.730435,0.026087,115.0
0000001_04527_d_0000008,presence,Are there car objects in this area?,yes,car,5,normal,0.65,5.0,poor,0.128301,0.730435,0.026087,115.0
0000001_04527_d_0000008,counting,How many car objects are in this area?,5,car,5,normal,0.65,5.0,poor,0.128301,0.730435,0.026087,115.0
0000001_04527_d_0000008,presence,Are there motor objects in this area?,yes,motor,48,critical,0.82,3.0,poor,0.128301,0.730435,0.026087,115.0
0000001_04527_d_0000008,counting,How many motor objects are in this area?,48,motor,48,critical,0.82,3.0,poor,0.128301,0.730435,0.026087,115.0
0000001_04527_d_0000008,presence,Are there pedestrian objects in this area?,yes,pedestrian,28,critical,0.82,3.0,poor,0.128301,0.730435,0.026087,115.0
0000001_04527_d_0000008,counting,How many pedestrian objects are in this area?,28,pedestrian,28,critical,0.82,3.0,poor,0.128301,0.730435,0.026087,115.0
0000001_04527_d_0000008,presence,Are there people objects in this area?,yes,people,26,critical,0.82,3.0,poor,0.128301,0.730435,0.026087,115.0
0000001_04527_d_0000008,counting,How many people objects are in this area?,26,people,26,critical,0.82,3.0,poor,0.128301,0.730435,0.026087,115.0
0000001_04527_d_0000008,presence,Are there tricycle objects in this area?,yes,tricycle,2,normal,0.65,5.0,poor,0.128301,0.730435,0.026087,115.0
0000001_04527_d_0000008,counting,How many tricycle objects are in this area?,2,tricycle,2,normal,0.65,5.0,poor,0.128301,0.730435,0.026087,115.0
0000001_04527_d_0000008,presence,Are there van objects in this area?,yes,van,1,normal,0.65,5.0,poor,0.128301,0.730435,0.026087,115.0
0000001_04527_d_0000008,counting,How many van objects are in this area?,1,van,1,normal,0.65,5.0,poor,0.128301,0.730435,0.026087,115.0
0000001_04527_d_0000008,risk,Is this area crowded or blocked?,yes,scene,115,critical,0.82,3.0,poor,0.128301,0.730435,0.026087,115.0
0000001_05249_d_0000009,presence,Are there car objects in this area?,yes,car,76,critical,0.82,3.0,good,0.278412,0.787611,0.017699,113.0
0000001_05249_d_0000009,counting,How many car objects are in this area?,76,car,76,critical,0.82,3.0,good,0.278412,0.787611,0.017699,113.0
0000001_05249_d_0000009,presence,Are there motor objects in this area?,yes,motor,27,critical,0.82,3.0,good,0.278412,0.787611,0.017699,113.0
0000001_05249_d_0000009,counting,How many motor objects are in this area?,27,motor,27,critical,0.82,3.0,good,0.278412,0.787611,0.017699,113.0
0000001_05249_d_0000009,presence,Are there pedestrian objects in this area?,yes,pedestrian,8,normal,0.65,5.0,good,0.278412,0.787611,0.017699,113.0
0000001_05249_d_0000009,counting,How many pedestrian objects are in this area?,8,pedestrian,8,normal,0.65,5.0,good,0.278412,0.787611,0.017699,113.0
0000001_05249_d_0000009,presence,Are there people objects in this area?,yes,people,1,normal,0.65,5.0,good,0.278412,0.787611,0.017699,113.0
0000001_05249_d_0000009,counting,How many people objects are in this area?,1,people,1,normal,0.65,5.0,good,0.278412,0.787611,0.017699,113.0
0000001_05249_d_0000009,presence,Are there van objects in this area?,yes,van,1,normal,0.65,5.0,good,0.278412,0.787611,0.017699,113.0
0000001_05249_d_0000009,counting,How many van objects are in this area?,1,van,1,normal,0.65,5.0,good,0.278412,0.787611,0.017699,113.0
0000001_05249_d_0000009,risk,Is this area crowded or blocked?,yes,scene,113,critical,0.82,3.0,good,0.278412,0.787611,0.017699,113.0
0000001_05499_d_0000010,presence,Are there awning-tricycle objects in this area?,yes,awning-tricycle,11,critical,0.82,3.0,good,0.556963,0.678571,0.014286,140.0
0000001_05499_d_0000010,counting,How many awning-tricycle objects are in this area?,11,awning-tricycle,11,critical,0.82,3.0,good,0.556963,0.678571,0.014286,140.0
0000001_05499_d_0000010,presence,Are there bicycle objects in this area?,yes,bicycle,2,normal,0.65,5.0,good,0.556963,0.678571,0.014286,140.0
0000001_05499_d_0000010,presence,Are there car objects in this area?,yes,car,68,critical,0.82,3.0,good,0.556963,0.678571,0.014286,140.0
0000001_05499_d_0000010,counting,How many car objects are in this area?,68,car,68,critical,0.82,3.0,good,0.556963,0.678571,0.014286,140.0
0000001_05499_d_0000010,presence,Are there motor objects in this area?,yes,motor,31,critical,0.82,3.0,good,0.556963,0.678571,0.014286,140.0
0000001_05499_d_0000010,counting,How many motor objects are in this area?,31,motor,31,critical,0.82,3.0,good,0.556963,0.678571,0.014286,140.0
0000001_05499_d_0000010,presence,Are there pedestrian objects in this area?,yes,pedestrian,10,critical,0.82,3.0,good,0.556963,0.678571,0.014286,140.0
0000001_05499_d_0000010,counting,How many pedestrian objects are in this area?,10,pedestrian,10,critical,0.82,3.0,good,0.556963,0.678571,0.014286,140.0
0000001_05499_d_0000010,presence,Are there people objects in this area?,yes,people,13,critical,0.82,3.0,good,0.556963,0.678571,0.014286,140.0
0000001_05499_d_0000010,counting,How many people objects are in this area?,13,people,13,critical,0.82,3.0,good,0.556963,0.678571,0.014286,140.0
0000001_05499_d_0000010,presence,Are there tricycle objects in this area?,yes,tricycle,1,normal,0.65,5.0,good,0.556963,0.678571,0.014286,140.0
0000001_05499_d_0000010,counting,How many tricycle objects are in this area?,1,tricycle,1,normal,0.65,5.0,good,0.556963,0.678571,0.014286,140.0
0000001_05499_d_0000010,presence,Are there van objects in this area?,yes,van,4,normal,0.65,5.0,good,0.556963,0.678571,0.014286,140.0
0000001_05499_d_0000010,counting,How many van objects are in this area?,4,van,4,normal,0.65,5.0,good,0.556963,0.678571,0.014286,140.0
0000001_05499_d_0000010,risk,Is this area crowded or blocked?,yes,scene,140,critical,0.82,3.0,good,0.556963,0.678571,0.014286,140.0
0000001_05999_d_0000011,presence,Are there awning-tricycle objects in this area?,yes,awning-tricycle,3,normal,0.65,5.0,good,0.331293,0.634783,0.008696,115.0
0000001_05999_d_0000011,counting,How many awning-tricycle objects are in this area?,3,awning-tricycle,3,normal,0.65,5.0,good,0.331293,0.634783,0.008696,115.0
0000001_05999_d_0000011,presence,Are there bicycle objects in this area?,yes,bicycle,2,normal,0.65,5.0,good,0.331293,0.634783,0.008696,115.0
0000001_05999_d_0000011,presence,Are there car objects in this area?,yes,car,37,critical,0.82,3.0,good,0.331293,0.634783,0.008696,115.0
0000001_05999_d_0000011,counting,How many car objects are in this area?,37,car,37,critical,0.82,3.0,good,0.331293,0.634783,0.008696,115.0
0000001_05999_d_0000011,presence,Are there motor objects in this area?,yes,motor,19,critical,0.82,3.0,good,0.331293,0.634783,0.008696,115.0
0000001_05999_d_0000011,counting,How many motor objects are in this area?,19,motor,19,critical,0.82,3.0,good,0.331293,0.634783,0.008696,115.0
0000001_05999_d_0000011,presence,Are there pedestrian objects in this area?,yes,pedestrian,39,critical,0.82,3.0,good,0.331293,0.634783,0.008696,115.0
0000001_05999_d_0000011,counting,How many pedestrian objects are in this area?,39,pedestrian,39,critical,0.82,3.0,good,0.331293,0.634783,0.008696,115.0
0000001_05999_d_0000011,presence,Are there people objects in this area?,yes,people,13,critical,0.82,3.0,good,0.331293,0.634783,0.008696,115.0
0000001_05999_d_0000011,counting,How many people objects are in this area?,13,people,13,critical,0.82,3.0,good,0.331293,0.634783,0.008696,115.0
0000001_05999_d_0000011,presence,Are there van objects in this area?,yes,van,2,normal,0.65,5.0,good,0.331293,0.634783,0.008696,115.0
0000001_05999_d_0000011,counting,How many van objects are in this area?,2,van,2,normal,0.65,5.0,good,0.331293,0.634783,0.008696,115.0
0000001_05999_d_0000011,risk,Is this area crowded or blocked?,yes,scene,115,critical,0.82,3.0,good,0.331293,0.634783,0.008696,115.0
0000001_07999_d_0000012,presence,Are there bicycle objects in this area?,yes,bicycle,3,normal,0.65,5.0,poor,0.132942,0.507353,0.014706,136.0
0000001_07999_d_0000012,presence,Are there car objects in this area?,yes,car,10,critical,0.82,3.0,poor,0.132942,0.507353,0.014706,136.0
0000001_07999_d_0000012,counting,How many car objects are in this area?,10,car,10,critical,0.82,3.0,poor,0.132942,0.507353,0.014706,136.0
0000001_07999_d_0000012,presence,Are there motor objects in this area?,yes,motor,36,critical,0.82,3.0,poor,0.132942,0.507353,0.014706,136.0
0000001_07999_d_0000012,counting,How many motor objects are in this area?,36,motor,36,critical,0.82,3.0,poor,0.132942,0.507353,0.014706,136.0
0000001_07999_d_0000012,presence,Are there pedestrian objects in this area?,yes,pedestrian,45,critical,0.82,3.0,poor,0.132942,0.507353,0.014706,136.0
0000001_07999_d_0000012,counting,How many pedestrian objects are in this area?,45,pedestrian,45,critical,0.82,3.0,poor,0.132942,0.507353,0.014706,136.0
0000001_07999_d_0000012,presence,Are there people objects in this area?,yes,people,33,critical,0.82,3.0,poor,0.132942,0.507353,0.014706,136.0
0000001_07999_d_0000012,counting,How many people objects are in this area?,33,people,33,critical,0.82,3.0,poor,0.132942,0.507353,0.014706,136.0
0000001_07999_d_0000012,presence,Are there tricycle objects in this area?,yes,tricycle,9,normal,0.65,5.0,poor,0.132942,0.507353,0.014706,136.0
0000001_07999_d_0000012,counting,How many tricycle objects are in this area?,9,tricycle,9,normal,0.65,5.0,poor,0.132942,0.507353,0.014706,136.0
0000001_07999_d_0000012,risk,Is this area crowded or blocked?,yes,scene,136,critical,0.82,3.0,poor,0.132942,0.507353,0.014706,136.0
0000001_08414_d_0000013,presence,Are there awning-tricycle objects in this area?,yes,awning-tricycle,1,normal,0.65,5.0,medium,0.201655,0.993902,0.006098,164.0
0000001_08414_d_0000013,counting,How many awning-tricycle objects are in this area?,1,awning-tricycle,1,normal,0.65,5.0,medium,0.201655,0.993902,0.006098,164.0
0000001_08414_d_0000013,presence,Are there bicycle objects in this area?,yes,bicycle,4,normal,0.65,5.0,medium,0.201655,0.993902,0.006098,164.0
0000001_08414_d_0000013,presence,Are there car objects in this area?,yes,car,20,critical,0.82,3.0,medium,0.201655,0.993902,0.006098,164.0
0000001_08414_d_0000013,counting,How many car objects are in this area?,20,car,20,critical,0.82,3.0,medium,0.201655,0.993902,0.006098,164.0
0000001_08414_d_0000013,presence,Are there motor objects in this area?,yes,motor,43,critical,0.82,3.0,medium,0.201655,0.993902,0.006098,164.0
0000001_08414_d_0000013,counting,How many motor objects are in this area?,43,motor,43,critical,0.82,3.0,medium,0.201655,0.993902,0.006098,164.0
0000001_08414_d_0000013,presence,Are there pedestrian objects in this area?,yes,pedestrian,33,critical,0.82,3.0,medium,0.201655,0.993902,0.006098,164.0
0000001_08414_d_0000013,counting,How many pedestrian objects are in this area?,33,pedestrian,33,critical,0.82,3.0,medium,0.201655,0.993902,0.006098,164.0
0000001_08414_d_0000013,presence,Are there people objects in this area?,yes,people,54,critical,0.82,3.0,medium,0.201655,0.993902,0.006098,164.0
0000001_08414_d_0000013,counting,How many people objects are in this area?,54,people,54,critical,0.82,3.0,medium,0.201655,0.993902,0.006098,164.0
0000001_08414_d_0000013,presence,Are there tricycle objects in this area?,yes,tricycle,8,normal,0.65,5.0,medium,0.201655,0.993902,0.006098,164.0
0000001_08414_d_0000013,counting,How many tricycle objects are in this area?,8,tricycle,8,normal,0.65,5.0,medium,0.201655,0.993902,0.006098,164.0
0000001_08414_d_0000013,presence,Are there van objects in this area?,yes,van,1,normal,0.65,5.0,medium,0.201655,0.993902,0.006098,164.0
0000001_08414_d_0000013,counting,How many van objects are in this area?,1,van,1,normal,0.65,5.0,medium,0.201655,0.993902,0.006098,164.0
0000001_08414_d_0000013,risk,Is this area crowded or blocked?,yes,scene,164,critical,0.82,3.0,medium,0.201655,0.993902,0.006098,164.0
0000021_00000_d_0000001,presence,Are there motor objects in this area?,yes,motor,7,normal,0.65,5.0,medium,0.159496,0.709677,0.064516,31.0
0000021_00000_d_0000001,counting,How many motor objects are in this area?,7,motor,7,normal,0.65,5.0,medium,0.159496,0.709677,0.064516,31.0
0000021_00000_d_0000001,presence,Are there pedestrian objects in this area?,yes,pedestrian,9,normal,0.65,5.0,medium,0.159496,0.709677,0.064516,31.0
0000021_00000_d_0000001,counting,How many pedestrian objects are in this area?,9,pedestrian,9,normal,0.65,5.0,medium,0.159496,0.709677,0.064516,31.0
0000021_00000_d_0000001,presence,Are there people objects in this area?,yes,people,12,critical,0.82,3.0,medium,0.159496,0.709677,0.064516,31.0
0000021_00000_d_0000001,counting,How many people objects are in this area?,12,people,12,critical,0.82,3.0,medium,0.159496,0.709677,0.064516,31.0
0000021_00000_d_0000001,presence,Are there tricycle objects in this area?,yes,tricycle,3,normal,0.65,5.0,medium,0.159496,0.709677,0.064516,31.0
0000021_00000_d_0000001,counting,How many tricycle objects are in this area?,3,tricycle,3,normal,0.65,5.0,medium,0.159496,0.709677,0.064516,31.0
0000021_00000_d_0000001,risk,Is this area crowded or blocked?,yes,scene,31,critical,0.82,3.0,medium,0.159496,0.709677,0.064516,31.0
0000021_00500_d_0000002,presence,Are there motor objects in this area?,yes,motor,3,normal,0.65,5.0,medium,0.143276,0.882353,0.058824,17.0
0000021_00500_d_0000002,counting,How many motor objects are in this area?,3,motor,3,normal,0.65,5.0,medium,0.143276,0.882353,0.058824,17.0
0000021_00500_d_0000002,presence,Are there pedestrian objects in this area?,yes,pedestrian,7,normal,0.65,5.0,medium,0.143276,0.882353,0.058824,17.0
0000021_00500_d_0000002,counting,How many pedestrian objects are in this area?,7,pedestrian,7,normal,0.65,5.0,medium,0.143276,0.882353,0.058824,17.0
0000021_00500_d_0000002,presence,Are there people objects in this area?,yes,people,3,normal,0.65,5.0,medium,0.143276,0.882353,0.058824,17.0
0000021_00500_d_0000002,counting,How many people objects are in this area?,3,people,3,normal,0.65,5.0,medium,0.143276,0.882353,0.058824,17.0
0000021_00500_d_0000002,presence,Are there tricycle objects in this area?,yes,tricycle,4,normal,0.65,5.0,medium,0.143276,0.882353,0.058824,17.0
0000021_00500_d_0000002,counting,How many tricycle objects are in this area?,4,tricycle,4,normal,0.65,5.0,medium,0.143276,0.882353,0.058824,17.0
0000021_00500_d_0000002,risk,Is this area crowded or blocked?,yes,scene,17,critical,0.82,3.0,medium,0.143276,0.882353,0.058824,17.0
0000021_00800_d_0000003,presence,Are there motor objects in this area?,yes,motor,1,normal,0.65,5.0,poor,0.102427,0.285714,0.0,7.0
0000021_00800_d_0000003,counting,How many motor objects are in this area?,1,motor,1,normal,0.65,5.0,poor,0.102427,0.285714,0.0,7.0
0000021_00800_d_0000003,presence,Are there pedestrian objects in this area?,yes,pedestrian,3,normal,0.65,5.0,poor,0.102427,0.285714,0.0,7.0
0000021_00800_d_0000003,counting,How many pedestrian objects are in this area?,3,pedestrian,3,normal,0.65,5.0,poor,0.102427,0.285714,0.0,7.0
0000021_00800_d_0000003,presence,Are there people objects in this area?,yes,people,1,normal,0.65,5.0,poor,0.102427,0.285714,0.0,7.0
0000021_00800_d_0000003,counting,How many people objects are in this area?,1,people,1,normal,0.65,5.0,poor,0.102427,0.285714,0.0,7.0
0000021_00800_d_0000003,presence,Are there tricycle objects in this area?,yes,tricycle,2,normal,0.65,5.0,poor,0.102427,0.285714,0.0,7.0
0000021_00800_d_0000003,counting,How many tricycle objects are in this area?,2,tricycle,2,normal,0.65,5.0,poor,0.102427,0.285714,0.0,7.0
0000021_00800_d_0000003,risk,Is this area crowded or blocked?,no,scene,7,critical,0.82,3.0,poor,0.102427,0.285714,0.0,7.0
0000022_00000_d_0000004,presence,Are there bicycle objects in this area?,yes,bicycle,1,normal,0.65,5.0,poor,0.067613,0.833333,0.071429,42.0
0000022_00000_d_0000004,presence,Are there motor objects in this area?,yes,motor,7,normal,0.65,5.0,poor,0.067613,0.833333,0.071429,42.0
0000022_00000_d_0000004,counting,How many motor objects are in this area?,7,motor,7,normal,0.65,5.0,poor,0.067613,0.833333,0.071429,42.0
0000022_00000_d_0000004,presence,Are there pedestrian objects in this area?,yes,pedestrian,23,critical,0.82,3.0,poor,0.067613,0.833333,0.071429,42.0
0000022_00000_d_0000004,counting,How many pedestrian objects are in this area?,23,pedestrian,23,critical,0.82,3.0,poor,0.067613,0.833333,0.071429,42.0
0000022_00000_d_0000004,presence,Are there people objects in this area?,yes,people,10,critical,0.82,3.0,poor,0.067613,0.833333,0.071429,42.0
0000022_00000_d_0000004,counting,How many people objects are in this area?,10,people,10,critical,0.82,3.0,poor,0.067613,0.833333,0.071429,42.0
0000022_00000_d_0000004,risk,Is this area crowded or blocked?,yes,scene,42,critical,0.82,3.0,poor,0.067613,0.833333,0.071429,42.0
0000022_00500_d_0000005,presence,Are there bicycle objects in this area?,yes,bicycle,1,normal,0.65,5.0,poor,0.121037,0.8125,0.0,32.0
0000022_00500_d_0000005,presence,Are there motor objects in this area?,yes,motor,6,normal,0.65,5.0,poor,0.121037,0.8125,0.0,32.0
0000022_00500_d_0000005,counting,How many motor objects are in this area?,6,motor,6,normal,0.65,5.0,poor,0.121037,0.8125,0.0,32.0
0000022_00500_d_0000005,presence,Are there pedestrian objects in this area?,yes,pedestrian,17,critical,0.82,3.0,poor,0.121037,0.8125,0.0,32.0
0000022_00500_d_0000005,counting,How many pedestrian objects are in this area?,17,pedestrian,17,critical,0.82,3.0,poor,0.121037,0.8125,0.0,32.0
0000022_00500_d_0000005,presence,Are there people objects in this area?,yes,people,8,normal,0.65,5.0,poor,0.121037,0.8125,0.0,32.0
0000022_00500_d_0000005,counting,How many people objects are in this area?,8,people,8,normal,0.65,5.0,poor,0.121037,0.8125,0.0,32.0
0000022_00500_d_0000005,risk,Is this area crowded or blocked?,yes,scene,32,critical,0.82,3.0,poor,0.121037,0.8125,0.0,32.0
0000022_01036_d_0000006,presence,Are there bicycle objects in this area?,yes,bicycle,1,normal,0.65,5.0,medium,0.193373,0.9375,0.0,16.0
0000022_01036_d_0000006,presence,Are there motor objects in this area?,yes,motor,2,normal,0.65,5.0,medium,0.193373,0.9375,0.0,16.0
0000022_01036_d_0000006,counting,How many motor objects are in this area?,2,motor,2,normal,0.65,5.0,medium,0.193373,0.9375,0.0,16.0
0000022_01036_d_0000006,presence,Are there pedestrian objects in this area?,yes,pedestrian,8,normal,0.65,5.0,medium,0.193373,0.9375,0.0,16.0
0000022_01036_d_0000006,counting,How many pedestrian objects are in this area?,8,pedestrian,8,normal,0.65,5.0,medium,0.193373,0.9375,0.0,16.0
0000022_01036_d_0000006,presence,Are there people objects in this area?,yes,people,5,normal,0.65,5.0,medium,0.193373,0.9375,0.0,16.0
0000022_01036_d_0000006,counting,How many people objects are in this area?,5,people,5,normal,0.65,5.0,medium,0.193373,0.9375,0.0,16.0
0000022_01036_d_0000006,risk,Is this area crowded or blocked?,yes,scene,16,critical,0.82,3.0,medium,0.193373,0.9375,0.0,16.0
0000022_01251_d_0000007,presence,Are there motor objects in this area?,yes,motor,2,normal,0.65,5.0,good,0.537665,0.583333,0.0,12.0
0000022_01251_d_0000007,counting,How many motor objects are in this area?,2,motor,2,normal,0.65,5.0,good,0.537665,0.583333,0.0,12.0
0000022_01251_d_0000007,presence,Are there pedestrian objects in this area?,yes,pedestrian,3,normal,0.65,5.0,good,0.537665,0.583333,0.0,12.0
0000022_01251_d_0000007,counting,How many pedestrian objects are in this area?,3,pedestrian,3,normal,0.65,5.0,good,0.537665,0.583333,0.0,12.0
0000022_01251_d_0000007,presence,Are there people objects in this area?,yes,people,7,normal,0.65,5.0,good,0.537665,0.583333,0.0,12.0
0000022_01251_d_0000007,counting,How many people objects are in this area?,7,people,7,normal,0.65,5.0,good,0.537665,0.583333,0.0,12.0
0000022_01251_d_0000007,risk,Is this area crowded or blocked?,yes,scene,12,critical,0.82,3.0,good,0.537665,0.583333,0.0,12.0
0000023_00000_d_0000008,presence,Are there awning-tricycle objects in this area?,yes,awning-tricycle,2,normal,0.65,5.0,poor,0.074322,0.5,0.025,40.0
0000023_00000_d_0000008,counting,How many awning-tricycle objects are in this area?,2,awning-tricycle,2,normal,0.65,5.0,poor,0.074322,0.5,0.025,40.0
0000023_00000_d_0000008,presence,Are there car objects in this area?,yes,car,1,normal,0.65,5.0,poor,0.074322,0.5,0.025,40.0
0000023_00000_d_0000008,counting,How many car objects are in this area?,1,car,1,normal,0.65,5.0,poor,0.074322,0.5,0.025,40.0
0000023_00000_d_0000008,presence,Are there motor objects in this area?,yes,motor,8,normal,0.65,5.0,poor,0.074322,0.5,0.025,40.0
0000023_00000_d_0000008,counting,How many motor objects are in this area?,8,motor,8,normal,0.65,5.0,poor,0.074322,0.5,0.025,40.0
0000023_00000_d_0000008,presence,Are there pedestrian objects in this area?,yes,pedestrian,20,critical,0.82,3.0,poor,0.074322,0.5,0.025,40.0
0000023_00000_d_0000008,counting,How many pedestrian objects are in this area?,20,pedestrian,20,critical,0.82,3.0,poor,0.074322,0.5,0.025,40.0
0000023_00000_d_0000008,presence,Are there people objects in this area?,yes,people,9,normal,0.65,5.0,poor,0.074322,0.5,0.025,40.0
