image_id,question_type,question,answer,target_class,object_count,risk_level,epsilon_k,tau_k,view_quality_bin,scale_proxy,occlusion_score,truncation_score,density_score,presence_polarity,target_class_b
0000022_01036_d_0000006,comparison,Are there more pedestrian than people objects in this area?,yes,pedestrian,8,normal,0.65,5.0,poor,0.103593,0.9375,0.0,16.0,,people
0000022_01251_d_0000007,comparison,Are there more pedestrian than people objects in this area?,no,pedestrian,3,normal,0.65,5.0,medium,0.305603,0.583333,0.0,12.0,,people
0000023_00000_d_0000008,comparison,Are there more pedestrian than people objects in this area?,yes,pedestrian,20,normal,0.65,5.0,poor,0.037785,0.5,0.025,40.0,,people
0000023_00300_d_0000009,comparison,Are there more motor than pedestrian objects in this area?,no,motor,7,normal,0.65,5.0,poor,0.055333,1.0,0.0,30.0,,pedestrian
0000023_00868_d_0000010,comparison,Are there more pedestrian than people objects in this area?,yes,pedestrian,10,normal,0.65,5.0,poor,0.194819,0.75,0.0,20.0,,people
0000023_01233_d_0000011,comparison,Are there more pedestrian than people objects in this area?,no,pedestrian,5,normal,0.65,5.0,medium,0.34067,0.928571,0.0,14.0,,people
0000024_00000_d_0000012,comparison,Are there more pedestrian than motor objects in this area?,yes,pedestrian,13,normal,0.65,5.0,poor,0.080242,0.666667,0.095238,21.0,,motor
0000024_00500_d_0000013,comparison,Are there more motor than people objects in this area?,no,motor,3,normal,0.65,5.0,poor,0.191691,1.1,0.0,10.0,,people
0000024_01000_d_0000014,comparison,Are there more pedestrian than awning-tricycle objects in this area?,yes,pedestrian,10,normal,0.65,5.0,poor,0.032976,0.666667,0.0,12.0,,awning-tricycle
0000024_01543_d_0000015,comparison,Are there more motor than pedestrian objects in this area?,no,motor,1,normal,0.65,5.0,poor,0.167917,1.25,0.0,8.0,,pedestrian
0000026_00000_d_0000024,comparison,Are there more car than pedestrian objects in this area?,yes,car,6,normal,0.65,5.0,good,0.839785,0.5,0.125,8.0,,pedestrian
0000026_00500_d_0000025,comparison,Are there more pedestrian than car objects in this area?,no,pedestrian,5,critical,0.82,3.0,good,0.696725,0.4,0.133333,15.0,,car
0000026_01000_d_0000026,comparison,Are there more car than van objects in this area?,yes,car,15,critical,0.82,3.0,medium,0.515185,0.08,0.2,25.0,,van
0000026_01500_d_0000027,comparison,Are there more pedestrian than car objects in this area?,no,pedestrian,1,normal,0.65,5.0,good,0.803362,0.2,0.3,10.0,,car
0000026_02500_d_0000029,comparison,Are there more pedestrian than car objects in this area?,yes,pedestrian,12,normal,0.65,5.0,medium,0.409574,0.352941,0.235294,17.0,,car
0000026_03000_d_0000030,comparison,Are there more tricycle than car objects in this area?,no,tricycle,1,critical,0.82,3.0,good,0.780577,0.307692,0.0,13.0,,car
0000026_03500_d_0000031,comparison,Are there more car than pedestrian objects in this area?,yes,car,18,critical,0.82,3.0,medium,0.496603,0.434783,0.26087,23.0,,pedestrian
0000026_04000_d_0000032,comparison,Are there more motor than car objects in this area?,no,motor,1,critical,0.82,3.0,good,0.710357,0.142857,0.357143,14.0,,car
0000026_04500_d_0000033,comparison,Are there more car than van objects in this area?,yes,car,35,critical,0.82,3.0,poor,0.131262,1.042553,0.170213,47.0,,van
0000026_04978_d_0000034,comparison,Are there more people than car objects in this area?,no,people,6,critical,0.82,3.0,poor,0.14696,0.933333,0.088889,45.0,,car
0000055_00000_d_0000109,comparison,Are there more pedestrian than people objects in this area?,yes,pedestrian,52,critical,0.82,3.0,poor,0.072718,0.782178,0.039604,101.0,,people
0000055_00714_d_0000110,comparison,Are there more people than pedestrian objects in this area?,no,people,23,critical,0.82,3.0,poor,0.079719,0.8,0.047059,85.0,,pedestrian
0000069_00001_d_0000001,comparison,Are there more pedestrian than people objects in this area?,yes,pedestrian,19,normal,0.65,5.0,poor,0.243505,0.382353,0.0,34.0,,people
0000069_00483_d_0000002,comparison,Are there more people than pedestrian objects in this area?,no,people,3,critical,0.82,3.0,poor,0.224279,0.407407,0.0,27.0,,pedestrian
0000069_00713_d_0000003,comparison,Are there more pedestrian than people objects in this area?,yes,pedestrian,34,normal,0.65,5.0,poor,0.225845,0.285714,0.163265,49.0,,people
0000069_01109_d_0000004,comparison,Are there more motor than pedestrian objects in this area?,no,motor,2,normal,0.65,5.0,poor,0.116705,0.516129,0.0,31.0,,pedestrian
0000069_01878_d_0000005,comparison,Are there more pedestrian than people objects in this area?,yes,pedestrian,30,critical,0.82,3.0,poor,0.22798,0.166667,0.305556,36.0,,people
0000069_02163_d_0000006,comparison,Are there more car than pedestrian objects in this area?,no,car,6,normal,0.65,5.0,poor,0.159519,0.734694,0.244898,49.0,,pedestrian
0000069_02480_d_0000007,comparison,Are there more pedestrian than car objects in this area?,yes,pedestrian,40,critical,0.82,3.0,poor,0.103804,1.0,0.0625,64.0,,car
0000072_02834_d_0000003,comparison,Are there more people than pedestrian objects in this area?,no,people,11,normal,0.65,5.0,poor,0.126718,0.30137,0.027397,73.0,,pedestrian
0000076_02142_d_0000009,comparison,Are there more truck than pedestrian objects in this area?,yes,truck,6,normal,0.65,5.0,good,0.808994,0.181818,0.0,11.0,,pedestrian
0000081_00000_d_0000001,comparison,Are there more people than pedestrian objects in this area?,no,people,18,critical,0.82,3.0,poor,0.03399,0.77907,0.011628,86.0,,pedestrian
0000086_00000_d_0000001,comparison,Are there more pedestrian than people objects in this area?,yes,pedestrian,24,normal,0.65,5.0,poor,0.080461,0.189189,0.054054,37.0,,people
0000086_00592_d_0000002,comparison,Are there more people than pedestrian objects in this area?,no,people,25,normal,0.65,5.0,poor,0.061294,0.492308,0.0,65.0,,pedestrian
0000086_01084_d_0000003,comparison,Are there more pedestrian than people objects in this area?,yes,pedestrian,112,normal,0.65,5.0,poor,0.027901,0.684932,0.013699,146.0,,people
0000086_01443_d_0000004,comparison,Are there more people than pedestrian objects in this area?,no,people,20,normal,0.65,5.0,poor,0.034028,0.570093,0.0,107.0,,pedestrian
0000086_01954_d_0000005,comparison,Are there more pedestrian than people objects in this area?,yes,pedestrian,124,normal,0.65,5.0,poor,0.021012,0.716763,0.011561,173.0,,people
0000103_00502_d_0000027,comparison,Are there more car than pedestrian objects in this area?,no,car,1,normal,0.65,5.0,good,0.941667,0.333333,0.0,3.0,,pedestrian
0000103_01734_d_0000028,comparison,Are there more car than pedestrian objects in this area?,yes,car,3,normal,0.65,5.0,good,0.836719,0.25,0.5,4.0,,pedestrian
0000103_02544_d_0000029,comparison,Are there more people than motor objects in this area?,no,people,3,normal,0.65,5.0,good,0.67,0.928571,0.0,14.0,,motor
0000103_02964_d_0000030,comparison,Are there more motor than car objects in this area?,yes,motor,4,normal,0.65,5.0,good,0.701381,0.9,0.3,10.0,,car
0000103_03349_d_0000031,comparison,Are there more pedestrian than car objects in this area?,no,pedestrian,1,normal,0.65,5.0,good,0.836719,0.25,0.5,4.0,,car
0000103_03738_d_0000032,comparison,Are there more pedestrian than truck objects in this area?,yes,pedestrian,2,normal,0.65,5.0,good,0.916667,0.0,0.333333,3.0,,truck
0000103_04122_d_0000033,comparison,Are there more people than pedestrian objects in this area?,no,people,1,normal,0.65,5.0,medium,0.472404,0.75,0.0,4.0,,pedestrian
0000115_00315_d_0000080,comparison,Are there more pedestrian than people objects in this area?,yes,pedestrian,20,normal,0.65,5.0,poor,0.026545,1.098361,0.04918,61.0,,people
0000115_00796_d_0000081,comparison,Are there more people than pedestrian objects in this area?,no,people,15,normal,0.65,5.0,poor,0.041773,0.525641,0.012821,78.0,,pedestrian
0000115_01031_d_0000082,comparison,Are there more motor than pedestrian objects in this area?,yes,motor,20,normal,0.65,5.0,poor,0.048561,0.650794,0.0,63.0,,pedestrian
0000116_00351_d_0000083,comparison,Are there more motor than people objects in this area?,no,motor,17,normal,0.65,5.0,poor,0.037627,0.837838,0.054054,74.0,,people
0000116_00819_d_0000084,comparison,Are there more car than motor objects in this area?,yes,car,11,normal,0.65,5.0,poor,0.069431,0.444444,0.055556,36.0,,motor
0000116_01059_d_0000085,comparison,Are there more pedestrian than motor objects in this area?,no,pedestrian,14,normal,0.65,5.0,poor,0.034927,1.0,0.028571,70.0,,motor
0000116_01338_d_0000086,comparison,Are there more pedestrian than motor objects in this area?,yes,pedestrian,16,normal,0.65,5.0,poor,0.05922,0.851852,0.0,54.0,,motor
0000117_00112_d_0000087,comparison,Are there more car than pedestrian objects in this area?,no,car,11,normal,0.65,5.0,poor,0.071218,0.472868,0.023256,129.0,,pedestrian
0000117_01326_d_0000088,comparison,Are there more pedestrian than car objects in this area?,yes,pedestrian,34,normal,0.65,5.0,poor,0.119122,0.241935,0.032258,62.0,,car
0000117_01731_d_0000089,comparison,Are there more car than pedestrian objects in this area?,no,car,16,critical,0.82,3.0,poor,0.190732,0.255319,0.042553,47.0,,pedestrian
0000117_02708_d_0000090,comparison,Are there more pedestrian than car objects in this area?,yes,pedestrian,68,normal,0.65,5.0,poor,0.082025,0.33,0.0,100.0,,car
0000117_03096_d_0000091,comparison,Are there more pedestrian than car objects in this area?,no,pedestrian,7,normal,0.65,5.0,poor,0.24858,0.625,0.0,24.0,,car
0000129_02411_d_0000138,comparison,Are there more car than pedestrian objects in this area?,yes,car,90,critical,0.82,3.0,poor,0.103419,0.290323,0.037634,186.0,,pedestrian
0000153_00001_d_0000001,comparison,Are there more people than car objects in this area?,no,people,16,normal,0.65,5.0,poor,0.047783,0.618182,0.0,55.0,,car
0000153_00401_d_0000001,comparison,Are there more motor than car objects in this area?,yes,motor,17,normal,0.65,5.0,poor,0.088206,0.186441,0.050847,59.0,,car
0000153_00801_d_0000001,comparison,Are there more pedestrian than motor objects in this area?,no,pedestrian,13,normal,0.65,5.0,poor,0.034374,1.204082,0.0,49.0,,motor
0000153_01201_d_0000001,comparison,Are there more people than motor objects in this area?,yes,people,24,normal,0.65,5.0,poor,0.014709,0.830508,0.0,59.0,,motor
0000153_01601_d_0000001,comparison,Are there more motor than people objects in this area?,no,motor,21,normal,0.65,5.0,poor,0.034664,0.920635,0.063492,63.0,,people
0000153_01801_d_0000001,comparison,Are there more motor than people objects in this area?,yes,motor,26,normal,0.65,5.0,poor,0.018093,0.836364,0.0,55.0,,people
0000154_00001_d_0000001,comparison,Are there more motor than people objects in this area?,no,motor,15,normal,0.65,5.0,poor,0.027429,1.411765,0.0,51.0,,people
0000154_00401_d_0000001,comparison,Are there more people than motor objects in this area?,yes,people,19,normal,0.65,5.0,poor,0.029334,0.868852,0.016393,61.0,,motor
0000154_00801_d_0000001,comparison,Are there more car than people objects in this area?,no,car,16,normal,0.65,5.0,poor,0.026371,0.805556,0.055556,72.0,,people
0000154_01201_d_0000001,comparison,Are there more motor than people objects in this area?,yes,motor,27,normal,0.65,5.0,poor,0.024614,0.950617,0.012346,81.0,,people
0000154_01601_d_0000001,comparison,Are there more motor than car objects in this area?,no,motor,26,normal,0.65,5.0,poor,0.033587,0.732673,0.039604,101.0,,car
0000154_02001_d_0000001,comparison,Are there more people than motor objects in this area?,yes,people,29,critical,0.82,3.0,poor,0.033737,1.216867,0.024096,83.0,,motor
0000155_00001_d_0000001,comparison,Are there more motor than people objects in this area?,no,motor,23,normal,0.65,5.0,poor,0.060478,1.092784,0.041237,97.0,,people
0000155_00401_d_0000001,comparison,Are there more people than motor objects in this area?,yes,people,43,normal,0.65,5.0,poor,0.0335,0.844262,0.0,122.0,,motor
0000155_00801_d_0000001,comparison,Are there more car than motor objects in this area?,no,car,23,normal,0.65,5.0,poor,0.043494,0.745283,0.037736,106.0,,motor
0000155_01201_d_0000001,comparison,Are there more motor than people objects in this area?,yes,motor,35,normal,0.65,5.0,poor,0.030128,0.829787,0.031915,94.0,,people
0000155_01601_d_0000001,comparison,Are there more people than motor objects in this area?,no,people,24,normal,0.65,5.0,poor,0.043886,0.506849,0.0,73.0,,motor
0000155_01871_d_0000001,comparison,Are there more motor than car objects in this area?,yes,motor,16,normal,0.65,5.0,poor,0.038092,1.109091,0.018182,55.0,,car
0000162_00001_d_0000001,comparison,Are there more motor than car objects in this area?,no,motor,8,normal,0.65,5.0,poor,0.074147,0.5,0.029412,34.0,,car
0000162_00401_d_0000001,comparison,Are there more people than car objects in this area?,yes,people,14,normal,0.65,5.0,poor,0.040142,0.826087,0.0,46.0,,car
0000162_00801_d_0000001,comparison,Are there more motor than car objects in this area?,no,motor,5,normal,0.65,5.0,poor,0.088585,0.533333,0.033333,30.0,,car
0000162_01058_d_0000001,comparison,Are there more people than motor objects in this area?,yes,people,17,normal,0.65,5.0,poor,0.038644,0.684211,0.0,57.0,,motor
0000163_00001_d_0000001,comparison,Are there more motor than people objects in this area?,no,motor,14,normal,0.65,5.0,poor,0.064511,0.826087,0.028986,69.0,,people
0000163_00359_d_0000001,comparison,Are there more motor than pedestrian objects in this area?,yes,motor,15,normal,0.65,5.0,poor,0.026713,0.648148,0.0,54.0,,pedestrian
0000165_04325_d_0000105,comparison,Are there more people than car objects in this area?,no,people,5,critical,0.82,3.0,poor,0.194868,1.103448,0.068966,29.0,,car
0000166_00558_d_0000118,comparison,Are there more people than car objects in this area?,yes,people,21,critical,0.82,3.0,medium,0.33787,1.253521,0.042254,71.0,,car
0000193_00000_d_0000103,comparison,Are there more motor than people objects in this area?,no,motor,17,normal,0.65,5.0,poor,0.035933,1.079365,0.015873,63.0,,people
0000193_01497_d_0000111,comparison,Are there more people than motor objects in this area?,yes,people,33,normal,0.65,5.0,poor,0.047593,1.068966,0.08046,87.0,,motor
0000193_01705_d_0000112,comparison,Are there more motor than people objects in this area?,no,motor,44,normal,0.65,5.0,poor,0.033056,0.753731,0.014925,134.0,,people
0000193_01876_d_0000113,comparison,Are there more people than motor objects in this area?,yes,people,40,normal,0.65,5.0,poor,0.032723,1.046296,0.046296,108.0,,motor
0000193_02029_d_0000114,comparison,Are there more people than motor objects in this area?,no,people,34,normal,0.65,5.0,poor,0.038446,0.606383,0.021277,94.0,,motor
0000193_02212_d_0000115,comparison,Are there more pedestrian than motor objects in this area?,yes,pedestrian,33,normal,0.65,5.0,poor,0.028251,1.128205,0.038462,78.0,,motor
0000193_02416_d_0000116,comparison,Are there more tricycle than motor objects in this area?,no,tricycle,4,normal,0.65,5.0,poor,0.022597,0.64,0.02,50.0,,motor
0000193_02606_d_0000117,comparison,Are there more people than motor objects in this area?,yes,people,21,normal,0.65,5.0,poor,0.017109,1.020408,0.0,49.0,,motor
0000193_02725_d_0000118,comparison,Are there more car than motor objects in this area?,no,car,2,normal,0.65,5.0,poor,0.017146,1.384615,0.0,39.0,,motor
0000194_00000_d_0000119,comparison,Are there more motor than car objects in this area?,yes,motor,15,normal,0.65,5.0,poor,0.027198,0.907407,0.0,54.0,,car
0000194_00200_d_0000120,comparison,Are there more motor than people objects in this area?,no,motor,20,normal,0.65,5.0,poor,0.02615,0.736842,0.0,76.0,,people
0000194_00399_d_0000121,comparison,Are there more people than motor objects in this area?,yes,people,55,normal,0.65,5.0,poor,0.021258,0.937063,0.013986,143.0,,motor
0000194_00625_d_0000122,comparison,Are there more motor than people objects in this area?,no,motor,25,normal,0.65,5.0,poor,0.03237,0.915663,0.048193,83.0,,people
0000194_00800_d_0000123,comparison,Are there more people than motor objects in this area?,yes,people,19,normal,0.65,5.0,poor,0.038324,0.888889,0.092593,54.0,,motor
0000194_00998_d_0000124,comparison,Are there more people than motor objects in this area?,no,people,13,normal,0.65,5.0,poor,0.036352,1.095238,0.02381,42.0,,motor
0000194_01192_d_0000125,comparison,Are there more motor than car objects in this area?,yes,motor,7,normal,0.65,5.0,poor,0.059566,1.217391,0.043478,23.0,,car
0000196_04512_d_0000144,comparison,Are there more motor than people objects in this area?,no,motor,21,normal,0.65,5.0,poor,0.039568,1.043478,0.0,69.0,,people
0000199_01269_d_0000166,comparison,Are there more car than truck objects in this area?,yes,car,8,normal,0.65,5.0,medium,0.456158,0.375,0.125,16.0,,truck
0000213_02500_d_0000240,comparison,Are there more pedestrian than car objects in this area?,no,pedestrian,12,normal,0.65,5.0,poor,0.03452,0.893617,0.0,94.0,,car
0000213_02965_d_0000241,comparison,Are there more car than pedestrian objects in this area?,yes,car,61,critical,0.82,3.0,poor,0.111798,0.574468,0.010638,94.0,,pedestrian
0000213_03478_d_0000242,comparison,Are there more pedestrian than car objects in this area?,no,pedestrian,24,critical,0.82,3.0,poor,0.125014,0.573913,0.017391,115.0,,car
0000213_03920_d_0000243,comparison,Are there more pedestrian than car objects in this area?,yes,pedestrian,58,normal,0.65,5.0,poor,0.122021,0.835366,0.030488,164.0,,car
0000213_04405_d_0000244,comparison,Are there more pedestrian than car objects in this area?,no,pedestrian,29,critical,0.82,3.0,poor,0.158711,0.490566,0.037736,106.0,,car
0000213_04998_d_0000245,comparison,Are there more car than pedestrian objects in this area?,yes,car,50,critical,0.82,3.0,poor,0.122257,0.824818,0.021898,137.0,,pedestrian
0000213_05340_d_0000246,comparison,Are there more car than pedestrian objects in this area?,no,car,34,critical,0.82,3.0,poor,0.11177,0.601449,0.021739,138.0,,pedestrian
0000213_05745_d_0000247,comparison,Are there more car than pedestrian objects in this area?,yes,car,37,normal,0.65,5.0,poor,0.146989,0.534653,0.039604,101.0,,pedestrian
0000215_00000_d_0000256,comparison,Are there more car than pedestrian objects in this area?,no,car,36,normal,0.65,5.0,poor,0.049712,0.751592,0.019108,157.0,,pedestrian
0000215_00447_d_0000257,comparison,Are there more car than pedestrian objects in this area?,yes,car,38,normal,0.65,5.0,poor,0.140346,0.830189,0.056604,53.0,,pedestrian
0000215_00909_d_0000258,comparison,Are there more awning-tricycle than car objects in this area?,no,awning-tricycle,18,critical,0.82,3.0,poor,0.116521,0.817204,0.139785,93.0,,car
0000215_01395_d_0000259,comparison,Are there more car than pedestrian objects in this area?,yes,car,32,normal,0.65,5.0,poor,0.182854,0.649123,0.052632,57.0,,pedestrian
0000215_01869_d_0000260,comparison,Are there more pedestrian than car objects in this area?,no,pedestrian,19,normal,0.65,5.0,poor,0.116835,0.512821,0.153846,78.0,,car
0000215_02319_d_0000261,comparison,Are there more car than pedestrian objects in this area?,yes,car,39,critical,0.82,3.0,poor,0.098648,0.616822,0.056075,107.0,,pedestrian
0000215_02667_d_0000262,comparison,Are there more pedestrian than car objects in this area?,no,pedestrian,22,critical,0.82,3.0,poor,0.115272,0.277108,0.072289,83.0,,car
0000215_02932_d_0000263,comparison,Are there more car than pedestrian objects in this area?,yes,car,29,critical,0.82,3.0,poor,0.198127,0.833333,0.083333,48.0,,pedestrian
0000215_03226_d_0000264,comparison,Are there more pedestrian than car objects in this area?,no,pedestrian,7,critical,0.82,3.0,poor,0.169498,0.347826,0.043478,23.0,,car
0000216_00520_d_0000001,comparison,Are there more car than people objects in this area?,yes,car,50,critical,0.82,3.0,poor,0.043666,0.284404,0.036697,109.0,,people
0000220_01242_d_0000004,comparison,Are there more truck than car objects in this area?,no,truck,6,normal,0.65,5.0,poor,0.141157,0.918919,0.0,37.0,,car
0000223_01802_d_0000005,comparison,Are there more car than van objects in this area?,yes,car,38,critical,0.82,3.0,poor,0.086738,0.703125,0.015625,64.0,,van
0000237_00001_d_0000001,comparison,Are there more truck than car objects in this area?,no,truck,4,normal,0.65,5.0,poor,0.067437,0.8,0.0,15.0,,car
0000242_00001_d_0000001,comparison,Are there more car than motor objects in this area?,yes,car,29,normal,0.65,5.0,poor,0.096984,0.452381,0.119048,42.0,,motor
0000242_00500_d_0000002,comparison,Are there more motor than car objects in this area?,no,motor,7,normal,0.65,5.0,poor,0.047537,0.641509,0.0,53.0,,car
0000242_00627_d_0000003,comparison,Are there more car than pedestrian objects in this area?,yes,car,24,normal,0.65,5.0,poor,0.050471,0.4,0.044444,45.0,,pedestrian
0000242_00963_d_0000005,comparison,Are there more tricycle than car objects in this area?,no,tricycle,2,normal,0.65,5.0,medium,0.485359,0.615385,0.153846,13.0,,car
0000242_01139_d_0000006,comparison,Are there more car than pedestrian objects in this area?,yes,car,43,normal,0.65,5.0,poor,0.025479,0.638889,0.0,72.0,,pedestrian
0000242_01475_d_0000007,comparison,Are there more pedestrian than car objects in this area?,no,pedestrian,9,critical,0.82,3.0,poor,0.100517,0.353846,0.046154,65.0,,car
0000242_01912_d_0000008,comparison,Are there more car than pedestrian objects in this area?,yes,car,29,critical,0.82,3.0,poor,0.012382,0.44,0.0,50.0,,pedestrian
0000242_02400_d_0000009,comparison,Are there more pedestrian than car objects in this area?,no,pedestrian,9,normal,0.65,5.0,poor,0.041401,0.352941,0.058824,34.0,,car
0000242_02762_d_0000010,comparison,Are there more car than people objects in this area?,yes,car,21,critical,0.82,3.0,poor,0.060497,0.363636,0.030303,33.0,,people
0000242_03199_d_0000011,comparison,Are there more tricycle than car objects in this area?,no,tricycle,4,normal,0.65,5.0,poor,0.093108,0.444444,0.111111,9.0,,car
0000242_03668_d_0000012,comparison,Are there more car than people objects in this area?,yes,car,12,normal,0.65,5.0,poor,0.105329,0.707317,0.073171,41.0,,people
0000242_04116_d_0000013,comparison,Are there more pedestrian than car objects in this area?,no,pedestrian,2,normal,0.65,5.0,poor,0.113226,0.0,0.0,8.0,,car
0000242_04600_d_0000014,comparison,Are there more car than people objects in this area?,yes,car,18,normal,0.65,5.0,poor,0.088057,0.62069,0.034483,29.0,,people
0000242_05059_d_0000015,comparison,Are there more motor than car objects in this area?,no,motor,8,normal,0.65,5.0,poor,0.016131,0.72973,0.0,37.0,,car
0000242_05570_d_0000016,comparison,Are there more car than motor objects in this area?,yes,car,16,normal,0.65,5.0,poor,0.032401,0.09375,0.0,32.0,,motor
0000242_06010_d_0000017,comparison,Are there more pedestrian than car objects in this area?,no,pedestrian,6,normal,0.65,5.0,poor,0.010254,0.512195,0.0,41.0,,car
0000242_06452_d_0000018,comparison,Are there more car than bus objects in this area?,yes,car,6,normal,0.65,5.0,poor,0.065826,0.416667,0.25,12.0,,bus
0000244_00001_d_0000001,comparison,Are there more van than car objects in this area?,no,van,6,normal,0.65,5.0,poor,0.033111,0.382979,0.021277,47.0,,car
0000244_00500_d_0000002,comparison,Are there more car than awning-tricycle objects in this area?,yes,car,20,normal,0.65,5.0,poor,0.035366,0.4375,0.03125,32.0,,awning-tricycle
0000244_01000_d_0000003,comparison,Are there more pedestrian than car objects in this area?,no,pedestrian,18,normal,0.65,5.0,poor,0.018347,0.639344,0.008197,122.0,,car
0000244_01500_d_0000004,comparison,Are there more car than tricycle objects in this area?,yes,car,37,critical,0.82,3.0,poor,0.025294,0.59375,0.020833,96.0,,tricycle
0000244_02000_d_0000005,comparison,Are there more pedestrian than car objects in this area?,no,pedestrian,16,normal,0.65,5.0,poor,0.024045,0.635659,0.0,129.0,,car
0000244_02500_d_0000006,comparison,Are there more car than pedestrian objects in this area?,yes,car,50,normal,0.65,5.0,poor,0.025083,0.283186,0.026549,113.0,,pedestrian
0000244_03000_d_0000007,comparison,Are there more pedestrian than car objects in this area?,no,pedestrian,6,normal,0.65,5.0,poor,0.025635,0.136364,0.0,44.0,,car
0000244_03500_d_0000008,comparison,Are there more car than pedestrian objects in this area?,yes,car,61,normal,0.65,5.0,poor,0.03112,0.828767,0.020548,146.0,,pedestrian
0000244_04000_d_0000009,comparison,Are there more pedestrian than car objects in this area?,no,pedestrian,15,critical,0.82,3.0,poor,0.092262,0.807018,0.017544,57.0,,car
0000244_04400_d_0000010,comparison,Are there more car than tricycle objects in this area?,yes,car,30,critical,0.82,3.0,poor,0.062568,0.584158,0.019802,101.0,,tricycle
0000244_04900_d_0000011,comparison,Are there more pedestrian than car objects in this area?,no,pedestrian,13,normal,0.65,5.0,poor,0.073861,0.660377,0.056604,106.0,,car
0000244_05400_d_0000012,comparison,Are there more car than pedestrian objects in this area?,yes,car,47,normal,0.65,5.0,poor,0.031496,0.511111,0.033333,90.0,,pedestrian
0000244_05900_d_0000013,comparison,Are there more pedestrian than car objects in this area?,no,pedestrian,6,normal,0.65,5.0,poor,0.01552,0.515152,0.030303,66.0,,car
0000244_06388_d_0000014,comparison,Are there more car than bus objects in this area?,yes,car,35,normal,0.65,5.0,poor,0.014147,0.347826,0.021739,46.0,,bus
0000249_00001_d_0000001,comparison,Are there more pedestrian than car objects in this area?,no,pedestrian,9,normal,0.65,5.0,poor,0.026154,0.55,0.025,80.0,,car
0000249_00235_d_0000002,comparison,Are there more car than van objects in this area?,yes,car,33,critical,0.82,3.0,poor,0.037329,0.717647,0.011765,85.0,,van
0000249_00603_d_0000003,comparison,Are there more van than car objects in this area?,no,van,10,normal,0.65,5.0,poor,0.020811,0.708333,0.0,48.0,,car
0000249_01100_d_0000004,comparison,Are there more car than tricycle objects in this area?,yes,car,17,critical,0.82,3.0,poor,0.038828,0.185185,0.0,27.0,,tricycle
0000249_01514_d_0000005,comparison,Are there more pedestrian than car objects in this area?,no,pedestrian,7,critical,0.82,3.0,poor,0.051975,0.352941,0.039216,51.0,,car
0000249_01635_d_0000006,comparison,Are there more car than pedestrian objects in this area?,yes,car,41,normal,0.65,5.0,poor,0.020581,0.5,0.025,80.0,,pedestrian
0000249_02073_d_0000007,comparison,Are there more people than car objects in this area?,no,people,11,normal,0.65,5.0,poor,0.02432,0.328358,0.014925,67.0,,car
0000249_02468_d_0000008,comparison,Are there more car than people objects in this area?,yes,car,11,critical,0.82,3.0,poor,0.079435,1.166667,0.055556,18.0,,people
0000249_02900_d_0000009,comparison,Are there more pedestrian than car objects in this area?,no,pedestrian,15,normal,0.65,5.0,poor,0.029801,0.643564,0.049505,101.0,,car
