image_id,question_type,question,answer,target_class,object_count,risk_level,epsilon_k,tau_k,view_quality_bin,scale_proxy,occlusion_score,truncation_score,density_score,presence_polarity,target_class_b
00223,comparison,Are there more car than truck objects in this area?,yes,car,9,normal,0.65,5.0,medium,0.0,0.0,0.0,11.0,,truck
00226,comparison,Are there more truck than car objects in this area?,no,truck,2,normal,0.65,5.0,medium,0.0,0.0,0.0,13.0,,car
00229,comparison,Are there more car than truck objects in this area?,yes,car,8,normal,0.65,5.0,medium,0.0,0.0,0.0,9.0,,truck
00232,comparison,Are there more truck than car objects in this area?,no,truck,2,normal,0.65,5.0,medium,0.0,0.0,0.0,11.0,,car
00250,comparison,Are there more car than bus objects in this area?,yes,car,19,critical,0.82,3.0,medium,0.0,0.0,0.0,21.0,,bus
00253,comparison,Are there more bus than car objects in this area?,no,bus,1,critical,0.82,3.0,medium,0.0,0.0,0.0,23.0,,car
00256,comparison,Are there more car than bus objects in this area?,yes,car,23,critical,0.82,3.0,medium,0.0,0.0,0.0,24.0,,bus
00259,comparison,Are there more bus than car objects in this area?,no,bus,1,critical,0.82,3.0,medium,0.0,0.0,0.0,24.0,,car
00262,comparison,Are there more car than bus objects in this area?,yes,car,26,critical,0.82,3.0,medium,0.0,0.0,0.0,27.0,,bus
00265,comparison,Are there more bus than car objects in this area?,no,bus,1,critical,0.82,3.0,medium,0.0,0.0,0.0,24.0,,car
00268,comparison,Are there more car than bus objects in this area?,yes,car,21,critical,0.82,3.0,medium,0.0,0.0,0.0,22.0,,bus
00280,comparison,Are there more truck than car objects in this area?,no,truck,1,normal,0.65,5.0,medium,0.0,0.0,0.0,6.0,,car
00283,comparison,Are there more truck than car objects in this area?,yes,truck,3,normal,0.65,5.0,medium,0.0,0.0,0.0,4.0,,car
00292,comparison,Are there more truck than car objects in this area?,no,truck,1,critical,0.82,3.0,medium,0.0,0.0,0.0,5.0,,car
00313,comparison,Are there more car than truck objects in this area?,yes,car,8,normal,0.65,5.0,medium,0.0,0.0,0.0,9.0,,truck
00316,comparison,Are there more bus than car objects in this area?,no,bus,1,normal,0.65,5.0,medium,0.0,0.0,0.0,7.0,,car
00319,comparison,Are there more car than bus objects in this area?,yes,car,4,normal,0.65,5.0,medium,0.0,0.0,0.0,6.0,,bus
00325,comparison,Are there more truck than car objects in this area?,no,truck,1,normal,0.65,5.0,medium,0.0,0.0,0.0,6.0,,car
00331,comparison,Are there more car than truck objects in this area?,yes,car,11,critical,0.82,3.0,medium,0.0,0.0,0.0,12.0,,truck
00349,comparison,Are there more car than truck objects in this area?,no,car,1,normal,0.65,5.0,medium,0.0,0.0,0.0,5.0,,truck
00352,comparison,Are there more truck than car objects in this area?,yes,truck,6,normal,0.65,5.0,medium,0.0,0.0,0.0,8.0,,car
00355,comparison,Are there more car than truck objects in this area?,no,car,1,normal,0.65,5.0,medium,0.0,0.0,0.0,5.0,,truck
00358,comparison,Are there more car than truck objects in this area?,yes,car,14,normal,0.65,5.0,medium,0.0,0.0,0.0,15.0,,truck
00361,comparison,Are there more bus than car objects in this area?,no,bus,1,normal,0.65,5.0,medium,0.0,0.0,0.0,10.0,,car
00370,comparison,Are there more car than bus objects in this area?,yes,car,21,normal,0.65,5.0,medium,0.0,0.0,0.0,23.0,,bus
00373,comparison,Are there more truck than car objects in this area?,no,truck,1,normal,0.65,5.0,medium,0.0,0.0,0.0,8.0,,car
00376,comparison,Are there more car than truck objects in this area?,yes,car,17,normal,0.65,5.0,medium,0.0,0.0,0.0,20.0,,truck
00379,comparison,Are there more bus than car objects in this area?,no,bus,2,normal,0.65,5.0,medium,0.0,0.0,0.0,21.0,,car
00385,comparison,Are there more bus than car objects in this area?,yes,bus,5,normal,0.65,5.0,medium,0.0,0.0,0.0,8.0,,car
00388,comparison,Are there more bus than car objects in this area?,no,bus,3,normal,0.65,5.0,medium,0.0,0.0,0.0,9.0,,car
00391,comparison,Are there more car than bus objects in this area?,yes,car,17,normal,0.65,5.0,medium,0.0,0.0,0.0,26.0,,bus
00394,comparison,Are there more truck than car objects in this area?,no,truck,1,normal,0.65,5.0,medium,0.0,0.0,0.0,4.0,,car
00418,comparison,Are there more car than bus objects in this area?,yes,car,6,critical,0.82,3.0,medium,0.0,0.0,0.0,7.0,,bus
00451,comparison,Are there more bus than car objects in this area?,no,bus,1,normal,0.65,5.0,medium,0.0,0.0,0.0,13.0,,car
00454,comparison,Are there more car than bus objects in this area?,yes,car,12,normal,0.65,5.0,medium,0.0,0.0,0.0,13.0,,bus
00460,comparison,Are there more bus than car objects in this area?,no,bus,1,critical,0.82,3.0,medium,0.0,0.0,0.0,24.0,,car
00463,comparison,Are there more car than bus objects in this area?,yes,car,21,critical,0.82,3.0,medium,0.0,0.0,0.0,22.0,,bus
00466,comparison,Are there more bus than car objects in this area?,no,bus,1,critical,0.82,3.0,medium,0.0,0.0,0.0,22.0,,car
00508,comparison,Are there more car than bus objects in this area?,yes,car,3,normal,0.65,5.0,medium,0.0,0.0,0.0,4.0,,bus
00511,comparison,Are there more truck than car objects in this area?,no,truck,1,normal,0.65,5.0,medium,0.0,0.0,0.0,12.0,,car
00514,comparison,Are there more car than truck objects in this area?,yes,car,10,normal,0.65,5.0,medium,0.0,0.0,0.0,13.0,,truck
00520,comparison,Are there more truck than car objects in this area?,no,truck,1,critical,0.82,3.0,medium,0.0,0.0,0.0,6.0,,car
00523,comparison,Are there more car than truck objects in this area?,yes,car,6,critical,0.82,3.0,medium,0.0,0.0,0.0,7.0,,truck
00526,comparison,Are there more bus than car objects in this area?,no,bus,1,critical,0.82,3.0,medium,0.0,0.0,0.0,5.0,,car
00535,comparison,Are there more car than bus objects in this area?,yes,car,6,critical,0.82,3.0,medium,0.0,0.0,0.0,7.0,,bus
00547,comparison,Are there more bus than car objects in this area?,no,bus,1,normal,0.65,5.0,medium,0.0,0.0,0.0,7.0,,car
00550,comparison,Are there more car than bus objects in this area?,yes,car,6,normal,0.65,5.0,medium,0.0,0.0,0.0,7.0,,bus
00559,comparison,Are there more bus than car objects in this area?,no,bus,4,normal,0.65,5.0,medium,0.0,0.0,0.0,17.0,,car
00562,comparison,Are there more bus than car objects in this area?,yes,bus,3,normal,0.65,5.0,medium,0.0,0.0,0.0,5.0,,car
00565,comparison,Are there more bus than car objects in this area?,no,bus,1,normal,0.65,5.0,medium,0.0,0.0,0.0,5.0,,car
00574,comparison,Are there more car than truck objects in this area?,yes,car,8,normal,0.65,5.0,medium,0.0,0.0,0.0,9.0,,truck
00577,comparison,Are there more truck than car objects in this area?,no,truck,1,normal,0.65,5.0,medium,0.0,0.0,0.0,14.0,,car
00592,comparison,Are there more car than bus objects in this area?,yes,car,24,normal,0.65,5.0,medium,0.0,0.0,0.0,25.0,,bus
00595,comparison,Are there more bus than car objects in this area?,no,bus,2,normal,0.65,5.0,medium,0.0,0.0,0.0,29.0,,car
00598,comparison,Are there more car than bus objects in this area?,yes,car,4,normal,0.65,5.0,medium,0.0,0.0,0.0,5.0,,bus
00619,comparison,Are there more bus than car objects in this area?,no,bus,1,normal,0.65,5.0,medium,0.0,0.0,0.0,5.0,,car
00622,comparison,Are there more bus than car objects in this area?,yes,bus,3,normal,0.65,5.0,medium,0.0,0.0,0.0,4.0,,car
00625,comparison,Are there more bus than car objects in this area?,no,bus,2,normal,0.65,5.0,medium,0.0,0.0,0.0,5.0,,car
00628,comparison,Are there more car than bus objects in this area?,yes,car,5,normal,0.65,5.0,medium,0.0,0.0,0.0,6.0,,bus
00640,comparison,Are there more bus than car objects in this area?,no,bus,1,critical,0.82,3.0,medium,0.0,0.0,0.0,8.0,,car
00646,comparison,Are there more car than van objects in this area?,yes,car,4,normal,0.65,5.0,medium,0.0,0.0,0.0,5.0,,van
00649,comparison,Are there more truck than car objects in this area?,no,truck,2,normal,0.65,5.0,medium,0.0,0.0,0.0,15.0,,car
00652,comparison,Are there more car than truck objects in this area?,yes,car,3,normal,0.65,5.0,medium,0.0,0.0,0.0,4.0,,truck
00658,comparison,Are there more truck than car objects in this area?,no,truck,1,critical,0.82,3.0,medium,0.0,0.0,0.0,41.0,,car
00661,comparison,Are there more car than truck objects in this area?,yes,car,6,critical,0.82,3.0,medium,0.0,0.0,0.0,9.0,,truck
00664,comparison,Are there more truck than car objects in this area?,no,truck,1,critical,0.82,3.0,medium,0.0,0.0,0.0,6.0,,car
00667,comparison,Are there more car than truck objects in this area?,yes,car,63,critical,0.82,3.0,medium,0.0,0.0,0.0,65.0,,truck
00673,comparison,Are there more truck than car objects in this area?,no,truck,1,critical,0.82,3.0,medium,0.0,0.0,0.0,54.0,,car
00676,comparison,Are there more car than truck objects in this area?,yes,car,43,critical,0.82,3.0,medium,0.0,0.0,0.0,46.0,,truck
00679,comparison,Are there more bus than car objects in this area?,no,bus,2,normal,0.65,5.0,medium,0.0,0.0,0.0,10.0,,car
00688,comparison,Are there more car than truck objects in this area?,yes,car,4,normal,0.65,5.0,medium,0.0,0.0,0.0,8.0,,truck
00691,comparison,Are there more truck than car objects in this area?,no,truck,1,normal,0.65,5.0,medium,0.0,0.0,0.0,3.0,,car
00694,comparison,Are there more car than van objects in this area?,yes,car,18,critical,0.82,3.0,medium,0.0,0.0,0.0,22.0,,van
00697,comparison,Are there more van than car objects in this area?,no,van,1,critical,0.82,3.0,medium,0.0,0.0,0.0,5.0,,car
00700,comparison,Are there more car than truck objects in this area?,yes,car,10,critical,0.82,3.0,medium,0.0,0.0,0.0,12.0,,truck
00703,comparison,Are there more bus than car objects in this area?,no,bus,1,critical,0.82,3.0,medium,0.0,0.0,0.0,11.0,,car
00706,comparison,Are there more car than truck objects in this area?,yes,car,45,critical,0.82,3.0,medium,0.0,0.0,0.0,48.0,,truck
00709,comparison,Are there more truck than car objects in this area?,no,truck,1,critical,0.82,3.0,medium,0.0,0.0,0.0,10.0,,car
00712,comparison,Are there more car than bus objects in this area?,yes,car,14,critical,0.82,3.0,medium,0.0,0.0,0.0,15.0,,bus
00715,comparison,Are there more truck than car objects in this area?,no,truck,1,critical,0.82,3.0,medium,0.0,0.0,0.0,13.0,,car
00718,comparison,Are there more car than bus objects in this area?,yes,car,9,normal,0.65,5.0,medium,0.0,0.0,0.0,13.0,,bus
00721,comparison,Are there more truck than car objects in this area?,no,truck,1,normal,0.65,5.0,medium,0.0,0.0,0.0,7.0,,car
00724,comparison,Are there more car than truck objects in this area?,yes,car,31,critical,0.82,3.0,medium,0.0,0.0,0.0,36.0,,truck
00727,comparison,Are there more bus than car objects in this area?,no,bus,3,normal,0.65,5.0,medium,0.0,0.0,0.0,14.0,,car
00730,comparison,Are there more car than truck objects in this area?,yes,car,18,normal,0.65,5.0,medium,0.0,0.0,0.0,19.0,,truck
00733,comparison,Are there more truck than car objects in this area?,no,truck,4,normal,0.65,5.0,medium,0.0,0.0,0.0,57.0,,car
00736,comparison,Are there more car than truck objects in this area?,yes,car,5,normal,0.65,5.0,medium,0.0,0.0,0.0,7.0,,truck
00739,comparison,Are there more truck than car objects in this area?,no,truck,1,normal,0.65,5.0,medium,0.0,0.0,0.0,12.0,,car
00742,comparison,Are there more car than truck objects in this area?,yes,car,2,normal,0.65,5.0,medium,0.0,0.0,0.0,4.0,,truck
00748,comparison,Are there more truck than car objects in this area?,no,truck,2,critical,0.82,3.0,medium,0.0,0.0,0.0,13.0,,car
00751,comparison,Are there more car than truck objects in this area?,yes,car,7,critical,0.82,3.0,medium,0.0,0.0,0.0,8.0,,truck
00754,comparison,Are there more van than car objects in this area?,no,van,1,critical,0.82,3.0,medium,0.0,0.0,0.0,19.0,,car
00757,comparison,Are there more car than bus objects in this area?,yes,car,3,critical,0.82,3.0,medium,0.0,0.0,0.0,4.0,,bus
00760,comparison,Are there more truck than car objects in this area?,no,truck,1,critical,0.82,3.0,medium,0.0,0.0,0.0,4.0,,car
00763,comparison,Are there more car than bus objects in this area?,yes,car,10,normal,0.65,5.0,medium,0.0,0.0,0.0,14.0,,bus
00766,comparison,Are there more truck than car objects in this area?,no,truck,3,normal,0.65,5.0,medium,0.0,0.0,0.0,11.0,,car
00769,comparison,Are there more car than truck objects in this area?,yes,car,25,normal,0.65,5.0,medium,0.0,0.0,0.0,30.0,,truck
00772,comparison,Are there more truck than car objects in this area?,no,truck,1,normal,0.65,5.0,medium,0.0,0.0,0.0,9.0,,car
00775,comparison,Are there more car than truck objects in this area?,yes,car,6,normal,0.65,5.0,medium,0.0,0.0,0.0,8.0,,truck
00778,comparison,Are there more truck than car objects in this area?,no,truck,1,normal,0.65,5.0,medium,0.0,0.0,0.0,7.0,,car
00781,comparison,Are there more car than bus objects in this area?,yes,car,11,normal,0.65,5.0,medium,0.0,0.0,0.0,13.0,,bus
00784,comparison,Are there more truck than car objects in this area?,no,truck,1,normal,0.65,5.0,medium,0.0,0.0,0.0,27.0,,car
00790,comparison,Are there more car than truck objects in this area?,yes,car,42,critical,0.82,3.0,medium,0.0,0.0,0.0,45.0,,truck
00793,comparison,Are there more bus than car objects in this area?,no,bus,2,normal,0.65,5.0,medium,0.0,0.0,0.0,18.0,,car
00802,comparison,Are there more car than truck objects in this area?,yes,car,16,normal,0.65,5.0,medium,0.0,0.0,0.0,17.0,,truck
00811,comparison,Are there more van than car objects in this area?,no,van,1,critical,0.82,3.0,medium,0.0,0.0,0.0,24.0,,car
00814,comparison,Are there more car than truck objects in this area?,yes,car,12,critical,0.82,3.0,medium,0.0,0.0,0.0,21.0,,truck
00817,comparison,Are there more truck than car objects in this area?,no,truck,1,critical,0.82,3.0,medium,0.0,0.0,0.0,13.0,,car
00820,comparison,Are there more car than truck objects in this area?,yes,car,15,critical,0.82,3.0,medium,0.0,0.0,0.0,17.0,,truck
00823,comparison,Are there more truck than car objects in this area?,no,truck,4,critical,0.82,3.0,medium,0.0,0.0,0.0,38.0,,car
00829,comparison,Are there more car than truck objects in this area?,yes,car,20,normal,0.65,5.0,medium,0.0,0.0,0.0,23.0,,truck
00838,comparison,Are there more car than truck objects in this area?,no,car,3,normal,0.65,5.0,medium,0.0,0.0,0.0,7.0,,truck
00841,comparison,Are there more car than truck objects in this area?,yes,car,7,normal,0.65,5.0,medium,0.0,0.0,0.0,11.0,,truck
00844,comparison,Are there more van than car objects in this area?,no,van,2,normal,0.65,5.0,medium,0.0,0.0,0.0,5.0,,car
00847,comparison,Are there more car than truck objects in this area?,yes,car,63,normal,0.65,5.0,medium,0.0,0.0,0.0,79.0,,truck
00859,comparison,Are there more van than car objects in this area?,no,van,1,critical,0.82,3.0,medium,0.0,0.0,0.0,28.0,,car
00868,comparison,Are there more car than bus objects in this area?,yes,car,19,normal,0.65,5.0,medium,0.0,0.0,0.0,23.0,,bus
00877,comparison,Are there more car than truck objects in this area?,no,car,9,normal,0.65,5.0,medium,0.0,0.0,0.0,83.0,,truck
00883,comparison,Are there more van than bus objects in this area?,yes,van,7,critical,0.82,3.0,medium,0.0,0.0,0.0,12.0,,bus
00886,comparison,Are there more bus than car objects in this area?,no,bus,1,critical,0.82,3.0,medium,0.0,0.0,0.0,7.0,,car
00898,comparison,Are there more car than bus objects in this area?,yes,car,14,normal,0.65,5.0,medium,0.0,0.0,0.0,16.0,,bus
00904,comparison,Are there more truck than car objects in this area?,no,truck,1,critical,0.82,3.0,medium,0.0,0.0,0.0,4.0,,car
00907,comparison,Are there more car than van objects in this area?,yes,car,9,critical,0.82,3.0,medium,0.0,0.0,0.0,12.0,,van
00910,comparison,Are there more bus than car objects in this area?,no,bus,4,critical,0.82,3.0,medium,0.0,0.0,0.0,22.0,,car
00913,comparison,Are there more car than bus objects in this area?,yes,car,8,critical,0.82,3.0,medium,0.0,0.0,0.0,9.0,,bus
00922,comparison,Are there more car than truck objects in this area?,no,car,2,critical,0.82,3.0,medium,0.0,0.0,0.0,7.0,,truck
00925,comparison,Are there more truck than car objects in this area?,yes,truck,53,critical,0.82,3.0,medium,0.0,0.0,0.0,63.0,,car
00940,comparison,Are there more car than truck objects in this area?,no,car,1,critical,0.82,3.0,medium,0.0,0.0,0.0,4.0,,truck
00946,comparison,Are there more truck than car objects in this area?,yes,truck,6,normal,0.65,5.0,medium,0.0,0.0,0.0,8.0,,car
00958,comparison,Are there more van than car objects in this area?,no,van,4,critical,0.82,3.0,medium,0.0,0.0,0.0,43.0,,car
00961,comparison,Are there more car than bus objects in this area?,yes,car,18,critical,0.82,3.0,medium,0.0,0.0,0.0,19.0,,bus
00964,comparison,Are there more car than truck objects in this area?,no,car,3,critical,0.82,3.0,medium,0.0,0.0,0.0,8.0,,truck
00970,comparison,Are there more car than van objects in this area?,yes,car,15,normal,0.65,5.0,medium,0.0,0.0,0.0,17.0,,van
00982,comparison,Are there more truck than car objects in this area?,no,truck,1,normal,0.65,5.0,medium,0.0,0.0,0.0,16.0,,car
00985,comparison,Are there more truck than car objects in this area?,yes,truck,5,normal,0.65,5.0,medium,0.0,0.0,0.0,6.0,,car
00988,comparison,Are there more van than car objects in this area?,no,van,1,normal,0.65,5.0,medium,0.0,0.0,0.0,40.0,,car
00997,comparison,Are there more truck than car objects in this area?,yes,truck,5,critical,0.82,3.0,medium,0.0,0.0,0.0,7.0,,car
01003,comparison,Are there more car than truck objects in this area?,no,car,5,normal,0.65,5.0,medium,0.0,0.0,0.0,17.0,,truck
01006,comparison,Are there more car than truck objects in this area?,yes,car,38,normal,0.65,5.0,medium,0.0,0.0,0.0,41.0,,truck
01009,comparison,Are there more bus than car objects in this area?,no,bus,3,normal,0.65,5.0,medium,0.0,0.0,0.0,19.0,,car
01015,comparison,Are there more car than van objects in this area?,yes,car,17,critical,0.82,3.0,medium,0.0,0.0,0.0,18.0,,van
01033,comparison,Are there more truck than car objects in this area?,no,truck,2,critical,0.82,3.0,medium,0.0,0.0,0.0,8.0,,car
01036,comparison,Are there more car than truck objects in this area?,yes,car,4,critical,0.82,3.0,medium,0.0,0.0,0.0,6.0,,truck
01039,comparison,Are there more truck than car objects in this area?,no,truck,9,critical,0.82,3.0,medium,0.0,0.0,0.0,19.0,,car
01045,comparison,Are there more bus than van objects in this area?,yes,bus,5,normal,0.65,5.0,medium,0.0,0.0,0.0,9.0,,van
01051,comparison,Are there more car than van objects in this area?,no,car,2,critical,0.82,3.0,medium,0.0,0.0,0.0,8.0,,van
01057,comparison,Are there more car than truck objects in this area?,yes,car,4,normal,0.65,5.0,medium,0.0,0.0,0.0,6.0,,truck
01060,comparison,Are there more van than car objects in this area?,no,van,1,normal,0.65,5.0,medium,0.0,0.0,0.0,20.0,,car
01063,comparison,Are there more car than truck objects in this area?,yes,car,30,normal,0.65,5.0,medium,0.0,0.0,0.0,32.0,,truck
01072,comparison,Are there more truck than car objects in this area?,no,truck,1,normal,0.65,5.0,medium,0.0,0.0,0.0,13.0,,car
01078,comparison,Are there more truck than car objects in this area?,yes,truck,5,critical,0.82,3.0,medium,0.0,0.0,0.0,7.0,,car
01084,comparison,Are there more bus than car objects in this area?,no,bus,2,normal,0.65,5.0,medium,0.0,0.0,0.0,6.0,,car
01096,comparison,Are there more car than truck objects in this area?,yes,car,29,critical,0.82,3.0,medium,0.0,0.0,0.0,31.0,,truck
01102,comparison,Are there more truck than car objects in this area?,no,truck,3,normal,0.65,5.0,medium,0.0,0.0,0.0,41.0,,car
01105,comparison,Are there more car than truck objects in this area?,yes,car,2,normal,0.65,5.0,medium,0.0,0.0,0.0,3.0,,truck
01108,comparison,Are there more van than car objects in this area?,no,van,6,critical,0.82,3.0,medium,0.0,0.0,0.0,25.0,,car
01111,comparison,Are there more van than car objects in this area?,yes,van,22,critical,0.82,3.0,medium,0.0,0.0,0.0,35.0,,car
01114,comparison,Are there more car than truck objects in this area?,no,car,4,critical,0.82,3.0,medium,0.0,0.0,0.0,9.0,,truck
01120,comparison,Are there more car than van objects in this area?,yes,car,4,normal,0.65,5.0,medium,0.0,0.0,0.0,5.0,,van
01129,comparison,Are there more truck than car objects in this area?,no,truck,2,critical,0.82,3.0,medium,0.0,0.0,0.0,9.0,,car
01135,comparison,Are there more car than van objects in this area?,yes,car,31,normal,0.65,5.0,medium,0.0,0.0,0.0,32.0,,van
01144,comparison,Are there more bus than car objects in this area?,no,bus,1,normal,0.65,5.0,medium,0.0,0.0,0.0,22.0,,car
01153,comparison,Are there more car than truck objects in this area?,yes,car,39,normal,0.65,5.0,medium,0.0,0.0,0.0,54.0,,truck
01156,comparison,Are there more truck than car objects in this area?,no,truck,3,normal,0.65,5.0,medium,0.0,0.0,0.0,12.0,,car
01162,comparison,Are there more car than truck objects in this area?,yes,car,51,critical,0.82,3.0,medium,0.0,0.0,0.0,52.0,,truck
01165,comparison,Are there more truck than car objects in this area?,no,truck,3,critical,0.82,3.0,medium,0.0,0.0,0.0,18.0,,car
01168,comparison,Are there more bus than car objects in this area?,yes,bus,2,critical,0.82,3.0,medium,0.0,0.0,0.0,3.0,,car
01171,comparison,Are there more truck than car objects in this area?,no,truck,2,critical,0.82,3.0,medium,0.0,0.0,0.0,5.0,,car
01174,comparison,Are there more car than van objects in this area?,yes,car,35,critical,0.82,3.0,medium,0.0,0.0,0.0,37.0,,van
01180,comparison,Are there more car than van objects in this area?,no,car,3,normal,0.65,5.0,medium,0.0,0.0,0.0,8.0,,van
01183,comparison,Are there more truck than van objects in this area?,yes,truck,5,normal,0.65,5.0,medium,0.0,0.0,0.0,10.0,,van
01189,comparison,Are there more car than truck objects in this area?,no,car,1,critical,0.82,3.0,medium,0.0,0.0,0.0,6.0,,truck
01192,comparison,Are there more car than bus objects in this area?,yes,car,43,critical,0.82,3.0,medium,0.0,0.0,0.0,65.0,,bus
01198,comparison,Are there more van than car objects in this area?,no,van,2,normal,0.65,5.0,medium,0.0,0.0,0.0,50.0,,car
01204,comparison,Are there more bus than car objects in this area?,yes,bus,4,normal,0.65,5.0,medium,0.0,0.0,0.0,8.0,,car
01210,comparison,Are there more truck than car objects in this area?,no,truck,2,critical,0.82,3.0,medium,0.0,0.0,0.0,39.0,,car
01213,comparison,Are there more truck than car objects in this area?,yes,truck,57,critical,0.82,3.0,medium,0.0,0.0,0.0,61.0,,car
01216,comparison,Are there more truck than car objects in this area?,no,truck,1,critical,0.82,3.0,medium,0.0,0.0,0.0,3.0,,car
01222,comparison,Are there more truck than car objects in this area?,yes,truck,30,normal,0.65,5.0,medium,0.0,0.0,0.0,40.0,,car
01225,comparison,Are there more car than van objects in this area?,no,car,5,normal,0.65,5.0,medium,0.0,0.0,0.0,11.0,,van
01231,comparison,Are there more van than car objects in this area?,yes,van,2,critical,0.82,3.0,medium,0.0,0.0,0.0,4.0,,car
01234,comparison,Are there more van than truck objects in this area?,no,van,12,critical,0.82,3.0,medium,0.0,0.0,0.0,46.0,,truck
01240,comparison,Are there more truck than car objects in this area?,yes,truck,35,normal,0.65,5.0,medium,0.0,0.0,0.0,36.0,,car
01243,comparison,Are there more van than car objects in this area?,no,van,5,critical,0.82,3.0,medium,0.0,0.0,0.0,42.0,,car
01249,comparison,Are there more car than truck objects in this area?,yes,car,44,normal,0.65,5.0,medium,0.0,0.0,0.0,45.0,,truck
01252,comparison,Are there more truck than car objects in this area?,no,truck,1,normal,0.65,5.0,medium,0.0,0.0,0.0,31.0,,car
01261,comparison,Are there more bus than truck objects in this area?,yes,bus,14,critical,0.82,3.0,medium,0.0,0.0,0.0,19.0,,truck
01264,comparison,Are there more bus than car objects in this area?,no,bus,1,critical,0.82,3.0,medium,0.0,0.0,0.0,10.0,,car
01267,comparison,Are there more car than truck objects in this area?,yes,car,13,critical,0.82,3.0,medium,0.0,0.0,0.0,14.0,,truck
01270,comparison,Are there more truck than car objects in this area?,no,truck,6,critical,0.82,3.0,medium,0.0,0.0,0.0,15.0,,car
01279,comparison,Are there more car than van objects in this area?,yes,car,40,critical,0.82,3.0,medium,0.0,0.0,0.0,41.0,,van
01288,comparison,Are there more car than truck objects in this area?,no,car,3,critical,0.82,3.0,medium,0.0,0.0,0.0,7.0,,truck
01291,comparison,Are there more truck than car objects in this area?,yes,truck,5,critical,0.82,3.0,medium,0.0,0.0,0.0,7.0,,car
01294,comparison,Are there more bus than car objects in this area?,no,bus,2,critical,0.82,3.0,medium,0.0,0.0,0.0,9.0,,car
01297,comparison,Are there more car than bus objects in this area?,yes,car,16,critical,0.82,3.0,medium,0.0,0.0,0.0,22.0,,bus
01300,comparison,Are there more van than truck objects in this area?,no,van,1,critical,0.82,3.0,medium,0.0,0.0,0.0,4.0,,truck
01318,comparison,Are there more car than van objects in this area?,yes,car,27,normal,0.65,5.0,medium,0.0,0.0,0.0,32.0,,van
01321,comparison,Are there more van than truck objects in this area?,no,van,2,normal,0.65,5.0,medium,0.0,0.0,0.0,6.0,,truck
