image_id,question_type,question,answer,target_class,object_count,risk_level,epsilon_k,tau_k,view_quality_bin,scale_proxy,occlusion_score,truncation_score,density_score,presence_polarity,target_class_b,threshold_n
00037,threshold,Are there at least 19 car objects in this area?,yes,car,19,normal,0.65,5.0,medium,0.0,0.0,0.0,20.0,,,19
00040,co_presence,Are there both car and pedestrian objects in this area?,no,car,11,normal,0.65,5.0,medium,0.0,0.0,0.0,12.0,,pedestrian,
00040,threshold,Are there at least 14 car objects in this area?,no,car,11,normal,0.65,5.0,medium,0.0,0.0,0.0,12.0,,,14
00043,co_presence,Are there both truck and pedestrian objects in this area?,no,truck,1,normal,0.65,5.0,medium,0.0,0.0,0.0,1.0,,pedestrian,
00043,threshold,Are there at least 1 truck objects in this area?,yes,truck,1,normal,0.65,5.0,medium,0.0,0.0,0.0,1.0,,,1
00046,co_presence,Are there both car and pedestrian objects in this area?,no,car,2,critical,0.82,3.0,medium,0.0,0.0,0.0,3.0,,pedestrian,
00046,threshold,Are there at least 5 car objects in this area?,no,car,2,critical,0.82,3.0,medium,0.0,0.0,0.0,3.0,,,5
00049,co_presence,Are there both car and pedestrian objects in this area?,no,car,1,critical,0.82,3.0,medium,0.0,0.0,0.0,1.0,,pedestrian,
00049,threshold,Are there at least 1 car objects in this area?,yes,car,1,critical,0.82,3.0,medium,0.0,0.0,0.0,1.0,,,1
00052,co_presence,Are there both car and pedestrian objects in this area?,no,car,1,normal,0.65,5.0,medium,0.0,0.0,0.0,1.0,,pedestrian,
00052,threshold,Are there at least 4 car objects in this area?,no,car,1,normal,0.65,5.0,medium,0.0,0.0,0.0,1.0,,,4
00055,co_presence,Are there both truck and car objects in this area?,yes,truck,4,critical,0.82,3.0,medium,0.0,0.0,0.0,5.0,,car,
00055,threshold,Are there at least 4 truck objects in this area?,yes,truck,4,critical,0.82,3.0,medium,0.0,0.0,0.0,5.0,,,4
00058,co_presence,Are there both car and pedestrian objects in this area?,no,car,4,critical,0.82,3.0,medium,0.0,0.0,0.0,4.0,,pedestrian,
00058,threshold,Are there at least 7 car objects in this area?,no,car,4,critical,0.82,3.0,medium,0.0,0.0,0.0,4.0,,,7
00061,co_presence,Are there both car and pedestrian objects in this area?,no,car,2,normal,0.65,5.0,medium,0.0,0.0,0.0,2.0,,pedestrian,
00061,threshold,Are there at least 2 car objects in this area?,yes,car,2,normal,0.65,5.0,medium,0.0,0.0,0.0,2.0,,,2
00064,co_presence,Are there both car and pedestrian objects in this area?,no,car,7,critical,0.82,3.0,medium,0.0,0.0,0.0,7.0,,pedestrian,
00064,threshold,Are there at least 10 car objects in this area?,no,car,7,critical,0.82,3.0,medium,0.0,0.0,0.0,7.0,,,10
00067,co_presence,Are there both car and pedestrian objects in this area?,no,car,8,normal,0.65,5.0,medium,0.0,0.0,0.0,8.0,,pedestrian,
00067,threshold,Are there at least 8 car objects in this area?,yes,car,8,normal,0.65,5.0,medium,0.0,0.0,0.0,8.0,,,8
00070,co_presence,Are there both car and pedestrian objects in this area?,no,car,5,critical,0.82,3.0,medium,0.0,0.0,0.0,5.0,,pedestrian,
00070,threshold,Are there at least 8 car objects in this area?,no,car,5,critical,0.82,3.0,medium,0.0,0.0,0.0,5.0,,,8
00073,co_presence,Are there both car and pedestrian objects in this area?,no,car,5,normal,0.65,5.0,medium,0.0,0.0,0.0,5.0,,pedestrian,
00073,threshold,Are there at least 5 car objects in this area?,yes,car,5,normal,0.65,5.0,medium,0.0,0.0,0.0,5.0,,,5
00076,co_presence,Are there both car and pedestrian objects in this area?,no,car,1,critical,0.82,3.0,medium,0.0,0.0,0.0,1.0,,pedestrian,
00076,threshold,Are there at least 4 car objects in this area?,no,car,1,critical,0.82,3.0,medium,0.0,0.0,0.0,1.0,,,4
00079,co_presence,Are there both car and pedestrian objects in this area?,no,car,2,normal,0.65,5.0,medium,0.0,0.0,0.0,2.0,,pedestrian,
00079,threshold,Are there at least 2 car objects in this area?,yes,car,2,normal,0.65,5.0,medium,0.0,0.0,0.0,2.0,,,2
00082,co_presence,Are there both car and pedestrian objects in this area?,no,car,1,critical,0.82,3.0,medium,0.0,0.0,0.0,1.0,,pedestrian,
00082,threshold,Are there at least 4 car objects in this area?,no,car,1,critical,0.82,3.0,medium,0.0,0.0,0.0,1.0,,,4
00085,co_presence,Are there both car and bus objects in this area?,yes,car,40,normal,0.65,5.0,medium,0.0,0.0,0.0,41.0,,bus,
00085,threshold,Are there at least 40 car objects in this area?,yes,car,40,normal,0.65,5.0,medium,0.0,0.0,0.0,41.0,,,40
00088,co_presence,Are there both car and pedestrian objects in this area?,no,car,7,normal,0.65,5.0,medium,0.0,0.0,0.0,7.0,,pedestrian,
00088,threshold,Are there at least 10 car objects in this area?,no,car,7,normal,0.65,5.0,medium,0.0,0.0,0.0,7.0,,,10
00091,co_presence,Are there both car and pedestrian objects in this area?,no,car,3,critical,0.82,3.0,medium,0.0,0.0,0.0,3.0,,pedestrian,
00091,threshold,Are there at least 3 car objects in this area?,yes,car,3,critical,0.82,3.0,medium,0.0,0.0,0.0,3.0,,,3
00094,co_presence,Are there both car and pedestrian objects in this area?,no,car,33,normal,0.65,5.0,medium,0.0,0.0,0.0,36.0,,pedestrian,
00094,threshold,Are there at least 36 car objects in this area?,no,car,33,normal,0.65,5.0,medium,0.0,0.0,0.0,36.0,,,36
00097,co_presence,Are there both car and pedestrian objects in this area?,no,car,21,normal,0.65,5.0,medium,0.0,0.0,0.0,21.0,,pedestrian,
00097,threshold,Are there at least 21 car objects in this area?,yes,car,21,normal,0.65,5.0,medium,0.0,0.0,0.0,21.0,,,21
00100,co_presence,Are there both car and pedestrian objects in this area?,no,car,17,critical,0.82,3.0,medium,0.0,0.0,0.0,17.0,,pedestrian,
00100,threshold,Are there at least 20 car objects in this area?,no,car,17,critical,0.82,3.0,medium,0.0,0.0,0.0,17.0,,,20
00103,co_presence,Are there both car and pedestrian objects in this area?,no,car,18,normal,0.65,5.0,medium,0.0,0.0,0.0,18.0,,pedestrian,
00103,threshold,Are there at least 18 car objects in this area?,yes,car,18,normal,0.65,5.0,medium,0.0,0.0,0.0,18.0,,,18
00106,co_presence,Are there both car and pedestrian objects in this area?,no,car,8,critical,0.82,3.0,medium,0.0,0.0,0.0,8.0,,pedestrian,
00106,threshold,Are there at least 11 car objects in this area?,no,car,8,critical,0.82,3.0,medium,0.0,0.0,0.0,8.0,,,11
00109,co_presence,Are there both car and bus objects in this area?,yes,car,6,normal,0.65,5.0,medium,0.0,0.0,0.0,8.0,,bus,
00109,threshold,Are there at least 6 car objects in this area?,yes,car,6,normal,0.65,5.0,medium,0.0,0.0,0.0,8.0,,,6
00112,co_presence,Are there both car and pedestrian objects in this area?,no,car,10,normal,0.65,5.0,medium,0.0,0.0,0.0,13.0,,pedestrian,
00112,threshold,Are there at least 13 car objects in this area?,no,car,10,normal,0.65,5.0,medium,0.0,0.0,0.0,13.0,,,13
00115,co_presence,Are there both car and pedestrian objects in this area?,no,car,4,normal,0.65,5.0,medium,0.0,0.0,0.0,4.0,,pedestrian,
00115,threshold,Are there at least 4 car objects in this area?,yes,car,4,normal,0.65,5.0,medium,0.0,0.0,0.0,4.0,,,4
00118,co_presence,Are there both car and pedestrian objects in this area?,no,car,9,critical,0.82,3.0,medium,0.0,0.0,0.0,9.0,,pedestrian,
00118,threshold,Are there at least 12 car objects in this area?,no,car,9,critical,0.82,3.0,medium,0.0,0.0,0.0,9.0,,,12
00121,co_presence,Are there both car and pedestrian objects in this area?,no,car,2,normal,0.65,5.0,medium,0.0,0.0,0.0,2.0,,pedestrian,
00121,threshold,Are there at least 2 car objects in this area?,yes,car,2,normal,0.65,5.0,medium,0.0,0.0,0.0,2.0,,,2
00124,co_presence,Are there both car and pedestrian objects in this area?,no,car,8,critical,0.82,3.0,medium,0.0,0.0,0.0,9.0,,pedestrian,
00124,threshold,Are there at least 11 car objects in this area?,no,car,8,critical,0.82,3.0,medium,0.0,0.0,0.0,9.0,,,11
00127,co_presence,Are there both car and pedestrian objects in this area?,no,car,6,critical,0.82,3.0,medium,0.0,0.0,0.0,6.0,,pedestrian,
00127,threshold,Are there at least 6 car objects in this area?,yes,car,6,critical,0.82,3.0,medium,0.0,0.0,0.0,6.0,,,6
00130,co_presence,Are there both car and pedestrian objects in this area?,no,car,3,normal,0.65,5.0,medium,0.0,0.0,0.0,4.0,,pedestrian,
00130,threshold,Are there at least 6 car objects in this area?,no,car,3,normal,0.65,5.0,medium,0.0,0.0,0.0,4.0,,,6
00133,co_presence,Are there both car and pedestrian objects in this area?,no,car,3,normal,0.65,5.0,medium,0.0,0.0,0.0,3.0,,pedestrian,
00133,threshold,Are there at least 3 car objects in this area?,yes,car,3,normal,0.65,5.0,medium,0.0,0.0,0.0,3.0,,,3
00136,co_presence,Are there both car and pedestrian objects in this area?,no,car,6,critical,0.82,3.0,medium,0.0,0.0,0.0,6.0,,pedestrian,
00136,threshold,Are there at least 9 car objects in this area?,no,car,6,critical,0.82,3.0,medium,0.0,0.0,0.0,6.0,,,9
00139,co_presence,Are there both car and truck objects in this area?,yes,car,8,normal,0.65,5.0,medium,0.0,0.0,0.0,12.0,,truck,
00139,threshold,Are there at least 8 car objects in this area?,yes,car,8,normal,0.65,5.0,medium,0.0,0.0,0.0,12.0,,,8
00142,co_presence,Are there both car and pedestrian objects in this area?,no,car,3,normal,0.65,5.0,medium,0.0,0.0,0.0,6.0,,pedestrian,
00142,threshold,Are there at least 6 car objects in this area?,no,car,3,normal,0.65,5.0,medium,0.0,0.0,0.0,6.0,,,6
00145,co_presence,Are there both car and bus objects in this area?,yes,car,4,normal,0.65,5.0,medium,0.0,0.0,0.0,6.0,,bus,
00145,threshold,Are there at least 4 car objects in this area?,yes,car,4,normal,0.65,5.0,medium,0.0,0.0,0.0,6.0,,,4
00148,co_presence,Are there both car and pedestrian objects in this area?,no,car,5,normal,0.65,5.0,medium,0.0,0.0,0.0,7.0,,pedestrian,
00148,threshold,Are there at least 8 car objects in this area?,no,car,5,normal,0.65,5.0,medium,0.0,0.0,0.0,7.0,,,8
00151,co_presence,Are there both car and pedestrian objects in this area?,no,car,14,normal,0.65,5.0,medium,0.0,0.0,0.0,14.0,,pedestrian,
00151,threshold,Are there at least 14 car objects in this area?,yes,car,14,normal,0.65,5.0,medium,0.0,0.0,0.0,14.0,,,14
00154,co_presence,Are there both car and pedestrian objects in this area?,no,car,12,critical,0.82,3.0,medium,0.0,0.0,0.0,12.0,,pedestrian,
00154,threshold,Are there at least 15 car objects in this area?,no,car,12,critical,0.82,3.0,medium,0.0,0.0,0.0,12.0,,,15
00157,co_presence,Are there both car and pedestrian objects in this area?,no,car,7,normal,0.65,5.0,medium,0.0,0.0,0.0,7.0,,pedestrian,
00157,threshold,Are there at least 7 car objects in this area?,yes,car,7,normal,0.65,5.0,medium,0.0,0.0,0.0,7.0,,,7
00160,co_presence,Are there both car and pedestrian objects in this area?,no,car,13,critical,0.82,3.0,medium,0.0,0.0,0.0,13.0,,pedestrian,
00160,threshold,Are there at least 16 car objects in this area?,no,car,13,critical,0.82,3.0,medium,0.0,0.0,0.0,13.0,,,16
00163,co_presence,Are there both car and pedestrian objects in this area?,no,car,12,normal,0.65,5.0,medium,0.0,0.0,0.0,12.0,,pedestrian,
00163,threshold,Are there at least 12 car objects in this area?,yes,car,12,normal,0.65,5.0,medium,0.0,0.0,0.0,12.0,,,12
00166,co_presence,Are there both car and pedestrian objects in this area?,no,car,10,critical,0.82,3.0,medium,0.0,0.0,0.0,10.0,,pedestrian,
00166,threshold,Are there at least 13 car objects in this area?,no,car,10,critical,0.82,3.0,medium,0.0,0.0,0.0,10.0,,,13
00169,co_presence,Are there both car and pedestrian objects in this area?,no,car,6,normal,0.65,5.0,medium,0.0,0.0,0.0,6.0,,pedestrian,
00169,threshold,Are there at least 6 car objects in this area?,yes,car,6,normal,0.65,5.0,medium,0.0,0.0,0.0,6.0,,,6
00172,co_presence,Are there both car and pedestrian objects in this area?,no,car,16,critical,0.82,3.0,medium,0.0,0.0,0.0,16.0,,pedestrian,
00172,threshold,Are there at least 19 car objects in this area?,no,car,16,critical,0.82,3.0,medium,0.0,0.0,0.0,16.0,,,19
00175,co_presence,Are there both car and pedestrian objects in this area?,no,car,10,normal,0.65,5.0,medium,0.0,0.0,0.0,10.0,,pedestrian,
00175,threshold,Are there at least 10 car objects in this area?,yes,car,10,normal,0.65,5.0,medium,0.0,0.0,0.0,10.0,,,10
00178,co_presence,Are there both car and pedestrian objects in this area?,no,car,7,critical,0.82,3.0,medium,0.0,0.0,0.0,7.0,,pedestrian,
00178,threshold,Are there at least 10 car objects in this area?,no,car,7,critical,0.82,3.0,medium,0.0,0.0,0.0,7.0,,,10
00181,co_presence,Are there both car and pedestrian objects in this area?,no,car,2,normal,0.65,5.0,medium,0.0,0.0,0.0,2.0,,pedestrian,
00181,threshold,Are there at least 2 car objects in this area?,yes,car,2,normal,0.65,5.0,medium,0.0,0.0,0.0,2.0,,,2
00184,co_presence,Are there both car and pedestrian objects in this area?,no,car,6,critical,0.82,3.0,medium,0.0,0.0,0.0,6.0,,pedestrian,
00184,threshold,Are there at least 9 car objects in this area?,no,car,6,critical,0.82,3.0,medium,0.0,0.0,0.0,6.0,,,9
00187,co_presence,Are there both car and pedestrian objects in this area?,no,car,28,normal,0.65,5.0,medium,0.0,0.0,0.0,28.0,,pedestrian,
00187,threshold,Are there at least 28 car objects in this area?,yes,car,28,normal,0.65,5.0,medium,0.0,0.0,0.0,28.0,,,28
00190,co_presence,Are there both car and pedestrian objects in this area?,no,car,25,critical,0.82,3.0,medium,0.0,0.0,0.0,26.0,,pedestrian,
00190,threshold,Are there at least 28 car objects in this area?,no,car,25,critical,0.82,3.0,medium,0.0,0.0,0.0,26.0,,,28
00193,co_presence,Are there both car and truck objects in this area?,yes,car,13,critical,0.82,3.0,medium,0.0,0.0,0.0,14.0,,truck,
00193,threshold,Are there at least 13 car objects in this area?,yes,car,13,critical,0.82,3.0,medium,0.0,0.0,0.0,14.0,,,13
00196,co_presence,Are there both car and pedestrian objects in this area?,no,car,13,critical,0.82,3.0,medium,0.0,0.0,0.0,13.0,,pedestrian,
00196,threshold,Are there at least 16 car objects in this area?,no,car,13,critical,0.82,3.0,medium,0.0,0.0,0.0,13.0,,,16
00199,co_presence,Are there both car and truck objects in this area?,yes,car,10,normal,0.65,5.0,medium,0.0,0.0,0.0,12.0,,truck,
00199,threshold,Are there at least 10 car objects in this area?,yes,car,10,normal,0.65,5.0,medium,0.0,0.0,0.0,12.0,,,10
00202,co_presence,Are there both car and pedestrian objects in this area?,no,car,12,normal,0.65,5.0,medium,0.0,0.0,0.0,16.0,,pedestrian,
00202,threshold,Are there at least 15 car objects in this area?,no,car,12,normal,0.65,5.0,medium,0.0,0.0,0.0,16.0,,,15
00205,co_presence,Are there both car and pedestrian objects in this area?,no,car,9,normal,0.65,5.0,medium,0.0,0.0,0.0,9.0,,pedestrian,
00205,threshold,Are there at least 9 car objects in this area?,yes,car,9,normal,0.65,5.0,medium,0.0,0.0,0.0,9.0,,,9
00208,co_presence,Are there both car and pedestrian objects in this area?,no,car,9,critical,0.82,3.0,medium,0.0,0.0,0.0,11.0,,pedestrian,
00208,threshold,Are there at least 12 car objects in this area?,no,car,9,critical,0.82,3.0,medium,0.0,0.0,0.0,11.0,,,12
00211,co_presence,Are there both car and truck objects in this area?,yes,car,11,critical,0.82,3.0,medium,0.0,0.0,0.0,12.0,,truck,
00211,threshold,Are there at least 11 car objects in this area?,yes,car,11,critical,0.82,3.0,medium,0.0,0.0,0.0,12.0,,,11
00214,co_presence,Are there both car and pedestrian objects in this area?,no,car,6,critical,0.82,3.0,medium,0.0,0.0,0.0,6.0,,pedestrian,
00214,threshold,Are there at least 9 car objects in this area?,no,car,6,critical,0.82,3.0,medium,0.0,0.0,0.0,6.0,,,9
00217,co_presence,Are there both car and pedestrian objects in this area?,no,car,3,normal,0.65,5.0,medium,0.0,0.0,0.0,3.0,,pedestrian,
00217,threshold,Are there at least 3 car objects in this area?,yes,car,3,normal,0.65,5.0,medium,0.0,0.0,0.0,3.0,,,3
00220,co_presence,Are there both car and pedestrian objects in this area?,no,car,4,critical,0.82,3.0,medium,0.0,0.0,0.0,4.0,,pedestrian,
00220,threshold,Are there at least 7 car objects in this area?,no,car,4,critical,0.82,3.0,medium,0.0,0.0,0.0,4.0,,,7
00223,co_presence,Are there both car and truck objects in this area?,yes,car,9,normal,0.65,5.0,medium,0.0,0.0,0.0,11.0,,truck,
00223,threshold,Are there at least 9 car objects in this area?,yes,car,9,normal,0.65,5.0,medium,0.0,0.0,0.0,11.0,,,9
00226,co_presence,Are there both car and pedestrian objects in this area?,no,car,11,normal,0.65,5.0,medium,0.0,0.0,0.0,13.0,,pedestrian,
00226,threshold,Are there at least 14 car objects in this area?,no,car,11,normal,0.65,5.0,medium,0.0,0.0,0.0,13.0,,,14
00229,co_presence,Are there both car and truck objects in this area?,yes,car,8,normal,0.65,5.0,medium,0.0,0.0,0.0,9.0,,truck,
00229,threshold,Are there at least 8 car objects in this area?,yes,car,8,normal,0.65,5.0,medium,0.0,0.0,0.0,9.0,,,8
00232,co_presence,Are there both car and pedestrian objects in this area?,no,car,9,normal,0.65,5.0,medium,0.0,0.0,0.0,11.0,,pedestrian,
00232,threshold,Are there at least 12 car objects in this area?,no,car,9,normal,0.65,5.0,medium,0.0,0.0,0.0,11.0,,,12
00235,co_presence,Are there both car and pedestrian objects in this area?,no,car,16,normal,0.65,5.0,medium,0.0,0.0,0.0,16.0,,pedestrian,
00235,threshold,Are there at least 16 car objects in this area?,yes,car,16,normal,0.65,5.0,medium,0.0,0.0,0.0,16.0,,,16
00238,co_presence,Are there both car and pedestrian objects in this area?,no,car,9,critical,0.82,3.0,medium,0.0,0.0,0.0,9.0,,pedestrian,
00238,threshold,Are there at least 12 car objects in this area?,no,car,9,critical,0.82,3.0,medium,0.0,0.0,0.0,9.0,,,12
00241,co_presence,Are there both truck and pedestrian objects in this area?,no,truck,5,normal,0.65,5.0,medium,0.0,0.0,0.0,5.0,,pedestrian,
00241,threshold,Are there at least 5 truck objects in this area?,yes,truck,5,normal,0.65,5.0,medium,0.0,0.0,0.0,5.0,,,5
00244,co_presence,Are there both car and pedestrian objects in this area?,no,car,14,critical,0.82,3.0,medium,0.0,0.0,0.0,14.0,,pedestrian,
00244,threshold,Are there at least 17 car objects in this area?,no,car,14,critical,0.82,3.0,medium,0.0,0.0,0.0,14.0,,,17
00247,co_presence,Are there both car and pedestrian objects in this area?,no,car,16,normal,0.65,5.0,medium,0.0,0.0,0.0,16.0,,pedestrian,
00247,threshold,Are there at least 16 car objects in this area?,yes,car,16,normal,0.65,5.0,medium,0.0,0.0,0.0,16.0,,,16
00250,co_presence,Are there both car and pedestrian objects in this area?,no,car,19,critical,0.82,3.0,medium,0.0,0.0,0.0,21.0,,pedestrian,
00250,threshold,Are there at least 22 car objects in this area?,no,car,19,critical,0.82,3.0,medium,0.0,0.0,0.0,21.0,,,22
00253,co_presence,Are there both car and bus objects in this area?,yes,car,22,critical,0.82,3.0,medium,0.0,0.0,0.0,23.0,,bus,
00253,threshold,Are there at least 22 car objects in this area?,yes,car,22,critical,0.82,3.0,medium,0.0,0.0,0.0,23.0,,,22
00256,co_presence,Are there both car and pedestrian objects in this area?,no,car,23,critical,0.82,3.0,medium,0.0,0.0,0.0,24.0,,pedestrian,
00256,threshold,Are there at least 26 car objects in this area?,no,car,23,critical,0.82,3.0,medium,0.0,0.0,0.0,24.0,,,26
00259,co_presence,Are there both car and bus objects in this area?,yes,car,23,critical,0.82,3.0,medium,0.0,0.0,0.0,24.0,,bus,
00259,threshold,Are there at least 23 car objects in this area?,yes,car,23,critical,0.82,3.0,medium,0.0,0.0,0.0,24.0,,,23
00262,co_presence,Are there both car and pedestrian objects in this area?,no,car,26,critical,0.82,3.0,medium,0.0,0.0,0.0,27.0,,pedestrian,
00262,threshold,Are there at least 29 car objects in this area?,no,car,26,critical,0.82,3.0,medium,0.0,0.0,0.0,27.0,,,29
00265,co_presence,Are there both car and bus objects in this area?,yes,car,23,critical,0.82,3.0,medium,0.0,0.0,0.0,24.0,,bus,
00265,threshold,Are there at least 23 car objects in this area?,yes,car,23,critical,0.82,3.0,medium,0.0,0.0,0.0,24.0,,,23
00268,co_presence,Are there both car and pedestrian objects in this area?,no,car,21,critical,0.82,3.0,medium,0.0,0.0,0.0,22.0,,pedestrian,
00268,threshold,Are there at least 24 car objects in this area?,no,car,21,critical,0.82,3.0,medium,0.0,0.0,0.0,22.0,,,24
00271,co_presence,Are there both car and pedestrian objects in this area?,no,car,11,critical,0.82,3.0,medium,0.0,0.0,0.0,11.0,,pedestrian,
00271,threshold,Are there at least 11 car objects in this area?,yes,car,11,critical,0.82,3.0,medium,0.0,0.0,0.0,11.0,,,11
00274,co_presence,Are there both car and pedestrian objects in this area?,no,car,5,normal,0.65,5.0,medium,0.0,0.0,0.0,5.0,,pedestrian,
00274,threshold,Are there at least 8 car objects in this area?,no,car,5,normal,0.65,5.0,medium,0.0,0.0,0.0,5.0,,,8
00277,co_presence,Are there both car and pedestrian objects in this area?,no,car,15,critical,0.82,3.0,medium,0.0,0.0,0.0,15.0,,pedestrian,
00277,threshold,Are there at least 15 car objects in this area?,yes,car,15,critical,0.82,3.0,medium,0.0,0.0,0.0,15.0,,,15
00280,co_presence,Are there both car and pedestrian objects in this area?,no,car,5,normal,0.65,5.0,medium,0.0,0.0,0.0,6.0,,pedestrian,
00280,threshold,Are there at least 8 car objects in this area?,no,car,5,normal,0.65,5.0,medium,0.0,0.0,0.0,6.0,,,8
00283,co_presence,Are there both truck and car objects in this area?,yes,truck,3,normal,0.65,5.0,medium,0.0,0.0,0.0,4.0,,car,
00283,threshold,Are there at least 3 truck objects in this area?,yes,truck,3,normal,0.65,5.0,medium,0.0,0.0,0.0,4.0,,,3
00286,co_presence,Are there both car and pedestrian objects in this area?,no,car,2,normal,0.65,5.0,medium,0.0,0.0,0.0,2.0,,pedestrian,
00286,threshold,Are there at least 5 car objects in this area?,no,car,2,normal,0.65,5.0,medium,0.0,0.0,0.0,2.0,,,5
00289,co_presence,Are there both car and truck objects in this area?,yes,car,2,critical,0.82,3.0,medium,0.0,0.0,0.0,4.0,,truck,
00289,threshold,Are there at least 2 car objects in this area?,yes,car,2,critical,0.82,3.0,medium,0.0,0.0,0.0,4.0,,,2
00292,co_presence,Are there both car and pedestrian objects in this area?,no,car,4,critical,0.82,3.0,medium,0.0,0.0,0.0,5.0,,pedestrian,
00292,threshold,Are there at least 7 car objects in this area?,no,car,4,critical,0.82,3.0,medium,0.0,0.0,0.0,5.0,,,7
00295,co_presence,Are there both truck and pedestrian objects in this area?,no,truck,4,critical,0.82,3.0,medium,0.0,0.0,0.0,4.0,,pedestrian,
00295,threshold,Are there at least 4 truck objects in this area?,yes,truck,4,critical,0.82,3.0,medium,0.0,0.0,0.0,4.0,,,4
00298,co_presence,Are there both truck and pedestrian objects in this area?,no,truck,2,normal,0.65,5.0,medium,0.0,0.0,0.0,2.0,,pedestrian,
00298,threshold,Are there at least 5 truck objects in this area?,no,truck,2,normal,0.65,5.0,medium,0.0,0.0,0.0,2.0,,,5
00301,co_presence,Are there both car and truck objects in this area?,yes,car,5,critical,0.82,3.0,medium,0.0,0.0,0.0,11.0,,truck,
00301,threshold,Are there at least 5 car objects in this area?,yes,car,5,critical,0.82,3.0,medium,0.0,0.0,0.0,11.0,,,5
00304,co_presence,Are there both car and pedestrian objects in this area?,no,car,10,critical,0.82,3.0,medium,0.0,0.0,0.0,10.0,,pedestrian,
00304,threshold,Are there at least 13 car objects in this area?,no,car,10,critical,0.82,3.0,medium,0.0,0.0,0.0,10.0,,,13
00307,co_presence,Are there both car and pedestrian objects in this area?,no,car,12,normal,0.65,5.0,medium,0.0,0.0,0.0,12.0,,pedestrian,
00307,threshold,Are there at least 12 car objects in this area?,yes,car,12,normal,0.65,5.0,medium,0.0,0.0,0.0,12.0,,,12
00310,co_presence,Are there both car and pedestrian objects in this area?,no,car,9,critical,0.82,3.0,medium,0.0,0.0,0.0,9.0,,pedestrian,
00310,threshold,Are there at least 12 car objects in this area?,no,car,9,critical,0.82,3.0,medium,0.0,0.0,0.0,9.0,,,12
00313,co_presence,Are there both car and truck objects in this area?,yes,car,8,normal,0.65,5.0,medium,0.0,0.0,0.0,9.0,,truck,
00313,threshold,Are there at least 8 car objects in this area?,yes,car,8,normal,0.65,5.0,medium,0.0,0.0,0.0,9.0,,,8
