image_id,question_type,question,answer,target_class,object_count,risk_level,epsilon_k,tau_k,view_quality_bin,scale_proxy,occlusion_score,truncation_score,density_score,presence_polarity
0000001_03999_d_0000007,presence,Are there bus objects in this area?,no,bus,0,normal,0.65,5.0,poor,0.098591,1.125,0.041667,48.0,negative
0000001_03999_d_0000007,counting,How many motor objects are in this area?,17,motor,17,critical,0.82,3.0,poor,0.098591,1.125,0.041667,48.0,
0000001_03999_d_0000007,presence,Are there motor objects in this area?,yes,motor,17,critical,0.82,3.0,poor,0.098591,1.125,0.041667,48.0,positive
0000001_03999_d_0000007,presence,Are there truck objects in this area?,no,truck,0,normal,0.82,3.0,poor,0.098591,1.125,0.041667,48.0,negative
0000001_03999_d_0000007,counting,How many pedestrian objects are in this area?,8,pedestrian,8,normal,0.65,5.0,poor,0.098591,1.125,0.041667,48.0,
0000001_03999_d_0000007,presence,Are there pedestrian objects in this area?,yes,pedestrian,8,normal,0.65,5.0,poor,0.098591,1.125,0.041667,48.0,positive
0000001_03999_d_0000007,presence,Are there van objects in this area?,no,van,0,normal,0.65,5.0,poor,0.098591,1.125,0.041667,48.0,negative
0000001_03999_d_0000007,counting,How many people objects are in this area?,16,people,16,critical,0.82,3.0,poor,0.098591,1.125,0.041667,48.0,
0000001_03999_d_0000007,presence,Are there people objects in this area?,yes,people,16,critical,0.82,3.0,poor,0.098591,1.125,0.041667,48.0,positive
0000001_03999_d_0000007,counting,How many tricycle objects are in this area?,1,tricycle,1,normal,0.65,5.0,poor,0.098591,1.125,0.041667,48.0,
0000001_03999_d_0000007,presence,Are there tricycle objects in this area?,yes,tricycle,1,normal,0.65,5.0,poor,0.098591,1.125,0.041667,48.0,positive
0000001_04527_d_0000008,presence,Are there awning-tricycle objects in this area?,yes,awning-tricycle,1,normal,0.65,5.0,poor,0.065229,0.730435,0.026087,115.0,positive
0000001_04527_d_0000008,presence,Are there bus objects in this area?,no,bus,0,normal,0.65,5.0,poor,0.065229,0.730435,0.026087,115.0,negative
0000001_04527_d_0000008,counting,How many awning-tricycle objects are in this area?,1,awning-tricycle,1,normal,0.65,5.0,poor,0.065229,0.730435,0.026087,115.0,
0000001_04527_d_0000008,presence,Are there bicycle objects in this area?,yes,bicycle,4,normal,0.65,5.0,poor,0.065229,0.730435,0.026087,115.0,positive
0000001_04527_d_0000008,presence,Are there truck objects in this area?,no,truck,0,normal,0.65,5.0,poor,0.065229,0.730435,0.026087,115.0,negative
0000001_04527_d_0000008,counting,How many car objects are in this area?,5,car,5,normal,0.65,5.0,poor,0.065229,0.730435,0.026087,115.0,
0000001_04527_d_0000008,presence,Are there car objects in this area?,yes,car,5,normal,0.65,5.0,poor,0.065229,0.730435,0.026087,115.0,positive
0000001_04527_d_0000008,counting,How many motor objects are in this area?,48,motor,48,critical,0.82,3.0,poor,0.065229,0.730435,0.026087,115.0,
0000001_04527_d_0000008,presence,Are there motor objects in this area?,yes,motor,48,critical,0.82,3.0,poor,0.065229,0.730435,0.026087,115.0,positive
0000001_04527_d_0000008,counting,How many pedestrian objects are in this area?,28,pedestrian,28,critical,0.82,3.0,poor,0.065229,0.730435,0.026087,115.0,
0000001_04527_d_0000008,presence,Are there pedestrian objects in this area?,yes,pedestrian,28,critical,0.82,3.0,poor,0.065229,0.730435,0.026087,115.0,positive
0000001_04527_d_0000008,counting,How many people objects are in this area?,26,people,26,critical,0.82,3.0,poor,0.065229,0.730435,0.026087,115.0,
0000001_04527_d_0000008,presence,Are there people objects in this area?,yes,people,26,critical,0.82,3.0,poor,0.065229,0.730435,0.026087,115.0,positive
0000001_04527_d_0000008,counting,How many tricycle objects are in this area?,2,tricycle,2,normal,0.65,5.0,poor,0.065229,0.730435,0.026087,115.0,
0000001_04527_d_0000008,presence,Are there tricycle objects in this area?,yes,tricycle,2,normal,0.65,5.0,poor,0.065229,0.730435,0.026087,115.0,positive
0000001_04527_d_0000008,counting,How many van objects are in this area?,1,van,1,normal,0.65,5.0,poor,0.065229,0.730435,0.026087,115.0,
0000001_04527_d_0000008,presence,Are there van objects in this area?,yes,van,1,normal,0.65,5.0,poor,0.065229,0.730435,0.026087,115.0,positive
0000001_05249_d_0000009,presence,Are there car objects in this area?,yes,car,76,critical,0.82,3.0,poor,0.141546,0.787611,0.017699,113.0,positive
0000001_05249_d_0000009,presence,Are there awning-tricycle objects in this area?,no,awning-tricycle,0,normal,0.82,3.0,poor,0.141546,0.787611,0.017699,113.0,negative
0000001_05249_d_0000009,counting,How many car objects are in this area?,76,car,76,critical,0.82,3.0,poor,0.141546,0.787611,0.017699,113.0,
0000001_05249_d_0000009,presence,Are there motor objects in this area?,yes,motor,27,critical,0.82,3.0,poor,0.141546,0.787611,0.017699,113.0,positive
0000001_05249_d_0000009,presence,Are there bicycle objects in this area?,no,bicycle,0,normal,0.82,3.0,poor,0.141546,0.787611,0.017699,113.0,negative
0000001_05249_d_0000009,counting,How many motor objects are in this area?,27,motor,27,critical,0.82,3.0,poor,0.141546,0.787611,0.017699,113.0,
0000001_05249_d_0000009,presence,Are there pedestrian objects in this area?,yes,pedestrian,8,normal,0.65,5.0,poor,0.141546,0.787611,0.017699,113.0,positive
0000001_05249_d_0000009,presence,Are there bus objects in this area?,no,bus,0,normal,0.65,5.0,poor,0.141546,0.787611,0.017699,113.0,negative
0000001_05249_d_0000009,counting,How many pedestrian objects are in this area?,8,pedestrian,8,normal,0.65,5.0,poor,0.141546,0.787611,0.017699,113.0,
0000001_05249_d_0000009,presence,Are there people objects in this area?,yes,people,1,normal,0.65,5.0,poor,0.141546,0.787611,0.017699,113.0,positive
0000001_05249_d_0000009,presence,Are there tricycle objects in this area?,no,tricycle,0,normal,0.65,5.0,poor,0.141546,0.787611,0.017699,113.0,negative
0000001_05249_d_0000009,counting,How many people objects are in this area?,1,people,1,normal,0.65,5.0,poor,0.141546,0.787611,0.017699,113.0,
0000001_05249_d_0000009,presence,Are there van objects in this area?,yes,van,1,normal,0.65,5.0,poor,0.141546,0.787611,0.017699,113.0,positive
0000001_05249_d_0000009,presence,Are there truck objects in this area?,no,truck,0,normal,0.65,5.0,poor,0.141546,0.787611,0.017699,113.0,negative
0000001_05249_d_0000009,counting,How many van objects are in this area?,1,van,1,normal,0.65,5.0,poor,0.141546,0.787611,0.017699,113.0,
0000001_05499_d_0000010,presence,Are there awning-tricycle objects in this area?,yes,awning-tricycle,11,critical,0.82,3.0,poor,0.283162,0.678571,0.014286,140.0,positive
0000001_05499_d_0000010,presence,Are there bus objects in this area?,no,bus,0,normal,0.82,3.0,poor,0.283162,0.678571,0.014286,140.0,negative
0000001_05499_d_0000010,counting,How many awning-tricycle objects are in this area?,11,awning-tricycle,11,critical,0.82,3.0,poor,0.283162,0.678571,0.014286,140.0,
0000001_05499_d_0000010,presence,Are there bicycle objects in this area?,yes,bicycle,2,normal,0.65,5.0,poor,0.283162,0.678571,0.014286,140.0,positive
0000001_05499_d_0000010,presence,Are there truck objects in this area?,no,truck,0,normal,0.65,5.0,poor,0.283162,0.678571,0.014286,140.0,negative
0000001_05499_d_0000010,counting,How many car objects are in this area?,68,car,68,critical,0.82,3.0,poor,0.283162,0.678571,0.014286,140.0,
0000001_05499_d_0000010,presence,Are there car objects in this area?,yes,car,68,critical,0.82,3.0,poor,0.283162,0.678571,0.014286,140.0,positive
0000001_05499_d_0000010,counting,How many motor objects are in this area?,31,motor,31,critical,0.82,3.0,poor,0.283162,0.678571,0.014286,140.0,
0000001_05499_d_0000010,presence,Are there motor objects in this area?,yes,motor,31,critical,0.82,3.0,poor,0.283162,0.678571,0.014286,140.0,positive
0000001_05499_d_0000010,counting,How many pedestrian objects are in this area?,10,pedestrian,10,critical,0.82,3.0,poor,0.283162,0.678571,0.014286,140.0,
0000001_05499_d_0000010,presence,Are there pedestrian objects in this area?,yes,pedestrian,10,critical,0.82,3.0,poor,0.283162,0.678571,0.014286,140.0,positive
0000001_05499_d_0000010,counting,How many people objects are in this area?,13,people,13,critical,0.82,3.0,poor,0.283162,0.678571,0.014286,140.0,
0000001_05499_d_0000010,presence,Are there people objects in this area?,yes,people,13,critical,0.82,3.0,poor,0.283162,0.678571,0.014286,140.0,positive
0000001_05499_d_0000010,counting,How many tricycle objects are in this area?,1,tricycle,1,normal,0.65,5.0,poor,0.283162,0.678571,0.014286,140.0,
0000001_05499_d_0000010,presence,Are there tricycle objects in this area?,yes,tricycle,1,normal,0.65,5.0,poor,0.283162,0.678571,0.014286,140.0,positive
0000001_05499_d_0000010,counting,How many van objects are in this area?,4,van,4,normal,0.65,5.0,poor,0.283162,0.678571,0.014286,140.0,
0000001_05499_d_0000010,presence,Are there van objects in this area?,yes,van,4,normal,0.65,5.0,poor,0.283162,0.678571,0.014286,140.0,positive
0000001_05999_d_0000011,presence,Are there awning-tricycle objects in this area?,yes,awning-tricycle,3,normal,0.65,5.0,poor,0.168431,0.634783,0.008696,115.0,positive
0000001_05999_d_0000011,presence,Are there bus objects in this area?,no,bus,0,normal,0.65,5.0,poor,0.168431,0.634783,0.008696,115.0,negative
0000001_05999_d_0000011,counting,How many awning-tricycle objects are in this area?,3,awning-tricycle,3,normal,0.65,5.0,poor,0.168431,0.634783,0.008696,115.0,
0000001_05999_d_0000011,presence,Are there bicycle objects in this area?,yes,bicycle,2,normal,0.65,5.0,poor,0.168431,0.634783,0.008696,115.0,positive
0000001_05999_d_0000011,presence,Are there tricycle objects in this area?,no,tricycle,0,normal,0.65,5.0,poor,0.168431,0.634783,0.008696,115.0,negative
0000001_05999_d_0000011,counting,How many car objects are in this area?,37,car,37,critical,0.82,3.0,poor,0.168431,0.634783,0.008696,115.0,
0000001_05999_d_0000011,presence,Are there car objects in this area?,yes,car,37,critical,0.82,3.0,poor,0.168431,0.634783,0.008696,115.0,positive
0000001_05999_d_0000011,presence,Are there truck objects in this area?,no,truck,0,normal,0.82,3.0,poor,0.168431,0.634783,0.008696,115.0,negative
0000001_05999_d_0000011,counting,How many motor objects are in this area?,19,motor,19,critical,0.82,3.0,poor,0.168431,0.634783,0.008696,115.0,
0000001_05999_d_0000011,presence,Are there motor objects in this area?,yes,motor,19,critical,0.82,3.0,poor,0.168431,0.634783,0.008696,115.0,positive
0000001_05999_d_0000011,counting,How many pedestrian objects are in this area?,39,pedestrian,39,critical,0.82,3.0,poor,0.168431,0.634783,0.008696,115.0,
0000001_05999_d_0000011,presence,Are there pedestrian objects in this area?,yes,pedestrian,39,critical,0.82,3.0,poor,0.168431,0.634783,0.008696,115.0,positive
0000001_05999_d_0000011,counting,How many people objects are in this area?,13,people,13,critical,0.82,3.0,poor,0.168431,0.634783,0.008696,115.0,
0000001_05999_d_0000011,presence,Are there people objects in this area?,yes,people,13,critical,0.82,3.0,poor,0.168431,0.634783,0.008696,115.0,positive
0000001_05999_d_0000011,counting,How many van objects are in this area?,2,van,2,normal,0.65,5.0,poor,0.168431,0.634783,0.008696,115.0,
0000001_05999_d_0000011,presence,Are there van objects in this area?,yes,van,2,normal,0.65,5.0,poor,0.168431,0.634783,0.008696,115.0,positive
0000001_07999_d_0000012,presence,Are there bicycle objects in this area?,yes,bicycle,3,normal,0.65,5.0,poor,0.067588,0.507353,0.014706,136.0,positive
0000001_07999_d_0000012,presence,Are there awning-tricycle objects in this area?,no,awning-tricycle,0,normal,0.65,5.0,poor,0.067588,0.507353,0.014706,136.0,negative
0000001_07999_d_0000012,counting,How many car objects are in this area?,10,car,10,critical,0.82,3.0,poor,0.067588,0.507353,0.014706,136.0,
0000001_07999_d_0000012,presence,Are there car objects in this area?,yes,car,10,critical,0.82,3.0,poor,0.067588,0.507353,0.014706,136.0,positive
0000001_07999_d_0000012,presence,Are there bus objects in this area?,no,bus,0,normal,0.82,3.0,poor,0.067588,0.507353,0.014706,136.0,negative
0000001_07999_d_0000012,counting,How many motor objects are in this area?,36,motor,36,critical,0.82,3.0,poor,0.067588,0.507353,0.014706,136.0,
0000001_07999_d_0000012,presence,Are there motor objects in this area?,yes,motor,36,critical,0.82,3.0,poor,0.067588,0.507353,0.014706,136.0,positive
0000001_07999_d_0000012,presence,Are there truck objects in this area?,no,truck,0,normal,0.82,3.0,poor,0.067588,0.507353,0.014706,136.0,negative
0000001_07999_d_0000012,counting,How many pedestrian objects are in this area?,45,pedestrian,45,critical,0.82,3.0,poor,0.067588,0.507353,0.014706,136.0,
0000001_07999_d_0000012,presence,Are there pedestrian objects in this area?,yes,pedestrian,45,critical,0.82,3.0,poor,0.067588,0.507353,0.014706,136.0,positive
0000001_07999_d_0000012,presence,Are there van objects in this area?,no,van,0,normal,0.82,3.0,poor,0.067588,0.507353,0.014706,136.0,negative
0000001_07999_d_0000012,counting,How many people objects are in this area?,33,people,33,critical,0.82,3.0,poor,0.067588,0.507353,0.014706,136.0,
0000001_07999_d_0000012,presence,Are there people objects in this area?,yes,people,33,critical,0.82,3.0,poor,0.067588,0.507353,0.014706,136.0,positive
0000001_07999_d_0000012,counting,How many tricycle objects are in this area?,9,tricycle,9,normal,0.65,5.0,poor,0.067588,0.507353,0.014706,136.0,
0000001_07999_d_0000012,presence,Are there tricycle objects in this area?,yes,tricycle,9,normal,0.65,5.0,poor,0.067588,0.507353,0.014706,136.0,positive
0000001_08414_d_0000013,presence,Are there awning-tricycle objects in this area?,yes,awning-tricycle,1,normal,0.65,5.0,poor,0.102522,0.993902,0.006098,164.0,positive
0000001_08414_d_0000013,presence,Are there bus objects in this area?,no,bus,0,normal,0.65,5.0,poor,0.102522,0.993902,0.006098,164.0,negative
0000001_08414_d_0000013,counting,How many awning-tricycle objects are in this area?,1,awning-tricycle,1,normal,0.65,5.0,poor,0.102522,0.993902,0.006098,164.0,
0000001_08414_d_0000013,presence,Are there bicycle objects in this area?,yes,bicycle,4,normal,0.65,5.0,poor,0.102522,0.993902,0.006098,164.0,positive
0000001_08414_d_0000013,presence,Are there truck objects in this area?,no,truck,0,normal,0.65,5.0,poor,0.102522,0.993902,0.006098,164.0,negative
0000001_08414_d_0000013,counting,How many car objects are in this area?,20,car,20,critical,0.82,3.0,poor,0.102522,0.993902,0.006098,164.0,
0000001_08414_d_0000013,presence,Are there car objects in this area?,yes,car,20,critical,0.82,3.0,poor,0.102522,0.993902,0.006098,164.0,positive
0000001_08414_d_0000013,counting,How many motor objects are in this area?,43,motor,43,critical,0.82,3.0,poor,0.102522,0.993902,0.006098,164.0,
0000001_08414_d_0000013,presence,Are there motor objects in this area?,yes,motor,43,critical,0.82,3.0,poor,0.102522,0.993902,0.006098,164.0,positive
0000001_08414_d_0000013,counting,How many pedestrian objects are in this area?,33,pedestrian,33,critical,0.82,3.0,poor,0.102522,0.993902,0.006098,164.0,
0000001_08414_d_0000013,presence,Are there pedestrian objects in this area?,yes,pedestrian,33,critical,0.82,3.0,poor,0.102522,0.993902,0.006098,164.0,positive
0000001_08414_d_0000013,counting,How many people objects are in this area?,54,people,54,critical,0.82,3.0,poor,0.102522,0.993902,0.006098,164.0,
0000001_08414_d_0000013,presence,Are there people objects in this area?,yes,people,54,critical,0.82,3.0,poor,0.102522,0.993902,0.006098,164.0,positive
0000001_08414_d_0000013,counting,How many tricycle objects are in this area?,8,tricycle,8,normal,0.65,5.0,poor,0.102522,0.993902,0.006098,164.0,
0000001_08414_d_0000013,presence,Are there tricycle objects in this area?,yes,tricycle,8,normal,0.65,5.0,poor,0.102522,0.993902,0.006098,164.0,positive
0000001_08414_d_0000013,counting,How many van objects are in this area?,1,van,1,normal,0.65,5.0,poor,0.102522,0.993902,0.006098,164.0,
0000001_08414_d_0000013,presence,Are there van objects in this area?,yes,van,1,normal,0.65,5.0,poor,0.102522,0.993902,0.006098,164.0,positive
0000021_00000_d_0000001,presence,Are there motor objects in this area?,yes,motor,7,normal,0.65,5.0,poor,0.081088,0.709677,0.064516,31.0,positive
0000021_00000_d_0000001,presence,Are there awning-tricycle objects in this area?,no,awning-tricycle,0,normal,0.65,5.0,poor,0.081088,0.709677,0.064516,31.0,negative
0000021_00000_d_0000001,counting,How many motor objects are in this area?,7,motor,7,normal,0.65,5.0,poor,0.081088,0.709677,0.064516,31.0,
0000021_00000_d_0000001,presence,Are there pedestrian objects in this area?,yes,pedestrian,9,normal,0.65,5.0,poor,0.081088,0.709677,0.064516,31.0,positive
0000021_00000_d_0000001,presence,Are there bicycle objects in this area?,no,bicycle,0,normal,0.65,5.0,poor,0.081088,0.709677,0.064516,31.0,negative
0000021_00000_d_0000001,counting,How many pedestrian objects are in this area?,9,pedestrian,9,normal,0.65,5.0,poor,0.081088,0.709677,0.064516,31.0,
0000021_00000_d_0000001,presence,Are there people objects in this area?,yes,people,12,critical,0.82,3.0,poor,0.081088,0.709677,0.064516,31.0,positive
0000021_00000_d_0000001,presence,Are there bus objects in this area?,no,bus,0,normal,0.82,3.0,poor,0.081088,0.709677,0.064516,31.0,negative
0000021_00000_d_0000001,counting,How many people objects are in this area?,12,people,12,critical,0.82,3.0,poor,0.081088,0.709677,0.064516,31.0,
0000021_00000_d_0000001,presence,Are there tricycle objects in this area?,yes,tricycle,3,normal,0.65,5.0,poor,0.081088,0.709677,0.064516,31.0,positive
0000021_00000_d_0000001,presence,Are there car objects in this area?,no,car,0,normal,0.65,5.0,poor,0.081088,0.709677,0.064516,31.0,negative
0000021_00000_d_0000001,counting,How many tricycle objects are in this area?,3,tricycle,3,normal,0.65,5.0,poor,0.081088,0.709677,0.064516,31.0,
0000021_00500_d_0000002,presence,Are there motor objects in this area?,yes,motor,3,normal,0.65,5.0,poor,0.075483,0.882353,0.058824,17.0,positive
0000021_00500_d_0000002,presence,Are there awning-tricycle objects in this area?,no,awning-tricycle,0,normal,0.65,5.0,poor,0.075483,0.882353,0.058824,17.0,negative
0000021_00500_d_0000002,counting,How many motor objects are in this area?,3,motor,3,normal,0.65,5.0,poor,0.075483,0.882353,0.058824,17.0,
0000021_00500_d_0000002,presence,Are there pedestrian objects in this area?,yes,pedestrian,7,normal,0.65,5.0,poor,0.075483,0.882353,0.058824,17.0,positive
0000021_00500_d_0000002,presence,Are there bicycle objects in this area?,no,bicycle,0,normal,0.65,5.0,poor,0.075483,0.882353,0.058824,17.0,negative
0000021_00500_d_0000002,counting,How many pedestrian objects are in this area?,7,pedestrian,7,normal,0.65,5.0,poor,0.075483,0.882353,0.058824,17.0,
0000021_00500_d_0000002,presence,Are there people objects in this area?,yes,people,3,normal,0.65,5.0,poor,0.075483,0.882353,0.058824,17.0,positive
0000021_00500_d_0000002,presence,Are there bus objects in this area?,no,bus,0,normal,0.65,5.0,poor,0.075483,0.882353,0.058824,17.0,negative
0000021_00500_d_0000002,counting,How many people objects are in this area?,3,people,3,normal,0.65,5.0,poor,0.075483,0.882353,0.058824,17.0,
0000021_00500_d_0000002,presence,Are there tricycle objects in this area?,yes,tricycle,4,normal,0.65,5.0,poor,0.075483,0.882353,0.058824,17.0,positive
0000021_00500_d_0000002,presence,Are there car objects in this area?,no,car,0,normal,0.65,5.0,poor,0.075483,0.882353,0.058824,17.0,negative
0000021_00500_d_0000002,counting,How many tricycle objects are in this area?,4,tricycle,4,normal,0.65,5.0,poor,0.075483,0.882353,0.058824,17.0,
0000021_00800_d_0000003,presence,Are there motor objects in this area?,yes,motor,1,normal,0.65,5.0,poor,0.062773,0.285714,0.0,7.0,positive
0000021_00800_d_0000003,presence,Are there awning-tricycle objects in this area?,no,awning-tricycle,0,normal,0.65,5.0,poor,0.062773,0.285714,0.0,7.0,negative
0000021_00800_d_0000003,counting,How many motor objects are in this area?,1,motor,1,normal,0.65,5.0,poor,0.062773,0.285714,0.0,7.0,
0000021_00800_d_0000003,presence,Are there pedestrian objects in this area?,yes,pedestrian,3,normal,0.65,5.0,poor,0.062773,0.285714,0.0,7.0,positive
0000021_00800_d_0000003,presence,Are there bicycle objects in this area?,no,bicycle,0,normal,0.65,5.0,poor,0.062773,0.285714,0.0,7.0,negative
0000021_00800_d_0000003,counting,How many pedestrian objects are in this area?,3,pedestrian,3,normal,0.65,5.0,poor,0.062773,0.285714,0.0,7.0,
0000021_00800_d_0000003,presence,Are there people objects in this area?,yes,people,1,normal,0.65,5.0,poor,0.062773,0.285714,0.0,7.0,positive
0000021_00800_d_0000003,presence,Are there bus objects in this area?,no,bus,0,normal,0.65,5.0,poor,0.062773,0.285714,0.0,7.0,negative
0000021_00800_d_0000003,counting,How many people objects are in this area?,1,people,1,normal,0.65,5.0,poor,0.062773,0.285714,0.0,7.0,
0000021_00800_d_0000003,presence,Are there tricycle objects in this area?,yes,tricycle,2,normal,0.65,5.0,poor,0.062773,0.285714,0.0,7.0,positive
0000021_00800_d_0000003,presence,Are there car objects in this area?,no,car,0,normal,0.65,5.0,poor,0.062773,0.285714,0.0,7.0,negative
0000021_00800_d_0000003,counting,How many tricycle objects are in this area?,2,tricycle,2,normal,0.65,5.0,poor,0.062773,0.285714,0.0,7.0,
0000022_00000_d_0000004,presence,Are there bicycle objects in this area?,yes,bicycle,1,normal,0.65,5.0,poor,0.034374,0.833333,0.071429,42.0,positive
0000022_00000_d_0000004,presence,Are there awning-tricycle objects in this area?,no,awning-tricycle,0,normal,0.65,5.0,poor,0.034374,0.833333,0.071429,42.0,negative
0000022_00000_d_0000004,counting,How many motor objects are in this area?,7,motor,7,normal,0.65,5.0,poor,0.034374,0.833333,0.071429,42.0,
0000022_00000_d_0000004,presence,Are there motor objects in this area?,yes,motor,7,normal,0.65,5.0,poor,0.034374,0.833333,0.071429,42.0,positive
0000022_00000_d_0000004,presence,Are there bus objects in this area?,no,bus,0,normal,0.65,5.0,poor,0.034374,0.833333,0.071429,42.0,negative
0000022_00000_d_0000004,counting,How many pedestrian objects are in this area?,23,pedestrian,23,critical,0.82,3.0,poor,0.034374,0.833333,0.071429,42.0,
0000022_00000_d_0000004,presence,Are there pedestrian objects in this area?,yes,pedestrian,23,critical,0.82,3.0,poor,0.034374,0.833333,0.071429,42.0,positive
0000022_00000_d_0000004,presence,Are there car objects in this area?,no,car,0,normal,0.82,3.0,poor,0.034374,0.833333,0.071429,42.0,negative
