question_type,service_level,channel_bin,snr_bin,view_quality_bin,count_bucket,sample_count,expected_accuracy,wilson_low,wilson_high,avg_payload_bytes,inherited,simulator_derived
co_presence,2,bad,0dB,good,na,198,0.651515,0.582832,0.714431,102340.8,0,0
co_presence,2,bad,0dB,medium,na,306,0.588235,0.53233,0.641953,140231.8,0,0
co_presence,2,bad,0dB,poor,na,4428,0.552846,0.538161,0.567438,161340.6,0,0
co_presence,2,good,15dB,good,na,198,0.590909,0.521327,0.657031,229988.4,0,0
co_presence,2,good,15dB,medium,na,306,0.647059,0.591992,0.698479,244674.7,0,0
co_presence,2,good,15dB,poor,na,4428,0.544038,0.529336,0.558663,276246.6,0,0
co_presence,2,good,20dB,good,na,198,0.590909,0.521327,0.657031,236439.2,0,0
co_presence,2,good,20dB,medium,na,306,0.647059,0.591992,0.698479,256664.1,0,0
co_presence,2,good,20dB,poor,na,4428,0.548103,0.533409,0.562714,279550.3,0,0
co_presence,2,medium,10dB,good,na,198,0.590909,0.521327,0.657031,216618.3,0,0
co_presence,2,medium,10dB,medium,na,306,0.637255,0.58199,0.689116,228047.2,0,0
co_presence,2,medium,10dB,poor,na,4428,0.546748,0.532051,0.561364,243563.7,0,0
co_presence,2,medium,5dB,good,na,198,0.590909,0.521327,0.657031,161137.4,0,0
co_presence,2,medium,5dB,medium,na,306,0.656863,0.602018,0.707817,172181.8,0,0
co_presence,2,medium,5dB,poor,na,4428,0.552168,0.537482,0.566763,186818.3,0,0
comparison,1,bad,-5dB,good,na,153,1.0,0.975506,1.0,880.2,0,0
comparison,1,bad,-5dB,medium,na,288,0.875,0.8318,0.908327,972.3,0,0
comparison,1,bad,-5dB,poor,na,4401,0.843899,0.832876,0.854322,1092.3,0,0
comparison,1,bad,0dB,good,na,153,1.0,0.975506,1.0,880.2,0,0
comparison,1,bad,0dB,medium,na,288,0.875,0.8318,0.908327,972.8,0,0
comparison,1,bad,0dB,poor,na,4401,0.841854,0.830776,0.852336,1092.2,0,0
comparison,1,good,15dB,good,na,153,1.0,0.975506,1.0,880.2,0,0
comparison,1,good,15dB,medium,na,288,0.875,0.8318,0.908327,972.6,0,0
comparison,1,good,15dB,poor,na,4401,0.842536,0.831476,0.852998,1091.9,0,0
comparison,1,good,20dB,good,na,153,1.0,0.975506,1.0,880.2,0,0
comparison,1,good,20dB,medium,na,288,0.875,0.8318,0.908327,972.6,0,0
comparison,1,good,20dB,poor,na,4401,0.842536,0.831476,0.852998,1091.9,0,0
comparison,1,medium,10dB,good,na,153,1.0,0.975506,1.0,880.2,0,0
comparison,1,medium,10dB,medium,na,288,0.875,0.8318,0.908327,972.7,0,0
comparison,1,medium,10dB,poor,na,4401,0.842536,0.831476,0.852998,1091.9,0,0
comparison,1,medium,5dB,good,na,153,1.0,0.975506,1.0,880.2,0,0
comparison,1,medium,5dB,medium,na,288,0.875,0.8318,0.908327,972.5,0,0
comparison,1,medium,5dB,poor,na,4401,0.842536,0.831476,0.852998,1092.0,0,0
comparison,2,bad,-5dB,good,na,153,0.882353,0.821701,0.924274,167967.5,0,0
comparison,2,bad,-5dB,medium,na,288,0.791667,0.741075,0.83458,166506.2,0,0
comparison,2,bad,-5dB,poor,na,4401,0.645535,0.631281,0.659535,188619.8,0,0
comparison,2,bad,0dB,good,na,153,0.901961,0.844546,0.939685,105900.5,0,0
comparison,2,bad,0dB,medium,na,288,0.854167,0.808744,0.890265,125892.8,0,0
comparison,2,bad,0dB,poor,na,4401,0.635992,0.621663,0.650083,160090.5,0,0
comparison,2,good,15dB,good,na,153,0.941176,0.891993,0.968748,238089.1,0,0
comparison,2,good,15dB,medium,na,288,0.833333,0.785963,0.871928,234969.2,0,0
comparison,2,good,15dB,poor,na,4401,0.633265,0.618917,0.647381,275454.8,0,0
comparison,2,good,20dB,good,na,153,0.882353,0.821701,0.924274,246210.2,0,0
comparison,2,good,20dB,medium,na,288,0.8125,0.763417,0.853356,240101.0,0,0
comparison,2,good,20dB,poor,na,4401,0.64349,0.62922,0.65751,278312.2,0,0
comparison,2,medium,10dB,good,na,153,0.921569,0.867918,0.954567,222084.5,0,0
comparison,2,medium,10dB,medium,na,288,0.833333,0.785963,0.871928,222160.9,0,0
comparison,2,medium,10dB,poor,na,4401,0.6394,0.625098,0.65346,243093.0,0,0
comparison,2,medium,5dB,good,na,153,0.941176,0.891993,0.968748,162419.9,0,0
comparison,2,medium,5dB,medium,na,288,0.854167,0.808744,0.890265,168749.8,0,0
comparison,2,medium,5dB,poor,na,4401,0.65576,0.641592,0.669656,186412.9,0,0
counting,0,bad,-5dB,good,1-4,252,0.47619,0.415347,0.537748,0.0,0,1
counting,0,bad,-5dB,good,10-19,36,1.0,0.903578,1.0,0.0,0,1
counting,0,bad,-5dB,good,5-9,72,0.458333,0.348284,0.572603,0.0,0,1
counting,0,bad,-5dB,medium,1-4,333,0.504505,0.451059,0.557848,0.0,0,1
counting,0,bad,-5dB,medium,10-19,153,1.0,0.975506,1.0,0.0,0,1
counting,0,bad,-5dB,medium,20-49,9,0.701676,0.692644,0.710553,0.0,1,1
counting,0,bad,-5dB,medium,5-9,99,0.545455,0.447505,0.640008,0.0,0,1
counting,0,bad,-5dB,poor,1-4,3591,0.462824,0.446564,0.479163,0.0,0,1
counting,0,bad,-5dB,poor,10-19,1539,1.0,0.99751,1.0,0.0,0,1
counting,0,bad,-5dB,poor,20-49,2151,1.0,0.998217,1.0,0.0,0,1
counting,0,bad,-5dB,poor,5-9,1224,0.443627,0.416014,0.471594,0.0,0,1
counting,0,bad,-5dB,poor,50+,567,1.0,0.99327,1.0,0.0,0,1
counting,0,bad,0dB,good,1-4,252,0.47619,0.415347,0.537748,0.0,0,1
counting,0,bad,0dB,good,10-19,36,1.0,0.903578,1.0,0.0,0,1
counting,0,bad,0dB,good,5-9,72,0.458333,0.348284,0.572603,0.0,0,1
counting,0,bad,0dB,medium,1-4,333,0.504505,0.451059,0.557848,0.0,0,1
counting,0,bad,0dB,medium,10-19,153,1.0,0.975506,1.0,0.0,0,1
counting,0,bad,0dB,medium,20-49,9,0.701676,0.692644,0.710553,0.0,1,1
counting,0,bad,0dB,medium,5-9,99,0.545455,0.447505,0.640008,0.0,0,1
counting,0,bad,0dB,poor,1-4,3591,0.462824,0.446564,0.479163,0.0,0,1
counting,0,bad,0dB,poor,10-19,1539,1.0,0.99751,1.0,0.0,0,1
counting,0,bad,0dB,poor,20-49,2151,1.0,0.998217,1.0,0.0,0,1
counting,0,bad,0dB,poor,5-9,1224,0.443627,0.416014,0.471594,0.0,0,1
counting,0,bad,0dB,poor,50+,567,1.0,0.99327,1.0,0.0,0,1
counting,0,good,15dB,good,1-4,252,0.47619,0.415347,0.537748,0.0,0,1
counting,0,good,15dB,good,10-19,36,1.0,0.903578,1.0,0.0,0,1
counting,0,good,15dB,good,5-9,72,0.458333,0.348284,0.572603,0.0,0,1
counting,0,good,15dB,medium,1-4,333,0.504505,0.451059,0.557848,0.0,0,1
counting,0,good,15dB,medium,10-19,153,1.0,0.975506,1.0,0.0,0,1
counting,0,good,15dB,medium,20-49,9,0.701676,0.692644,0.710553,0.0,1,1
counting,0,good,15dB,medium,5-9,99,0.545455,0.447505,0.640008,0.0,0,1
counting,0,good,15dB,poor,1-4,3591,0.462824,0.446564,0.479163,0.0,0,1
counting,0,good,15dB,poor,10-19,1539,1.0,0.99751,1.0,0.0,0,1
counting,0,good,15dB,poor,20-49,2151,1.0,0.998217,1.0,0.0,0,1
counting,0,good,15dB,poor,5-9,1224,0.443627,0.416014,0.471594,0.0,0,1
counting,0,good,15dB,poor,50+,567,1.0,0.99327,1.0,0.0,0,1
counting,0,good,20dB,good,1-4,252,0.47619,0.415347,0.537748,0.0,0,1
counting,0,good,20dB,good,10-19,36,1.0,0.903578,1.0,0.0,0,1
counting,0,good,20dB,good,5-9,72,0.458333,0.348284,0.572603,0.0,0,1
counting,0,good,20dB,medium,1-4,333,0.504505,0.451059,0.557848,0.0,0,1
counting,0,good,20dB,medium,10-19,153,1.0,0.975506,1.0,0.0,0,1
counting,0,good,20dB,medium,20-49,9,0.701676,0.692644,0.710553,0.0,1,1
counting,0,good,20dB,medium,5-9,99,0.545455,0.447505,0.640008,0.0,0,1
counting,0,good,20dB,poor,1-4,3591,0.462824,0.446564,0.479163,0.0,0,1
counting,0,good,20dB,poor,10-19,1539,1.0,0.99751,1.0,0.0,0,1
counting,0,good,20dB,poor,20-49,2151,1.0,0.998217,1.0,0.0,0,1
counting,0,good,20dB,poor,5-9,1224,0.443627,0.416014,0.471594,0.0,0,1
counting,0,good,20dB,poor,50+,567,1.0,0.99327,1.0,0.0,0,1
counting,0,medium,10dB,good,1-4,252,0.47619,0.415347,0.537748,0.0,0,1
counting,0,medium,10dB,good,10-19,36,1.0,0.903578,1.0,0.0,0,1
counting,0,medium,10dB,good,5-9,72,0.458333,0.348284,0.572603,0.0,0,1
counting,0,medium,10dB,medium,1-4,333,0.504505,0.451059,0.557848,0.0,0,1
counting,0,medium,10dB,medium,10-19,153,1.0,0.975506,1.0,0.0,0,1
counting,0,medium,10dB,medium,20-49,9,0.701676,0.692644,0.710553,0.0,1,1
counting,0,medium,10dB,medium,5-9,99,0.545455,0.447505,0.640008,0.0,0,1
counting,0,medium,10dB,poor,1-4,3591,0.462824,0.446564,0.479163,0.0,0,1
counting,0,medium,10dB,poor,10-19,1539,1.0,0.99751,1.0,0.0,0,1
counting,0,medium,10dB,poor,20-49,2151,1.0,0.998217,1.0,0.0,0,1
counting,0,medium,10dB,poor,5-9,1224,0.443627,0.416014,0.471594,0.0,0,1
counting,0,medium,10dB,poor,50+,567,1.0,0.99327,1.0,0.0,0,1
counting,0,medium,5dB,good,1-4,252,0.47619,0.415347,0.537748,0.0,0,1
counting,0,medium,5dB,good,10-19,36,1.0,0.903578,1.0,0.0,0,1
counting,0,medium,5dB,good,5-9,72,0.458333,0.348284,0.572603,0.0,0,1
counting,0,medium,5dB,medium,1-4,333,0.504505,0.451059,0.557848,0.0,0,1
counting,0,medium,5dB,medium,10-19,153,1.0,0.975506,1.0,0.0,0,1
counting,0,medium,5dB,medium,20-49,9,0.701676,0.692644,0.710553,0.0,1,1
counting,0,medium,5dB,medium,5-9,99,0.545455,0.447505,0.640008,0.0,0,1
counting,0,medium,5dB,poor,1-4,3591,0.462824,0.446564,0.479163,0.0,0,1
counting,0,medium,5dB,poor,10-19,1539,1.0,0.99751,1.0,0.0,0,1
counting,0,medium,5dB,poor,20-49,2151,1.0,0.998217,1.0,0.0,0,1
counting,0,medium,5dB,poor,5-9,1224,0.443627,0.416014,0.471594,0.0,0,1
counting,0,medium,5dB,poor,50+,567,1.0,0.99327,1.0,0.0,0,1
counting,1,bad,-5dB,good,1-4,252,0.833333,0.782387,0.874269,795.9,0,0
counting,1,bad,-5dB,good,10-19,36,0.75,0.589292,0.862497,1184.5,0,0
counting,1,bad,-5dB,good,5-9,72,0.875,0.779187,0.932823,1042.6,0,0
counting,1,bad,-5dB,medium,1-4,333,0.756757,0.707916,0.799741,799.0,0,0
counting,1,bad,-5dB,medium,10-19,153,0.72549,0.649907,0.790028,1220.5,0,0
counting,1,bad,-5dB,medium,20-49,9,0.575105,0.565402,0.58475,1233.0,1,0
counting,1,bad,-5dB,medium,5-9,99,0.454545,0.359992,0.552495,914.2,0,0
counting,1,bad,-5dB,poor,1-4,3591,0.636591,0.620722,0.65217,772.8,0,0
counting,1,bad,-5dB,poor,10-19,1539,0.481481,0.456595,0.50646,1099.5,0,0
counting,1,bad,-5dB,poor,20-49,2151,0.669456,0.64929,0.689018,1236.0,0,0
counting,1,bad,-5dB,poor,5-9,1224,0.227941,0.205312,0.252273,917.6,0,0
counting,1,bad,-5dB,poor,50+,567,0.550265,0.509115,0.590737,1249.5,0,0
counting,1,bad,0dB,good,1-4,252,0.821429,0.769423,0.863781,795.9,0,0
counting,1,bad,0dB,good,10-19,36,0.75,0.589292,0.862497,1184.5,0,0
counting,1,bad,0dB,good,5-9,72,0.875,0.779187,0.932823,1040.7,0,0
counting,1,bad,0dB,medium,1-4,333,0.756757,0.707916,0.799741,799.4,0,0
counting,1,bad,0dB,medium,10-19,153,0.705882,0.629351,0.772328,1221.3,0,0
counting,1,bad,0dB,medium,20-49,9,0.576302,0.566602,0.585943,1233.0,1,0
counting,1,bad,0dB,medium,5-9,99,0.454545,0.359992,0.552495,914.6,0,0
counting,1,bad,0dB,poor,1-4,3591,0.638262,0.622406,0.653823,772.1,0,0
counting,1,bad,0dB,poor,10-19,1539,0.48538,0.460477,0.510356,1100.3,0,0
counting,1,bad,0dB,poor,20-49,2151,0.670851,0.650703,0.690389,1235.2,0,0
counting,1,bad,0dB,poor,5-9,1224,0.227941,0.205312,0.252273,917.6,0,0
counting,1,bad,0dB,poor,50+,567,0.555556,0.514417,0.595947,1248.3,0,0
counting,1,good,15dB,good,1-4,252,0.821429,0.769423,0.863781,796.5,0,0
counting,1,good,15dB,good,10-19,36,0.75,0.589292,0.862497,1184.5,0,0
counting,1,good,15dB,good,5-9,72,0.875,0.779187,0.932823,1042.6,0,0
counting,1,good,15dB,medium,1-4,333,0.756757,0.707916,0.799741,799.2,0,0
counting,1,good,15dB,medium,10-19,153,0.705882,0.629351,0.772328,1221.1,0,0
counting,1,good,15dB,medium,20-49,9,0.576302,0.566602,0.585943,1233.0,1,0
counting,1,good,15dB,medium,5-9,99,0.454545,0.359992,0.552495,914.3,0,0
counting,1,good,15dB,poor,1-4,3591,0.636591,0.620722,0.65217,771.8,0,0
counting,1,good,15dB,poor,10-19,1539,0.491228,0.466304,0.516196,1100.0,0,0
counting,1,good,15dB,poor,20-49,2151,0.669456,0.64929,0.689018,1234.7,0,0
counting,1,good,15dB,poor,5-9,1224,0.227941,0.205312,0.252273,917.7,0,0
counting,1,good,15dB,poor,50+,567,0.555556,0.514417,0.595947,1247.7,0,0
counting,1,good,20dB,good,1-4,252,0.821429,0.769423,0.863781,796.5,0,0
counting,1,good,20dB,good,10-19,36,0.75,0.589292,0.862497,1184.5,0,0
counting,1,good,20dB,good,5-9,72,0.875,0.779187,0.932823,1042.6,0,0
counting,1,good,20dB,medium,1-4,333,0.756757,0.707916,0.799741,799.2,0,0
counting,1,good,20dB,medium,10-19,153,0.705882,0.629351,0.772328,1221.1,0,0
counting,1,good,20dB,medium,20-49,9,0.576302,0.566602,0.585943,1233.0,1,0
counting,1,good,20dB,medium,5-9,99,0.454545,0.359992,0.552495,914.3,0,0
counting,1,good,20dB,poor,1-4,3591,0.636591,0.620722,0.65217,771.8,0,0
counting,1,good,20dB,poor,10-19,1539,0.491228,0.466304,0.516196,1099.9,0,0
counting,1,good,20dB,poor,20-49,2151,0.669456,0.64929,0.689018,1234.7,0,0
counting,1,good,20dB,poor,5-9,1224,0.227941,0.205312,0.252273,917.7,0,0
counting,1,good,20dB,poor,50+,567,0.555556,0.514417,0.595947,1247.7,0,0
counting,1,medium,10dB,good,1-4,252,0.821429,0.769423,0.863781,796.5,0,0
counting,1,medium,10dB,good,10-19,36,0.75,0.589292,0.862497,1184.5,0,0
counting,1,medium,10dB,good,5-9,72,0.875,0.779187,0.932823,1042.6,0,0
counting,1,medium,10dB,medium,1-4,333,0.747748,0.698455,0.791389,799.0,0,0
counting,1,medium,10dB,medium,10-19,153,0.705882,0.629351,0.772328,1221.1,0,0
counting,1,medium,10dB,medium,20-49,9,0.575703,0.566002,0.585347,1233.0,1,0
counting,1,medium,10dB,medium,5-9,99,0.454545,0.359992,0.552495,914.3,0,0
counting,1,medium,10dB,poor,1-4,3591,0.635756,0.619879,0.651343,771.8,0,0
counting,1,medium,10dB,poor,10-19,1539,0.491228,0.466304,0.516196,1100.0,0,0
counting,1,medium,10dB,poor,20-49,2151,0.669456,0.64929,0.689018,1234.7,0,0
counting,1,medium,10dB,poor,5-9,1224,0.227941,0.205312,0.252273,917.7,0,0
counting,1,medium,10dB,poor,50+,567,0.555556,0.514417,0.595947,1247.7,0,0
counting,1,medium,5dB,good,1-4,252,0.821429,0.769423,0.863781,796.5,0,0
counting,1,medium,5dB,good,10-19,36,0.75,0.589292,0.862497,1184.5,0,0
counting,1,medium,5dB,good,5-9,72,0.875,0.779187,0.932823,1042.6,0,0
counting,1,medium,5dB,medium,1-4,333,0.747748,0.698455,0.791389,799.2,0,0
counting,1,medium,5dB,medium,10-19,153,0.72549,0.649907,0.790028,1220.2,0,0
counting,1,medium,5dB,medium,20-49,9,0.576002,0.566302,0.585645,1233.0,1,0
counting,1,medium,5dB,medium,5-9,99,0.454545,0.359992,0.552495,914.3,0,0
counting,1,medium,5dB,poor,1-4,3591,0.635756,0.619879,0.651343,771.9,0,0
counting,1,medium,5dB,poor,10-19,1539,0.487329,0.462419,0.512303,1100.0,0,0
counting,1,medium,5dB,poor,20-49,2151,0.67364,0.653531,0.693131,1234.8,0,0
counting,1,medium,5dB,poor,5-9,1224,0.22549,0.202958,0.24974,917.6,0,0
counting,1,medium,5dB,poor,50+,567,0.555556,0.514417,0.595947,1248.0,0,0
counting,2,bad,-5dB,good,1-4,252,0.77381,0.718268,0.821128,162693.9,0,0
counting,2,bad,-5dB,good,10-19,36,0.0,0.0,0.096422,162354.5,0,0
counting,2,bad,-5dB,good,5-9,72,0.0,0.0,0.050653,167292.0,0,0
counting,2,bad,-5dB,medium,1-4,333,0.630631,0.577577,0.680704,156841.7,0,0
counting,2,bad,-5dB,medium,10-19,153,0.0,0.0,0.024494,182065.9,0,0
counting,2,bad,-5dB,medium,20-49,9,0.255536,0.247093,0.264166,271217.0,1,0
counting,2,bad,-5dB,medium,5-9,99,0.0,0.0,0.037355,187794.7,0,0
counting,2,bad,-5dB,poor,1-4,3591,0.600668,0.58455,0.616571,185196.9,0,0
counting,2,bad,-5dB,poor,10-19,1539,0.0,0.0,0.00249,191669.0,0,0
counting,2,bad,-5dB,poor,20-49,2151,0.0,0.0,0.001783,192435.9,0,0
counting,2,bad,-5dB,poor,5-9,1224,0.0,0.0,0.003129,178773.3,0,0
counting,2,bad,-5dB,poor,50+,567,0.0,0.0,0.00673,212896.1,0,0
counting,2,bad,0dB,good,1-4,252,0.833333,0.782387,0.874269,109002.1,0,0
counting,2,bad,0dB,good,10-19,36,0.0,0.0,0.096422,91176.7,0,0
counting,2,bad,0dB,good,5-9,72,0.0,0.0,0.050653,91008.6,0,0
counting,2,bad,0dB,medium,1-4,333,0.747748,0.698455,0.791389,110616.4,0,0
counting,2,bad,0dB,medium,10-19,153,0.0,0.0,0.024494,131414.9,0,0
counting,2,bad,0dB,medium,20-49,9,0.27289,0.264259,0.281696,340435.0,1,0
counting,2,bad,0dB,medium,5-9,99,0.0,0.0,0.037355,193559.5,0,0
counting,2,bad,0dB,poor,1-4,3591,0.634085,0.618195,0.649689,156731.6,0,0
counting,2,bad,0dB,poor,10-19,1539,0.0,0.0,0.00249,160831.2,0,0
counting,2,bad,0dB,poor,20-49,2151,0.0,0.0,0.001783,158021.8,0,0
counting,2,bad,0dB,poor,5-9,1224,0.0,0.0,0.003129,157207.2,0,0
counting,2,bad,0dB,poor,50+,567,0.0,0.0,0.00673,208605.0,0,0
counting,2,good,15dB,good,1-4,252,0.821429,0.769423,0.863781,223727.8,0,0
counting,2,good,15dB,good,10-19,36,0.0,0.0,0.096422,262135.4,0,0
counting,2,good,15dB,good,5-9,72,0.0,0.0,0.050653,248192.4,0,0
counting,2,good,15dB,medium,1-4,333,0.774775,0.72692,0.816362,219570.4,0,0
counting,2,good,15dB,medium,10-19,153,0.0,0.0,0.024494,258997.8,0,0
counting,2,good,15dB,medium,20-49,9,0.278576,0.269887,0.287434,419871.7,1,0
counting,2,good,15dB,medium,5-9,99,0.0,0.0,0.037355,262819.4,0,0
counting,2,good,15dB,poor,1-4,3591,0.64411,0.628304,0.659608,270862.9,0,0
counting,2,good,15dB,poor,10-19,1539,0.0,0.0,0.00249,273431.1,0,0
counting,2,good,15dB,poor,20-49,2151,0.0,0.0,0.001783,283120.0,0,0
counting,2,good,15dB,poor,5-9,1224,0.012255,0.00744,0.020121,265113.2,0,0
counting,2,good,15dB,poor,50+,567,0.0,0.0,0.00673,312156.8,0,0
counting,2,good,20dB,good,1-4,252,0.821429,0.769423,0.863781,233244.0,0,0
counting,2,good,20dB,good,10-19,36,0.0,0.0,0.096422,265155.3,0,0
counting,2,good,20dB,good,5-9,72,0.0,0.0,0.050653,248185.5,0,0
counting,2,good,20dB,medium,1-4,333,0.792793,0.746041,0.832866,225111.5,0,0
counting,2,good,20dB,medium,10-19,153,0.0,0.0,0.024494,263386.5,0,0
counting,2,good,20dB,medium,20-49,9,0.281568,0.272849,0.290454,429948.3,1,0
counting,2,good,20dB,medium,5-9,99,0.0,0.0,0.037355,288469.9,0,0
counting,2,good,20dB,poor,1-4,3591,0.649958,0.634205,0.665391,273749.4,0,0
counting,2,good,20dB,poor,10-19,1539,0.0,0.0,0.00249,280393.5,0,0
counting,2,good,20dB,poor,20-49,2151,0.0,0.0,0.001783,283887.6,0,0
counting,2,good,20dB,poor,5-9,1224,0.014706,0.009322,0.023126,268282.8,0,0
counting,2,good,20dB,poor,50+,567,0.0,0.0,0.00673,313253.9,0,0
counting,2,medium,10dB,good,1-4,252,0.857143,0.808567,0.894994,211604.1,0,0
counting,2,medium,10dB,good,10-19,36,0.0,0.0,0.096422,256751.1,0,0
counting,2,medium,10dB,good,5-9,72,0.0,0.0,0.050653,222446.0,0,0
counting,2,medium,10dB,medium,1-4,333,0.801802,0.755649,0.841071,212289.2,0,0
counting,2,medium,10dB,medium,10-19,153,0.0,0.0,0.024494,244399.3,0,0
counting,2,medium,10dB,medium,20-49,9,0.280969,0.272256,0.28985,309944.7,1,0
counting,2,medium,10dB,medium,5-9,99,0.0,0.0,0.037355,231210.9,0,0
counting,2,medium,10dB,poor,1-4,3591,0.645781,0.62999,0.661261,239262.0,0,0
counting,2,medium,10dB,poor,10-19,1539,0.0,0.0,0.00249,243230.2,0,0
counting,2,medium,10dB,poor,20-49,2151,0.0,0.0,0.001783,250561.9,0,0
counting,2,medium,10dB,poor,5-9,1224,0.012255,0.00744,0.020121,235457.3,0,0
counting,2,medium,10dB,poor,50+,567,0.0,0.0,0.00673,259561.7,0,0
counting,2,medium,5dB,good,1-4,252,0.833333,0.782387,0.874269,159033.3,0,0
counting,2,medium,5dB,good,10-19,36,0.0,0.0,0.096422,171264.5,0,0
counting,2,medium,5dB,good,5-9,72,0.0,0.0,0.050653,165087.7,0,0
counting,2,medium,5dB,medium,1-4,333,0.774775,0.72692,0.816362,160897.5,0,0
counting,2,medium,5dB,medium,10-19,153,0.0,0.0,0.024494,177917.1,0,0
counting,2,medium,5dB,medium,20-49,9,0.279473,0.270775,0.28834,218531.0,1,0
counting,2,medium,5dB,medium,5-9,99,0.0,0.0,0.037355,187077.1,0,0
counting,2,medium,5dB,poor,1-4,3591,0.646617,0.630833,0.662087,183741.1,0,0
counting,2,medium,5dB,poor,10-19,1539,0.0,0.0,0.00249,193760.4,0,0
counting,2,medium,5dB,poor,20-49,2151,0.0,0.0,0.001783,184909.3,0,0
counting,2,medium,5dB,poor,5-9,1224,0.009804,0.005617,0.017058,182446.1,0,0
counting,2,medium,5dB,poor,50+,567,0.0,0.0,0.00673,200890.7,0,0
presence,0,bad,-5dB,good,na,720,0.470833,0.434624,0.507352,0.0,0,1
presence,0,bad,-5dB,medium,na,1188,0.540404,0.51198,0.568568,0.0,0,1
presence,0,bad,-5dB,poor,na,17415,0.522481,0.515058,0.529893,0.0,0,1
presence,0,bad,0dB,good,na,720,0.470833,0.434624,0.507352,0.0,0,1
presence,0,bad,0dB,medium,na,1188,0.540404,0.51198,0.568568,0.0,0,1
presence,0,bad,0dB,poor,na,17415,0.522481,0.515058,0.529893,0.0,0,1
presence,0,good,15dB,good,na,720,0.470833,0.434624,0.507352,0.0,0,1
presence,0,good,15dB,medium,na,1188,0.540404,0.51198,0.568568,0.0,0,1
presence,0,good,15dB,poor,na,17415,0.522481,0.515058,0.529893,0.0,0,1
presence,0,good,20dB,good,na,720,0.470833,0.434624,0.507352,0.0,0,1
presence,0,good,20dB,medium,na,1188,0.540404,0.51198,0.568568,0.0,0,1
presence,0,good,20dB,poor,na,17415,0.522481,0.515058,0.529893,0.0,0,1
presence,0,medium,10dB,good,na,720,0.470833,0.434624,0.507352,0.0,0,1
presence,0,medium,10dB,medium,na,1188,0.540404,0.51198,0.568568,0.0,0,1
presence,0,medium,10dB,poor,na,17415,0.522481,0.515058,0.529893,0.0,0,1
presence,0,medium,5dB,good,na,720,0.470833,0.434624,0.507352,0.0,0,1
presence,0,medium,5dB,medium,na,1188,0.540404,0.51198,0.568568,0.0,0,1
presence,0,medium,5dB,poor,na,17415,0.522481,0.515058,0.529893,0.0,0,1
presence,1,bad,-5dB,good,na,720,0.9,0.875919,0.919835,799.7,0,0
presence,1,bad,-5dB,medium,na,1188,0.878788,0.858997,0.896137,825.4,0,0
presence,1,bad,-5dB,poor,na,17415,0.688372,0.681452,0.695209,822.9,0,0
presence,1,bad,0dB,good,na,720,0.895833,0.871379,0.916086,799.4,0,0
presence,1,bad,0dB,medium,na,1188,0.878788,0.858997,0.896137,825.6,0,0
presence,1,bad,0dB,poor,na,17415,0.688372,0.681452,0.695209,822.4,0,0
presence,1,good,15dB,good,na,720,0.9,0.875919,0.919835,799.9,0,0
presence,1,good,15dB,medium,na,1188,0.878788,0.858997,0.896137,825.5,0,0
presence,1,good,15dB,poor,na,17415,0.688372,0.681452,0.695209,822.0,0,0
presence,1,good,20dB,good,na,720,0.9,0.875919,0.919835,799.9,0,0
presence,1,good,20dB,medium,na,1188,0.878788,0.858997,0.896137,825.5,0,0
presence,1,good,20dB,poor,na,17415,0.688372,0.681452,0.695209,822.0,0,0
