question_type,service_level,channel_bin,view_quality_bin,freshness_bin,risk_level,expected_accuracy,sample_count,std_or_ci
counting,2,good,medium,expired,critical,0.653045,411,0.002041
counting,2,good,medium,expired,normal,0.692724,667,0.001644
counting,2,good,medium,fresh,critical,0.654257,411,0.002008
counting,2,good,medium,fresh,normal,0.691266,667,0.001669
counting,2,good,medium,stale,critical,0.652955,411,0.002049
counting,2,good,medium,stale,normal,0.692852,667,0.001615
counting,2,good,poor,expired,critical,0.482754,412,0.001485
counting,2,good,poor,expired,normal,0.511652,706,0.001208
counting,2,good,poor,fresh,critical,0.484966,412,0.001495
counting,2,good,poor,fresh,normal,0.513214,706,0.00117
counting,2,good,poor,stale,critical,0.482958,412,0.001464
counting,2,good,poor,stale,normal,0.512548,706,0.001202
counting,2,medium,good,expired,critical,0.692052,267,0.002609
counting,2,medium,good,expired,normal,0.733423,617,0.001723
counting,2,medium,good,fresh,critical,0.695642,267,0.002577
counting,2,medium,good,fresh,normal,0.735294,617,0.001716
counting,2,medium,good,stale,critical,0.691865,267,0.002654
counting,2,medium,good,stale,normal,0.73562,617,0.001744
counting,2,medium,medium,expired,critical,0.577954,411,0.001847
counting,2,medium,medium,expired,normal,0.612089,667,0.001447
counting,2,medium,medium,fresh,critical,0.57948,411,0.001757
counting,2,medium,medium,fresh,normal,0.612704,667,0.001496
counting,2,medium,medium,stale,critical,0.579869,411,0.00183
counting,2,medium,medium,stale,normal,0.613428,667,0.001505
counting,2,medium,poor,expired,critical,0.428924,412,0.001319
counting,2,medium,poor,expired,normal,0.452193,706,0.00104
counting,2,medium,poor,fresh,critical,0.428534,412,0.001321
counting,2,medium,poor,fresh,normal,0.454374,706,0.001044
counting,2,medium,poor,stale,critical,0.427924,412,0.001412
counting,2,medium,poor,stale,normal,0.453425,706,0.001081
presence,0,bad,good,expired,critical,0.339633,273,0.001312
presence,0,bad,good,expired,normal,0.362257,712,0.000795
presence,0,bad,good,fresh,critical,0.628143,273,0.002432
presence,0,bad,good,fresh,normal,0.669076,712,0.001485
presence,0,bad,good,stale,critical,0.496547,273,0.001845
presence,0,bad,good,stale,normal,0.529363,712,0.001172
presence,0,bad,medium,expired,critical,0.336626,417,0.001058
presence,0,bad,medium,expired,normal,0.358765,780,0.000774
presence,0,bad,medium,fresh,critical,0.62116,417,0.001896
presence,0,bad,medium,fresh,normal,0.663302,780,0.001467
presence,0,bad,medium,stale,critical,0.492503,417,0.001557
presence,0,bad,medium,stale,normal,0.52409,780,0.001156
presence,0,bad,poor,expired,critical,0.33278,422,0.001
presence,0,bad,poor,expired,normal,0.353395,804,0.000756
presence,0,bad,poor,fresh,critical,0.613581,422,0.001914
presence,0,bad,poor,fresh,normal,0.652447,804,0.00142
presence,0,bad,poor,stale,critical,0.486886,422,0.00146
presence,0,bad,poor,stale,normal,0.518329,804,0.001141
presence,0,good,good,expired,critical,0.343751,273,0.001321
presence,0,good,good,expired,normal,0.365991,712,0.00079
presence,0,good,good,fresh,critical,0.636884,273,0.002285
presence,0,good,good,fresh,normal,0.677129,712,0.00148
presence,0,good,good,stale,critical,0.504785,273,0.001878
presence,0,good,good,stale,normal,0.535728,712,0.001189
presence,0,good,medium,expired,critical,0.340861,417,0.001042
presence,0,good,medium,expired,normal,0.363229,780,0.000794
presence,0,good,medium,fresh,critical,0.629451,417,0.001941
presence,0,good,medium,fresh,normal,0.670423,780,0.001473
presence,0,good,medium,stale,critical,0.498633,417,0.001537
presence,0,good,medium,stale,normal,0.531211,780,0.001203
presence,0,good,poor,expired,critical,0.337386,422,0.001065
presence,0,good,poor,expired,normal,0.357473,804,0.000788
presence,0,good,poor,fresh,critical,0.621934,422,0.001974
presence,0,good,poor,fresh,normal,0.660839,804,0.001433
presence,0,good,poor,stale,critical,0.492142,422,0.001471
presence,0,good,poor,stale,normal,0.52293,804,0.001143
presence,0,medium,good,expired,critical,0.342801,273,0.001289
presence,0,medium,good,expired,normal,0.364626,712,0.000806
presence,0,medium,good,fresh,critical,0.634551,273,0.002409
presence,0,medium,good,fresh,normal,0.673342,712,0.001496
presence,0,medium,good,stale,critical,0.50108,273,0.001878
presence,0,medium,good,stale,normal,0.531788,712,0.001165
presence,0,medium,medium,expired,critical,0.33997,417,0.00105
presence,0,medium,medium,expired,normal,0.360692,780,0.000815
presence,0,medium,medium,fresh,critical,0.62826,417,0.00191
presence,0,medium,medium,fresh,normal,0.667132,780,0.001492
presence,0,medium,medium,stale,critical,0.496688,417,0.001549
presence,0,medium,medium,stale,normal,0.528456,780,0.001153
presence,0,medium,poor,expired,critical,0.335081,422,0.001038
presence,0,medium,poor,expired,normal,0.356588,804,0.000772
presence,0,medium,poor,fresh,critical,0.618365,422,0.001945
presence,0,medium,poor,fresh,normal,0.656461,804,0.001471
presence,0,medium,poor,stale,critical,0.488923,422,0.001489
presence,0,medium,poor,stale,normal,0.521478,804,0.00114
presence,1,bad,good,expired,critical,0.420613,273,0.001506
presence,1,bad,good,expired,normal,0.447178,712,0.001005
presence,1,bad,good,fresh,critical,0.530071,273,0.002112
presence,1,bad,good,fresh,normal,0.562947,712,0.001245
presence,1,bad,good,stale,critical,0.48679,273,0.001807
presence,1,bad,good,stale,normal,0.517498,712,0.001137
presence,1,bad,medium,expired,critical,0.333864,417,0.001025
presence,1,bad,medium,expired,normal,0.355666,780,0.000781
presence,1,bad,medium,fresh,critical,0.418415,417,0.001288
presence,1,bad,medium,fresh,normal,0.445751,780,0.000975
presence,1,bad,medium,stale,critical,0.384918,417,0.001205
presence,1,bad,medium,stale,normal,0.409521,780,0.000909
presence,1,bad,poor,expired,critical,0.242378,422,0.000767
presence,1,bad,poor,expired,normal,0.257162,804,0.000569
presence,1,bad,poor,fresh,critical,0.303531,422,0.000933
presence,1,bad,poor,fresh,normal,0.324387,804,0.000689
presence,1,bad,poor,stale,critical,0.279033,422,0.000862
presence,1,bad,poor,stale,normal,0.297071,804,0.000664
presence,1,good,good,expired,critical,0.650194,273,0.002486
presence,1,good,good,expired,normal,0.69513,712,0.001498
presence,1,good,good,fresh,critical,0.821576,273,0.002953
presence,1,good,good,fresh,normal,0.873279,712,0.001978
presence,1,good,good,stale,critical,0.752756,273,0.00285
presence,1,good,good,stale,normal,0.801385,712,0.001777
presence,1,good,medium,expired,critical,0.537773,417,0.001659
presence,1,good,medium,expired,normal,0.572624,780,0.001276
presence,1,good,medium,fresh,critical,0.678017,417,0.002048
presence,1,good,medium,fresh,normal,0.719639,780,0.00159
presence,1,good,medium,stale,critical,0.622037,417,0.001907
presence,1,good,medium,stale,normal,0.661029,780,0.001479
presence,1,good,poor,expired,critical,0.348298,422,0.001051
presence,1,good,poor,expired,normal,0.370709,804,0.0008
presence,1,good,poor,fresh,critical,0.438056,422,0.001352
presence,1,good,poor,fresh,normal,0.465982,804,0.001018
presence,1,good,poor,stale,critical,0.403199,422,0.001208
presence,1,good,poor,stale,normal,0.427955,804,0.000961
presence,1,medium,good,expired,critical,0.572234,273,0.002142
presence,1,medium,good,expired,normal,0.611098,712,0.0013
presence,1,medium,good,fresh,critical,0.718854,273,0.002671
presence,1,medium,good,fresh,normal,0.765893,712,0.001684
presence,1,medium,good,stale,critical,0.664438,273,0.002411
presence,1,medium,good,stale,normal,0.703118,712,0.001541
presence,1,medium,medium,expired,critical,0.472978,417,0.001495
presence,1,medium,medium,expired,normal,0.503061,780,0.001173
presence,1,medium,medium,fresh,critical,0.593157,417,0.001844
presence,1,medium,medium,fresh,normal,0.632619,780,0.001406
presence,1,medium,medium,stale,critical,0.545717,417,0.001758
presence,1,medium,medium,stale,normal,0.580484,780,0.001256
presence,1,medium,poor,expired,critical,0.305969,422,0.000914
presence,1,medium,poor,expired,normal,0.32558,804,0.000711
presence,1,medium,poor,fresh,critical,0.38531,422,0.001214
presence,1,medium,poor,fresh,normal,0.408874,804,0.0009
presence,1,medium,poor,stale,critical,0.352548,422,0.001083
presence,1,medium,poor,stale,normal,0.375207,804,0.000816
presence,2,bad,good,expired,critical,0.608652,273,0.002244
presence,2,bad,good,expired,normal,0.647435,712,0.001435
presence,2,bad,good,fresh,critical,0.610803,273,0.002302
presence,2,bad,good,fresh,normal,0.647281,712,0.001416
presence,2,bad,good,stale,critical,0.613202,273,0.00236
presence,2,bad,good,stale,normal,0.647397,712,0.0014
presence,2,bad,medium,expired,critical,0.509328,417,0.001548
presence,2,bad,medium,expired,normal,0.541219,780,0.001193
presence,2,bad,medium,fresh,critical,0.510881,417,0.001535
presence,2,bad,medium,fresh,normal,0.541767,780,0.001174
presence,2,bad,medium,stale,critical,0.509059,417,0.001518
presence,2,bad,medium,stale,normal,0.539498,780,0.001233
presence,2,bad,poor,expired,critical,0.378849,422,0.001162
presence,2,bad,poor,expired,normal,0.401158,804,0.000834
presence,2,bad,poor,fresh,critical,0.37836,422,0.001092
presence,2,bad,poor,fresh,normal,0.401529,804,0.000898
presence,2,bad,poor,stale,critical,0.379825,422,0.001132
presence,2,bad,poor,stale,normal,0.401571,804,0.000849
presence,2,good,good,expired,critical,0.867624,273,0.003188
presence,2,good,good,expired,normal,0.917868,712,0.001998
presence,2,good,good,fresh,critical,0.867895,273,0.003231
presence,2,good,good,fresh,normal,0.920217,712,0.002024
presence,2,good,good,stale,critical,0.865618,273,0.003215
presence,2,good,good,stale,normal,0.920032,712,0.002026
presence,2,good,medium,expired,critical,0.718233,417,0.002185
presence,2,good,medium,expired,normal,0.761564,780,0.001649
presence,2,good,medium,fresh,critical,0.722845,417,0.002276
presence,2,good,medium,fresh,normal,0.766432,780,0.001702
presence,2,good,medium,stale,critical,0.718709,417,0.002267
presence,2,good,medium,stale,normal,0.76519,780,0.001716
presence,2,good,poor,expired,critical,0.531685,422,0.001662
presence,2,good,poor,expired,normal,0.563366,804,0.001243
presence,2,good,poor,fresh,critical,0.530823,422,0.001635
presence,2,good,poor,fresh,normal,0.56518,804,0.001251
presence,2,good,poor,stale,critical,0.532954,422,0.001594
presence,2,good,poor,stale,normal,0.562713,804,0.001245
presence,2,medium,good,expired,critical,0.763065,273,0.002805
presence,2,medium,good,expired,normal,0.809926,712,0.001728
presence,2,medium,good,fresh,critical,0.762214,273,0.002734
presence,2,medium,good,fresh,normal,0.810694,712,0.001765
presence,2,medium,good,stale,critical,0.765599,273,0.002897
presence,2,medium,good,stale,normal,0.809738,712,0.001771
presence,2,medium,medium,expired,critical,0.635646,417,0.00204
presence,2,medium,medium,expired,normal,0.675299,780,0.001479
presence,2,medium,medium,fresh,critical,0.635313,417,0.00196
presence,2,medium,medium,fresh,normal,0.674117,780,0.00146
presence,2,medium,medium,stale,critical,0.633937,417,0.001978
presence,2,medium,medium,stale,normal,0.67452,780,0.001492
presence,2,medium,poor,expired,critical,0.470845,422,0.00143
presence,2,medium,poor,expired,normal,0.498793,804,0.001038
presence,2,medium,poor,fresh,critical,0.470146,422,0.001484
presence,2,medium,poor,fresh,normal,0.498156,804,0.001036
presence,2,medium,poor,stale,critical,0.469896,422,0.001393
presence,2,medium,poor,stale,normal,0.498519,804,0.001089
risk,0,bad,good,expired,critical,0.299777,167,0.001295
risk,0,bad,good,fresh,critical,0.556676,167,0.002455
risk,0,bad,good,stale,critical,0.438589,167,0.001941
risk,0,bad,medium,expired,critical,0.296335,167,0.001448
risk,0,bad,medium,fresh,critical,0.549456,167,0.002436
risk,0,bad,medium,stale,critical,0.434492,167,0.002001
risk,0,bad,poor,expired,critical,0.293199,166,0.001381
risk,0,bad,poor,fresh,critical,0.539608,166,0.002598
risk,0,bad,poor,stale,critical,0.428172,166,0.002108
risk,0,good,good,expired,critical,0.304249,167,0.001339
risk,0,good,good,fresh,critical,0.561388,167,0.002549
risk,0,good,good,stale,critical,0.442962,167,0.001903
risk,0,good,medium,expired,critical,0.302006,167,0.001506
risk,0,good,medium,fresh,critical,0.55456,167,0.002599
risk,0,good,medium,stale,critical,0.439014,167,0.00213
risk,0,good,poor,expired,critical,0.297338,166,0.001443
risk,0,good,poor,fresh,critical,0.548222,166,0.002517
risk,0,good,poor,stale,critical,0.434257,166,0.002186
risk,0,medium,good,expired,critical,0.302734,167,0.001281
risk,0,medium,good,fresh,critical,0.55799,167,0.002479
risk,0,medium,good,stale,critical,0.442505,167,0.001987
risk,0,medium,medium,expired,critical,0.299572,167,0.001448
risk,0,medium,medium,fresh,critical,0.553235,167,0.00272
risk,0,medium,medium,stale,critical,0.437829,167,0.001959
risk,0,medium,poor,expired,critical,0.294655,166,0.001437
risk,0,medium,poor,fresh,critical,0.546927,166,0.002576
risk,0,medium,poor,stale,critical,0.43104,166,0.002184
risk,1,bad,good,expired,critical,0.357718,167,0.0016
risk,1,bad,good,fresh,critical,0.449655,167,0.00199
risk,1,bad,good,stale,critical,0.413702,167,0.001709
risk,1,bad,medium,expired,critical,0.293937,167,0.001399
risk,1,bad,medium,fresh,critical,0.370853,167,0.001701
risk,1,bad,medium,stale,critical,0.338685,167,0.001579
risk,1,bad,poor,expired,critical,0.213948,166,0.001011
risk,1,bad,poor,fresh,critical,0.268292,166,0.001185
risk,1,bad,poor,stale,critical,0.246108,166,0.0012
risk,1,good,good,expired,critical,0.511967,167,0.002231
risk,1,good,good,fresh,critical,0.647167,167,0.002927
risk,1,good,good,stale,critical,0.592121,167,0.002716
risk,1,good,medium,expired,critical,0.423229,167,0.002055
risk,1,good,medium,fresh,critical,0.533951,167,0.002539
risk,1,good,medium,stale,critical,0.487824,167,0.002344
risk,1,good,poor,expired,critical,0.306551,166,0.001483
risk,1,good,poor,fresh,critical,0.387356,166,0.00185
risk,1,good,poor,stale,critical,0.355105,166,0.00164
risk,1,medium,good,expired,critical,0.450616,167,0.002069
risk,1,medium,good,fresh,critical,0.567623,167,0.002469
risk,1,medium,good,stale,critical,0.520688,167,0.002201
risk,1,medium,medium,expired,critical,0.371674,167,0.001719
risk,1,medium,medium,fresh,critical,0.469585,167,0.002116
risk,1,medium,medium,stale,critical,0.431569,167,0.001966
risk,1,medium,poor,expired,critical,0.269854,166,0.001288
risk,1,medium,poor,fresh,critical,0.339939,166,0.001637
risk,1,medium,poor,stale,critical,0.310628,166,0.001536
risk,2,bad,good,expired,critical,0.541549,167,0.002482
risk,2,bad,good,fresh,critical,0.544675,167,0.002382
risk,2,bad,good,stale,critical,0.54176,167,0.00224
risk,2,bad,medium,expired,critical,0.454468,167,0.002216
risk,2,bad,medium,fresh,critical,0.4539,167,0.002095
risk,2,bad,medium,stale,critical,0.453058,167,0.002122
risk,2,bad,poor,expired,critical,0.338767,166,0.001593
risk,2,bad,poor,fresh,critical,0.339826,166,0.001491
risk,2,bad,poor,stale,critical,0.339305,166,0.001626
risk,2,good,good,expired,critical,0.768688,167,0.003467
risk,2,good,good,fresh,critical,0.767569,167,0.003651
risk,2,good,good,stale,critical,0.767933,167,0.003409
risk,2,good,medium,expired,critical,0.639673,167,0.003079
risk,2,good,medium,fresh,critical,0.638648,167,0.002993
risk,2,good,medium,stale,critical,0.637986,167,0.003026
risk,2,good,poor,expired,critical,0.47005,166,0.002331
risk,2,good,poor,fresh,critical,0.473224,166,0.002264
risk,2,good,poor,stale,critical,0.473194,166,0.002329
risk,2,medium,good,expired,critical,0.677661,167,0.002777
risk,2,medium,good,fresh,critical,0.676194,167,0.003226
risk,2,medium,good,stale,critical,0.678298,167,0.002987
risk,2,medium,medium,expired,critical,0.565075,167,0.0026
risk,2,medium,medium,fresh,critical,0.565454,167,0.002671
risk,2,medium,medium,stale,critical,0.565971,167,0.002696
risk,2,medium,poor,expired,critical,0.419049,166,0.00197
risk,2,medium,poor,fresh,critical,0.420187,166,0.002067
risk,2,medium,poor,stale,critical,0.421078,166,0.001915
