channel,t_budget,snr_db,snr_bin,image_id,question,presence_polarity,ground_truth_answer,predicted_answer,normalized_prediction,correct,answer_confidence,payload_bytes,tokens_sent,model_name
rician,16,-5,-5dB,0000001_03499_d_0000006,Are there awning-tricycle objects in this area?,positive,yes,no,no,False,0.649672,735,16,/home/qiankun/.cache/huggingface/hub/models--HuggingFaceTB--SmolVLM-Instruct/snapshots/81cd9a775a4d644f2faf4e7becff4559b46b14c7
rician,16,0,0dB,0000001_03499_d_0000006,Are there awning-tricycle objects in this area?,positive,yes,no,no,False,0.705967,735,16,/home/qiankun/.cache/huggingface/hub/models--HuggingFaceTB--SmolVLM-Instruct/snapshots/81cd9a775a4d644f2faf4e7becff4559b46b14c7
rician,16,5,5dB,0000001_03499_d_0000006,Are there awning-tricycle objects in this area?,positive,yes,no,no,False,0.572165,735,16,/home/qiankun/.cache/huggingface/hub/models--HuggingFaceTB--SmolVLM-Instruct/snapshots/81cd9a775a4d644f2faf4e7becff4559b46b14c7
rician,16,10,10dB,0000001_03499_d_0000006,Are there awning-tricycle objects in this area?,positive,yes,no,no,False,0.549445,735,16,/home/qiankun/.cache/huggingface/hub/models--HuggingFaceTB--SmolVLM-Instruct/snapshots/81cd9a775a4d644f2faf4e7becff4559b46b14c7
rician,16,15,15dB,0000001_03499_d_0000006,Are there awning-tricycle objects in this area?,positive,yes,no,no,False,0.634264,735,16,/home/qiankun/.cache/huggingface/hub/models--HuggingFaceTB--SmolVLM-Instruct/snapshots/81cd9a775a4d644f2faf4e7becff4559b46b14c7
rician,16,20,20dB,0000001_03499_d_0000006,Are there awning-tricycle objects in this area?,positive,yes,no,no,False,0.626585,735,16,/home/qiankun/.cache/huggingface/hub/models--HuggingFaceTB--SmolVLM-Instruct/snapshots/81cd9a775a4d644f2faf4e7becff4559b46b14c7
rician,32,-5,-5dB,0000001_03499_d_0000006,Are there awning-tricycle objects in this area?,positive,yes,no,no,False,0.634740,750,22,/home/qiankun/.cache/huggingface/hub/models--HuggingFaceTB--SmolVLM-Instruct/snapshots/81cd9a775a4d644f2faf4e7becff4559b46b14c7
rician,32,0,0dB,0000001_03499_d_0000006,Are there awning-tricycle objects in this area?,positive,yes,no,no,False,0.689699,750,22,/home/qiankun/.cache/huggingface/hub/models--HuggingFaceTB--SmolVLM-Instruct/snapshots/81cd9a775a4d644f2faf4e7becff4559b46b14c7
rician,32,5,5dB,0000001_03499_d_0000006,Are there awning-tricycle objects in this area?,positive,yes,no,no,False,0.609879,750,22,/home/qiankun/.cache/huggingface/hub/models--HuggingFaceTB--SmolVLM-Instruct/snapshots/81cd9a775a4d644f2faf4e7becff4559b46b14c7
rician,32,10,10dB,0000001_03499_d_0000006,Are there awning-tricycle objects in this area?,positive,yes,no,no,False,0.609492,750,22,/home/qiankun/.cache/huggingface/hub/models--HuggingFaceTB--SmolVLM-Instruct/snapshots/81cd9a775a4d644f2faf4e7becff4559b46b14c7
rician,32,15,15dB,0000001_03499_d_0000006,Are there awning-tricycle objects in this area?,positive,yes,no,no,False,0.654586,750,22,/home/qiankun/.cache/huggingface/hub/models--HuggingFaceTB--SmolVLM-Instruct/snapshots/81cd9a775a4d644f2faf4e7becff4559b46b14c7
rician,32,20,20dB,0000001_03499_d_0000006,Are there awning-tricycle objects in this area?,positive,yes,no,no,False,0.617459,750,22,/home/qiankun/.cache/huggingface/hub/models--HuggingFaceTB--SmolVLM-Instruct/snapshots/81cd9a775a4d644f2faf4e7becff4559b46b14c7
rician,full,-5,-5dB,0000001_03499_d_0000006,Are there awning-tricycle objects in this area?,positive,yes,no,no,False,0.601471,750,22,/home/qiankun/.cache/huggingface/hub/models--HuggingFaceTB--SmolVLM-Instruct/snapshots/81cd9a775a4d644f2faf4e7becff4559b46b14c7
rician,full,0,0dB,0000001_03499_d_0000006,Are there awning-tricycle objects in this area?,positive,yes,no,no,False,0.641171,750,22,/home/qiankun/.cache/huggingface/hub/models--HuggingFaceTB--SmolVLM-Instruct/snapshots/81cd9a775a4d644f2faf4e7becff4559b46b14c7
rician,full,5,5dB,0000001_03499_d_0000006,Are there awning-tricycle objects in this area?,positive,yes,no,no,False,0.553447,750,22,/home/qiankun/.cache/huggingface/hub/models--HuggingFaceTB--SmolVLM-Instruct/snapshots/81cd9a775a4d644f2faf4e7becff4559b46b14c7
rician,full,15,15dB,0000001_03499_d_0000006,Are there awning-tricycle objects in this area?,positive,yes,no,no,False,0.617368,750,22,/home/qiankun/.cache/huggingface/hub/models--HuggingFaceTB--SmolVLM-Instruct/snapshots/81cd9a775a4d644f2faf4e7becff4559b46b14c7
rician,full,20,20dB,0000001_03499_d_0000006,Are there awning-tricycle objects in this area?,positive,yes,no,no,False,0.572038,750,22,/home/qiankun/.cache/huggingface/hub/models--HuggingFaceTB--SmolVLM-Instruct/snapshots/81cd9a775a4d644f2faf4e7becff4559b46b14c7
rician,1,-5,-5dB,0000001_03499_d_0000006,Are there bus objects in this area?,negative,no,no,no,True,0.807193,683,1,/home/qiankun/.cache/huggingface/hub/models--HuggingFaceTB--SmolVLM-Instruct/snapshots/81cd9a775a4d644f2faf4e7becff4559b46b14c7
rician,1,0,0dB,0000001_03499_d_0000006,Are there bus objects in this area?,negative,no,no,no,True,0.795147,683,1,/home/qiankun/.cache/huggingface/hub/models--HuggingFaceTB--SmolVLM-Instruct/snapshots/81cd9a775a4d644f2faf4e7becff4559b46b14c7
rician,1,5,5dB,0000001_03499_d_0000006,Are there bus objects in this area?,negative,no,no,no,True,0.701353,683,1,/home/qiankun/.cache/huggingface/hub/models--HuggingFaceTB--SmolVLM-Instruct/snapshots/81cd9a775a4d644f2faf4e7becff4559b46b14c7
rician,1,10,10dB,0000001_03499_d_0000006,Are there bus objects in this area?,negative,no,no,no,True,0.706287,683,1,/home/qiankun/.cache/huggingface/hub/models--HuggingFaceTB--SmolVLM-Instruct/snapshots/81cd9a775a4d644f2faf4e7becff4559b46b14c7
rician,1,15,15dB,0000001_03499_d_0000006,Are there bus objects in this area?,negative,no,no,no,True,0.752952,683,1,/home/qiankun/.cache/huggingface/hub/models--HuggingFaceTB--SmolVLM-Instruct/snapshots/81cd9a775a4d644f2faf4e7becff4559b46b14c7
rician,1,20,20dB,0000001_03499_d_0000006,Are there bus objects in this area?,negative,no,no,no,True,0.736962,683,1,/home/qiankun/.cache/huggingface/hub/models--HuggingFaceTB--SmolVLM-Instruct/snapshots/81cd9a775a4d644f2faf4e7becff4559b46b14c7
rician,2,-5,-5dB,0000001_03499_d_0000006,Are there bus objects in this area?,negative,no,no,no,True,0.790751,683,2,/home/qiankun/.cache/huggingface/hub/models--HuggingFaceTB--SmolVLM-Instruct/snapshots/81cd9a775a4d644f2faf4e7becff4559b46b14c7
rician,2,0,0dB,0000001_03499_d_0000006,Are there bus objects in this area?,negative,no,no,no,True,0.810500,683,2,/home/qiankun/.cache/huggingface/hub/models--HuggingFaceTB--SmolVLM-Instruct/snapshots/81cd9a775a4d644f2faf4e7becff4559b46b14c7
rician,2,5,5dB,0000001_03499_d_0000006,Are there bus objects in this area?,negative,no,no,no,True,0.728949,683,2,/home/qiankun/.cache/huggingface/hub/models--HuggingFaceTB--SmolVLM-Instruct/snapshots/81cd9a775a4d644f2faf4e7becff4559b46b14c7
rician,2,10,10dB,0000001_03499_d_0000006,Are there bus objects in this area?,negative,no,no,no,True,0.748584,683,2,/home/qiankun/.cache/huggingface/hub/models--HuggingFaceTB--SmolVLM-Instruct/snapshots/81cd9a775a4d644f2faf4e7becff4559b46b14c7
rician,2,15,15dB,0000001_03499_d_0000006,Are there bus objects in this area?,negative,no,no,no,True,0.780682,683,2,/home/qiankun/.cache/huggingface/hub/models--HuggingFaceTB--SmolVLM-Instruct/snapshots/81cd9a775a4d644f2faf4e7becff4559b46b14c7
rician,2,20,20dB,0000001_03499_d_0000006,Are there bus objects in this area?,negative,no,no,no,True,0.759288,683,2,/home/qiankun/.cache/huggingface/hub/models--HuggingFaceTB--SmolVLM-Instruct/snapshots/81cd9a775a4d644f2faf4e7becff4559b46b14c7
rician,4,-5,-5dB,0000001_03499_d_0000006,Are there bus objects in this area?,negative,no,no,no,True,0.764544,690,4,/home/qiankun/.cache/huggingface/hub/models--HuggingFaceTB--SmolVLM-Instruct/snapshots/81cd9a775a4d644f2faf4e7becff4559b46b14c7
rician,4,0,0dB,0000001_03499_d_0000006,Are there bus objects in this area?,negative,no,no,no,True,0.773267,690,4,/home/qiankun/.cache/huggingface/hub/models--HuggingFaceTB--SmolVLM-Instruct/snapshots/81cd9a775a4d644f2faf4e7becff4559b46b14c7
rician,4,5,5dB,0000001_03499_d_0000006,Are there bus objects in this area?,negative,no,no,no,True,0.623613,690,4,/home/qiankun/.cache/huggingface/hub/models--HuggingFaceTB--SmolVLM-Instruct/snapshots/81cd9a775a4d644f2faf4e7becff4559b46b14c7
rician,4,10,10dB,0000001_03499_d_0000006,Are there bus objects in this area?,negative,no,no,no,True,0.678930,690,4,/home/qiankun/.cache/huggingface/hub/models--HuggingFaceTB--SmolVLM-Instruct/snapshots/81cd9a775a4d644f2faf4e7becff4559b46b14c7
rician,4,15,15dB,0000001_03499_d_0000006,Are there bus objects in this area?,negative,no,no,no,True,0.735550,690,4,/home/qiankun/.cache/huggingface/hub/models--HuggingFaceTB--SmolVLM-Instruct/snapshots/81cd9a775a4d644f2faf4e7becff4559b46b14c7
rician,4,20,20dB,0000001_03499_d_0000006,Are there bus objects in this area?,negative,no,no,no,True,0.747251,690,4,/home/qiankun/.cache/huggingface/hub/models--HuggingFaceTB--SmolVLM-Instruct/snapshots/81cd9a775a4d644f2faf4e7becff4559b46b14c7
rician,8,-5,-5dB,0000001_03499_d_0000006,Are there bus objects in this area?,negative,no,no,no,True,0.766628,690,8,/home/qiankun/.cache/huggingface/hub/models--HuggingFaceTB--SmolVLM-Instruct/snapshots/81cd9a775a4d644f2faf4e7becff4559b46b14c7
rician,8,0,0dB,0000001_03499_d_0000006,Are there bus objects in this area?,negative,no,no,no,True,0.792753,690,8,/home/qiankun/.cache/huggingface/hub/models--HuggingFaceTB--SmolVLM-Instruct/snapshots/81cd9a775a4d644f2faf4e7becff4559b46b14c7
rician,8,5,5dB,0000001_03499_d_0000006,Are there bus objects in this area?,negative,no,no,no,True,0.676785,690,8,/home/qiankun/.cache/huggingface/hub/models--HuggingFaceTB--SmolVLM-Instruct/snapshots/81cd9a775a4d644f2faf4e7becff4559b46b14c7
rician,8,10,10dB,0000001_03499_d_0000006,Are there bus objects in this area?,negative,no,no,no,True,0.721749,690,8,/home/qiankun/.cache/huggingface/hub/models--HuggingFaceTB--SmolVLM-Instruct/snapshots/81cd9a775a4d644f2faf4e7becff4559b46b14c7
rician,8,15,15dB,0000001_03499_d_0000006,Are there bus objects in this area?,negative,no,no,no,True,0.765201,690,8,/home/qiankun/.cache/huggingface/hub/models--HuggingFaceTB--SmolVLM-Instruct/snapshots/81cd9a775a4d644f2faf4e7becff4559b46b14c7
rician,8,20,20dB,0000001_03499_d_0000006,Are there bus objects in this area?,negative,no,no,no,True,0.770191,690,8,/home/qiankun/.cache/huggingface/hub/models--HuggingFaceTB--SmolVLM-Instruct/snapshots/81cd9a775a4d644f2faf4e7becff4559b46b14c7
rician,16,-5,-5dB,0000001_03499_d_0000006,Are there bus objects in this area?,negative,no,no,no,True,0.753116,723,16,/home/qiankun/.cache/huggingface/hub/models--HuggingFaceTB--SmolVLM-Instruct/snapshots/81cd9a775a4d644f2faf4e7becff4559b46b14c7
rician,16,0,0dB,0000001_03499_d_0000006,Are there bus objects in this area?,negative,no,no,no,True,0.759482,723,16,/home/qiankun/.cache/huggingface/hub/models--HuggingFaceTB--SmolVLM-Instruct/snapshots/81cd9a775a4d644f2faf4e7becff4559b46b14c7
rician,16,5,5dB,0000001_03499_d_0000006,Are there bus objects in this area?,negative,no,no,no,True,0.629534,723,16,/home/qiankun/.cache/huggingface/hub/models--HuggingFaceTB--SmolVLM-Instruct/snapshots/81cd9a775a4d644f2faf4e7becff4559b46b14c7
rician,16,10,10dB,0000001_03499_d_0000006,Are there bus objects in this area?,negative,no,no,no,True,0.678277,723,16,/home/qiankun/.cache/huggingface/hub/models--HuggingFaceTB--SmolVLM-Instruct/snapshots/81cd9a775a4d644f2faf4e7becff4559b46b14c7
rician,16,15,15dB,0000001_03499_d_0000006,Are there bus objects in this area?,negative,no,no,no,True,0.738400,723,16,/home/qiankun/.cache/huggingface/hub/models--HuggingFaceTB--SmolVLM-Instruct/snapshots/81cd9a775a4d644f2faf4e7becff4559b46b14c7
rician,16,20,20dB,0000001_03499_d_0000006,Are there bus objects in this area?,negative,no,no,no,True,0.711393,723,16,/home/qiankun/.cache/huggingface/hub/models--HuggingFaceTB--SmolVLM-Instruct/snapshots/81cd9a775a4d644f2faf4e7becff4559b46b14c7
rician,32,-5,-5dB,0000001_03499_d_0000006,Are there bus objects in this area?,negative,no,no,no,True,0.732871,738,22,/home/qiankun/.cache/huggingface/hub/models--HuggingFaceTB--SmolVLM-Instruct/snapshots/81cd9a775a4d644f2faf4e7becff4559b46b14c7
rician,32,0,0dB,0000001_03499_d_0000006,Are there bus objects in this area?,negative,no,no,no,True,0.757303,738,22,/home/qiankun/.cache/huggingface/hub/models--HuggingFaceTB--SmolVLM-Instruct/snapshots/81cd9a775a4d644f2faf4e7becff4559b46b14c7
rician,32,5,5dB,0000001_03499_d_0000006,Are there bus objects in this area?,negative,no,no,no,True,0.657429,738,22,/home/qiankun/.cache/huggingface/hub/models--HuggingFaceTB--SmolVLM-Instruct/snapshots/81cd9a775a4d644f2faf4e7becff4559b46b14c7
rician,32,10,10dB,0000001_03499_d_0000006,Are there bus objects in this area?,negative,no,no,no,True,0.634569,738,22,/home/qiankun/.cache/huggingface/hub/models--HuggingFaceTB--SmolVLM-Instruct/snapshots/81cd9a775a4d644f2faf4e7becff4559b46b14c7
rician,32,15,15dB,0000001_03499_d_0000006,Are there bus objects in this area?,negative,no,no,no,True,0.724366,738,22,/home/qiankun/.cache/huggingface/hub/models--HuggingFaceTB--SmolVLM-Instruct/snapshots/81cd9a775a4d644f2faf4e7becff4559b46b14c7
rician,32,20,20dB,0000001_03499_d_0000006,Are there bus objects in this area?,negative,no,no,no,True,0.718431,738,22,/home/qiankun/.cache/huggingface/hub/models--HuggingFaceTB--SmolVLM-Instruct/snapshots/81cd9a775a4d644f2faf4e7becff4559b46b14c7
rician,full,-5,-5dB,0000001_03499_d_0000006,Are there bus objects in this area?,negative,no,no,no,True,0.732177,738,22,/home/qiankun/.cache/huggingface/hub/models--HuggingFaceTB--SmolVLM-Instruct/snapshots/81cd9a775a4d644f2faf4e7becff4559b46b14c7
rician,full,0,0dB,0000001_03499_d_0000006,Are there bus objects in this area?,negative,no,no,no,True,0.698888,738,22,/home/qiankun/.cache/huggingface/hub/models--HuggingFaceTB--SmolVLM-Instruct/snapshots/81cd9a775a4d644f2faf4e7becff4559b46b14c7
rician,full,5,5dB,0000001_03499_d_0000006,Are there bus objects in this area?,negative,no,no,no,True,0.607446,738,22,/home/qiankun/.cache/huggingface/hub/models--HuggingFaceTB--SmolVLM-Instruct/snapshots/81cd9a775a4d644f2faf4e7becff4559b46b14c7
rician,full,10,10dB,0000001_03499_d_0000006,Are there bus objects in this area?,negative,no,no,no,True,0.683636,738,22,/home/qiankun/.cache/huggingface/hub/models--HuggingFaceTB--SmolVLM-Instruct/snapshots/81cd9a775a4d644f2faf4e7becff4559b46b14c7
rician,full,15,15dB,0000001_03499_d_0000006,Are there bus objects in this area?,negative,no,no,no,True,0.705797,738,22,/home/qiankun/.cache/huggingface/hub/models--HuggingFaceTB--SmolVLM-Instruct/snapshots/81cd9a775a4d644f2faf4e7becff4559b46b14c7
rician,full,20,20dB,0000001_03499_d_0000006,Are there bus objects in this area?,negative,no,no,no,True,0.721972,738,22,/home/qiankun/.cache/huggingface/hub/models--HuggingFaceTB--SmolVLM-Instruct/snapshots/81cd9a775a4d644f2faf4e7becff4559b46b14c7
rician,1,-5,-5dB,0000001_03499_d_0000006,Are there bicycle objects in this area?,positive,yes,no,no,False,0.817151,687,1,/home/qiankun/.cache/huggingface/hub/models--HuggingFaceTB--SmolVLM-Instruct/snapshots/81cd9a775a4d644f2faf4e7becff4559b46b14c7
rician,1,0,0dB,0000001_03499_d_0000006,Are there bicycle objects in this area?,positive,yes,no,no,False,0.814541,687,1,/home/qiankun/.cache/huggingface/hub/models--HuggingFaceTB--SmolVLM-Instruct/snapshots/81cd9a775a4d644f2faf4e7becff4559b46b14c7
rician,1,5,5dB,0000001_03499_d_0000006,Are there bicycle objects in this area?,positive,yes,no,no,False,0.707247,687,1,/home/qiankun/.cache/huggingface/hub/models--HuggingFaceTB--SmolVLM-Instruct/snapshots/81cd9a775a4d644f2faf4e7becff4559b46b14c7
rician,1,10,10dB,0000001_03499_d_0000006,Are there bicycle objects in this area?,positive,yes,no,no,False,0.727017,687,1,/home/qiankun/.cache/huggingface/hub/models--HuggingFaceTB--SmolVLM-Instruct/snapshots/81cd9a775a4d644f2faf4e7becff4559b46b14c7
rician,1,15,15dB,0000001_03499_d_0000006,Are there bicycle objects in this area?,positive,yes,no,no,False,0.781618,687,1,/home/qiankun/.cache/huggingface/hub/models--HuggingFaceTB--SmolVLM-Instruct/snapshots/81cd9a775a4d644f2faf4e7becff4559b46b14c7
rician,1,20,20dB,0000001_03499_d_0000006,Are there bicycle objects in this area?,positive,yes,no,no,False,0.759880,687,1,/home/qiankun/.cache/huggingface/hub/models--HuggingFaceTB--SmolVLM-Instruct/snapshots/81cd9a775a4d644f2faf4e7becff4559b46b14c7
rician,2,-5,-5dB,0000001_03499_d_0000006,Are there bicycle objects in this area?,positive,yes,no,no,False,0.792000,687,2,/home/qiankun/.cache/huggingface/hub/models--HuggingFaceTB--SmolVLM-Instruct/snapshots/81cd9a775a4d644f2faf4e7becff4559b46b14c7
rician,2,0,0dB,0000001_03499_d_0000006,Are there bicycle objects in this area?,positive,yes,no,no,False,0.812194,687,2,/home/qiankun/.cache/huggingface/hub/models--HuggingFaceTB--SmolVLM-Instruct/snapshots/81cd9a775a4d644f2faf4e7becff4559b46b14c7
rician,2,5,5dB,0000001_03499_d_0000006,Are there bicycle objects in this area?,positive,yes,no,no,False,0.734737,687,2,/home/qiankun/.cache/huggingface/hub/models--HuggingFaceTB--SmolVLM-Instruct/snapshots/81cd9a775a4d644f2faf4e7becff4559b46b14c7
rician,2,10,10dB,0000001_03499_d_0000006,Are there bicycle objects in this area?,positive,yes,no,no,False,0.759132,687,2,/home/qiankun/.cache/huggingface/hub/models--HuggingFaceTB--SmolVLM-Instruct/snapshots/81cd9a775a4d644f2faf4e7becff4559b46b14c7
rician,2,15,15dB,0000001_03499_d_0000006,Are there bicycle objects in this area?,positive,yes,no,no,False,0.786141,687,2,/home/qiankun/.cache/huggingface/hub/models--HuggingFaceTB--SmolVLM-Instruct/snapshots/81cd9a775a4d644f2faf4e7becff4559b46b14c7
rician,2,20,20dB,0000001_03499_d_0000006,Are there bicycle objects in this area?,positive,yes,no,no,False,0.803007,687,2,/home/qiankun/.cache/huggingface/hub/models--HuggingFaceTB--SmolVLM-Instruct/snapshots/81cd9a775a4d644f2faf4e7becff4559b46b14c7
rician,4,-5,-5dB,0000001_03499_d_0000006,Are there bicycle objects in this area?,positive,yes,no,no,False,0.774092,694,4,/home/qiankun/.cache/huggingface/hub/models--HuggingFaceTB--SmolVLM-Instruct/snapshots/81cd9a775a4d644f2faf4e7becff4559b46b14c7
rician,4,0,0dB,0000001_03499_d_0000006,Are there bicycle objects in this area?,positive,yes,no,no,False,0.815508,694,4,/home/qiankun/.cache/huggingface/hub/models--HuggingFaceTB--SmolVLM-Instruct/snapshots/81cd9a775a4d644f2faf4e7becff4559b46b14c7
rician,4,5,5dB,0000001_03499_d_0000006,Are there bicycle objects in this area?,positive,yes,no,no,False,0.688740,694,4,/home/qiankun/.cache/huggingface/hub/models--HuggingFaceTB--SmolVLM-Instruct/snapshots/81cd9a775a4d644f2faf4e7becff4559b46b14c7
rician,4,10,10dB,0000001_03499_d_0000006,Are there bicycle objects in this area?,positive,yes,no,no,False,0.717856,694,4,/home/qiankun/.cache/huggingface/hub/models--HuggingFaceTB--SmolVLM-Instruct/snapshots/81cd9a775a4d644f2faf4e7becff4559b46b14c7
rician,4,15,15dB,0000001_03499_d_0000006,Are there bicycle objects in this area?,positive,yes,no,no,False,0.744419,694,4,/home/qiankun/.cache/huggingface/hub/models--HuggingFaceTB--SmolVLM-Instruct/snapshots/81cd9a775a4d644f2faf4e7becff4559b46b14c7
